"month" "num" "group"
"1" 96 59738748864 "Unadjusted"
"2" 97 64909569312 "Unadjusted"
"3" 98 73888702416 "Unadjusted"
"4" 99 69132929328 "Unadjusted"
"5" 100 71774966448 "Unadjusted"
"6" 101 65960372304 "Unadjusted"
"7" 102 65226831600 "Unadjusted"
"8" 103 63583403664 "Unadjusted"
"9" 104 54230191296 "Unadjusted"
"10" 105 45193444848 "Unadjusted"
"11" 106 40265036880 "Unadjusted"
"12" 107 43846560432 "Unadjusted"
"13" 108 42857809056 "Unadjusted"
"14" 109 42519583200 "Unadjusted"
"15" 110 50470310544 "Unadjusted"
"16" 111 47102945376 "Unadjusted"
"17" 112 51364299744 "Unadjusted"
"18" 113 52159614480 "Unadjusted"
"19" 114 56254350336 "Unadjusted"
"20" 115 66985404576 "Unadjusted"
"21" 116 43990946160 "Unadjusted"
"22" 117 45939738096 "Unadjusted"
"23" 118 43445596128 "Unadjusted"
"24" 119 48290708496 "Unadjusted"
"25" 120 42882566928 "Unadjusted"
"26" 121 45785380032 "Unadjusted"
"27" 122 63308551776 "Unadjusted"
"28" 123 59172941424 "Unadjusted"
"29" 124 60527128992 "Unadjusted"
"30" 125 60285070368 "Unadjusted"
"31" 126 64825255824 "Unadjusted"
"32" 127 64392836832 "Unadjusted"
"33" 128 58000062768 "Unadjusted"
"34" 129 57551803200 "Unadjusted"
"35" 130 55327003776 "Unadjusted"
"36" 131 60478942080 "Unadjusted"
"37" 132 54410402304 "Unadjusted"
"38" 133 59095589712 "Unadjusted"
"39" 134 70585785504 "Unadjusted"
"40" 135 66198803664 "Unadjusted"
"41" 136 66951020016 "Unadjusted"
"42" 137 65571746064 "Unadjusted"
"43" 138 69963504720 "Unadjusted"
"44" 139 70962310656 "Unadjusted"
"45" 140 67388850816 "Unadjusted"
"46" 141 66217439952 "Unadjusted"
"47" 142 63380400480 "Unadjusted"
"48" 143 69423165888 "Unadjusted"
"49" 144 60350897280 "Unadjusted"
"50" 145 68395190784 "Unadjusted"
"51" 146 80537065104 "Unadjusted"
"52" 147 73739210544 "Unadjusted"
"53" 148 79499548128 "Unadjusted"
"54" 149 75932349936 "Unadjusted"
"55" 150 78861541968 "Unadjusted"
"56" 151 82045967328 "Unadjusted"
"57" 152 73075031328 "Unadjusted"
"58" 153 71632954176 "Unadjusted"
"59" 154 70077394896 "Unadjusted"
"60" 155 73107854400 "Unadjusted"
"61" 156 66980409696 "Unadjusted"
"62" 157 71273125776 "Unadjusted"
"63" 158 84373859424 "Unadjusted"
"64" 159 81927155376 "Unadjusted"
"65" 160 88669869648 "Unadjusted"
"66" 161 83641096608 "Unadjusted"
"67" 162 88779317472 "Unadjusted"
