"state","value"
1,-0.0131208965135177
2,0.2
4,0.180884453792837
5,-0.0837473176640808
6,0.112698151497223
8,-0.2
9,-0.2
10,0.2
11,0.0466259298860856
12,0.0836575496691843
13,0.2
15,-0.2
16,0.102230761754654
17,-0.0676888440110194
18,-0.00766092561456033
19,-0.0715403590455244
20,0.0468166118980553
21,0.2
22,-0.0742237083373301
23,0.2
24,-0.2
25,-0.196930771221518
26,0.2
27,-0.2
28,0.2
29,0.2
30,0.0911178233261727
31,0.2
32,-0.0755886710581251
33,-0.0580638362491265
34,-0.062497282337953
35,-0.2
36,0.160726645142689
37,-0.0799828238212684
38,0.2
39,-0.2
40,0.2
41,-0.17899812317825
42,0.0138838998514235
44,-0.2
45,0.108422889786052
46,-0.149686365441615
47,0.2
48,-0.0430572206229005
49,-0.2
50,-0.149806601598538
51,-0.2
53,-0.0774478360968709
54,-0.0625217585668079
55,-0.0302934948977219
56,-0.2
