"month","num","group"
60,3189600,"Unadjusted"
61,3415248,"Unadjusted"
62,4005456,"Unadjusted"
63,3752064,"Unadjusted"
64,3844848,"Unadjusted"
65,4124304,"Unadjusted"
66,4331424,"Unadjusted"
67,4100880,"Unadjusted"
68,3412320,"Unadjusted"
69,3135312,"Unadjusted"
70,3020640,"Unadjusted"
71,3214224,"Unadjusted"
72,3178080,"Unadjusted"
73,3285504,"Unadjusted"
74,3945840,"Unadjusted"
75,3667008,"Unadjusted"
76,3933168,"Unadjusted"
77,3955680,"Unadjusted"
78,4145952,"Unadjusted"
79,4145328,"Unadjusted"
80,3577728,"Unadjusted"
81,3415776,"Unadjusted"
82,3255264,"Unadjusted"
83,3273696,"Unadjusted"
84,3217152,"Unadjusted"
85,3422256,"Unadjusted"
86,4089744,"Unadjusted"
87,3733584,"Unadjusted"
88,4131408,"Unadjusted"
89,3878016,"Unadjusted"
90,4000416,"Unadjusted"
91,4128336,"Unadjusted"
92,3510768,"Unadjusted"
93,3531984,"Unadjusted"
94,3240816,"Unadjusted"
95,3238944,"Unadjusted"
96,3159072,"Unadjusted"
97,3420816,"Unadjusted"
98,3866544,"Unadjusted"
99,3695280,"Unadjusted"
100,3859392,"Unadjusted"
101,3564864,"Unadjusted"
102,3507168,"Unadjusted"
103,3371616,"Unadjusted"
104,2879904,"Unadjusted"
105,2456064,"Unadjusted"
106,2212800,"Unadjusted"
107,2351232,"Unadjusted"
108,2393712,"Unadjusted"
109,2371872,"Unadjusted"
110,2750832,"Unadjusted"
111,2587488,"Unadjusted"
112,2772816,"Unadjusted"
113,2835408,"Unadjusted"
114,3090192,"Unadjusted"
115,3661824,"Unadjusted"
116,2341680,"Unadjusted"
117,2411184,"Unadjusted"
118,2277888,"Unadjusted"
119,2448144,"Unadjusted"
120,2272032,"Unadjusted"
121,2443776,"Unadjusted"
122,3295104,"Unadjusted"
123,3124368,"Unadjusted"
124,3141072,"Unadjusted"
125,3145488,"Unadjusted"
126,3360624,"Unadjusted"
127,3360672,"Unadjusted"
128,3025776,"Unadjusted"
129,2974512,"Unadjusted"
130,2880432,"Unadjusted"
131,3050016,"Unadjusted"
132,2828592,"Unadjusted"
133,3128496,"Unadjusted"
134,3708720,"Unadjusted"
135,3458688,"Unadjusted"
136,3417168,"Unadjusted"
137,3369936,"Unadjusted"
138,3526944,"Unadjusted"
139,3638880,"Unadjusted"
140,3408048,"Unadjusted"
141,3344784,"Unadjusted"
142,3216720,"Unadjusted"
143,3417696,"Unadjusted"
144,3084048,"Unadjusted"
145,3576816,"Unadjusted"
146,4118784,"Unadjusted"
147,3745584,"Unadjusted"
148,3994272,"Unadjusted"
149,3799680,"Unadjusted"
150,3957216,"Unadjusted"
151,4147056,"Unadjusted"
152,3620112,"Unadjusted"
153,3571584,"Unadjusted"
154,3464928,"Unadjusted"
155,3498240,"Unadjusted"
156,3349680,"Unadjusted"
157,3614064,"Unadjusted"
158,4216128,"Unadjusted"
159,4077360,"Unadjusted"
160,4345536,"Unadjusted"
161,4099344,"Unadjusted"
162,4378512,"Unadjusted"
163,4474512,"Unadjusted"
