"month","num","group"
60,5710176,"Unadjusted"
61,5624820,"Unadjusted"
62,6635412,"Unadjusted"
63,6116664,"Unadjusted"
64,6251496,"Unadjusted"
65,6659760,"Unadjusted"
66,6381828,"Unadjusted"
67,7518264,"Unadjusted"
68,7270428,"Unadjusted"
69,6917112,"Unadjusted"
70,7565700,"Unadjusted"
71,6728052,"Unadjusted"
72,6014184,"Unadjusted"
73,6619776,"Unadjusted"
74,6963900,"Unadjusted"
75,6445944,"Unadjusted"
76,6855348,"Unadjusted"
77,7019592,"Unadjusted"
78,7108008,"Unadjusted"
79,7806804,"Unadjusted"
80,7958712,"Unadjusted"
81,7206492,"Unadjusted"
82,7707756,"Unadjusted"
83,7639392,"Unadjusted"
84,6805104,"Unadjusted"
85,6923124,"Unadjusted"
86,7331124,"Unadjusted"
87,7266932,"Unadjusted"
88,7402200,"Unadjusted"
89,7362996,"Unadjusted"
90,7517184,"Unadjusted"
91,7856472,"Unadjusted"
92,7104180,"Unadjusted"
93,7643724,"Unadjusted"
94,7661928,"Unadjusted"
95,7235388,"Unadjusted"
96,6256788,"Unadjusted"
97,5829420,"Unadjusted"
98,6374400,"Unadjusted"
99,6392772,"Unadjusted"
100,6476700,"Unadjusted"
101,6385752,"Unadjusted"
102,7210236,"Unadjusted"
103,6221988,"Unadjusted"
104,5707968,"Unadjusted"
105,5363232,"Unadjusted"
106,5425332,"Unadjusted"
107,4720812,"Unadjusted"
108,3633336,"Unadjusted"
109,3273864,"Unadjusted"
110,3742488,"Unadjusted"
111,3692292,"Unadjusted"
112,3694584,"Unadjusted"
113,3535344,"Unadjusted"
114,3585120,"Unadjusted"
115,3579480,"Unadjusted"
116,3351180,"Unadjusted"
117,3653664,"Unadjusted"
118,4038912,"Unadjusted"
119,3874332,"Unadjusted"
120,3307512,"Unadjusted"
121,2868240,"Unadjusted"
122,3378132,"Unadjusted"
123,3525312,"Unadjusted"
124,3506664,"Unadjusted"
125,3643464,"Unadjusted"
126,3806424,"Unadjusted"
127,3981984,"Unadjusted"
128,3796740,"Unadjusted"
129,3848820,"Unadjusted"
130,4426152,"Unadjusted"
131,4288032,"Unadjusted"
132,3581256,"Unadjusted"
133,3435900,"Unadjusted"
134,4206852,"Unadjusted"
135,3975792,"Unadjusted"
136,4347828,"Unadjusted"
137,4285200,"Unadjusted"
138,4341660,"Unadjusted"
139,4797384,"Unadjusted"
140,4429416,"Unadjusted"
141,4557888,"Unadjusted"
142,5191260,"Unadjusted"
143,4656120,"Unadjusted"
144,3848676,"Unadjusted"
145,3875400,"Unadjusted"
146,4272552,"Unadjusted"
147,4197744,"Unadjusted"
148,4294920,"Unadjusted"
149,4219008,"Unadjusted"
150,4326552,"Unadjusted"
151,4533792,"Unadjusted"
152,4159608,"Unadjusted"
153,4417056,"Unadjusted"
154,4846536,"Unadjusted"
155,4713456,"Unadjusted"
156,3949224,"Unadjusted"
157,3734832,"Unadjusted"
158,4327104,"Unadjusted"
159,4374912,"Unadjusted"
160,4463472,"Unadjusted"
161,4342248,"Unadjusted"
162,4647936,"Unadjusted"
163,4773384,"Unadjusted"
164,4638948,"Unadjusted"
165,4946112,"Unadjusted"
166,5437896,"Unadjusted"
167,5377824,"Unadjusted"
168,4523040,"Unadjusted"
169,4209600,"Unadjusted"
170,4888728,"Unadjusted"
171,5152440,"Unadjusted"
172,5208456,"Unadjusted"
173,4866768,"Unadjusted"
174,5643432,"Unadjusted"
175,5161992,"Unadjusted"
176,4834560,"Unadjusted"
177,5002920,"Unadjusted"
178,5407848,"Unadjusted"
179,5475984,"Unadjusted"
180,4736220,"Unadjusted"
181,4438776,"Unadjusted"
182,5300208,"Unadjusted"
183,5472600,"Unadjusted"
184,5383920,"Unadjusted"
185,5529288,"Unadjusted"
186,5780040,"Unadjusted"
187,5654064,"Unadjusted"
188,5456832,"Unadjusted"
189,6035784,"Unadjusted"
