"month","num","group"
96,172176,"Unadjusted"
97,182928,"Unadjusted"
98,198912,"Unadjusted"
99,214656,"Unadjusted"
100,185616,"Unadjusted"
101,173856,"Unadjusted"
102,165984,"Unadjusted"
103,152016,"Unadjusted"
104,140208,"Unadjusted"
105,121824,"Unadjusted"
106,80400,"Unadjusted"
107,75408,"Unadjusted"
108,64656,"Unadjusted"
109,72960,"Unadjusted"
110,88704,"Unadjusted"
111,91776,"Unadjusted"
112,87696,"Unadjusted"
113,106320,"Unadjusted"
114,113520,"Unadjusted"
115,101136,"Unadjusted"
116,96096,"Unadjusted"
117,88512,"Unadjusted"
118,77664,"Unadjusted"
119,74112,"Unadjusted"
120,54048,"Unadjusted"
121,60576,"Unadjusted"
122,74880,"Unadjusted"
123,89376,"Unadjusted"
124,88128,"Unadjusted"
125,84384,"Unadjusted"
126,80832,"Unadjusted"
127,83568,"Unadjusted"
128,89952,"Unadjusted"
129,85824,"Unadjusted"
130,81600,"Unadjusted"
131,79056,"Unadjusted"
132,55200,"Unadjusted"
133,50064,"Unadjusted"
134,68832,"Unadjusted"
135,71856,"Unadjusted"
136,79296,"Unadjusted"
137,77088,"Unadjusted"
138,72768,"Unadjusted"
139,85248,"Unadjusted"
140,82608,"Unadjusted"
141,87456,"Unadjusted"
142,79056,"Unadjusted"
143,72576,"Unadjusted"
144,56352,"Unadjusted"
145,69216,"Unadjusted"
146,85968,"Unadjusted"
147,90240,"Unadjusted"
148,101520,"Unadjusted"
149,91632,"Unadjusted"
150,89424,"Unadjusted"
151,97968,"Unadjusted"
152,81456,"Unadjusted"
153,100464,"Unadjusted"
154,81984,"Unadjusted"
155,77520,"Unadjusted"
156,76224,"Unadjusted"
157,76128,"Unadjusted"
158,101232,"Unadjusted"
159,113424,"Unadjusted"
160,121824,"Unadjusted"
161,100800,"Unadjusted"
162,109872,"Unadjusted"
163,101952,"Unadjusted"
164,87840,"Unadjusted"
165,89712,"Unadjusted"
166,71520,"Unadjusted"
167,65424,"Unadjusted"
168,57744,"Unadjusted"
169,51456,"Unadjusted"
170,64944,"Unadjusted"
171,77520,"Unadjusted"
172,90480,"Unadjusted"
173,94224,"Unadjusted"
174,94512,"Unadjusted"
175,90048,"Unadjusted"
176,87792,"Unadjusted"
177,94320,"Unadjusted"
178,77232,"Unadjusted"
179,81792,"Unadjusted"
180,61824,"Unadjusted"
181,59040,"Unadjusted"
182,85008,"Unadjusted"
183,93360,"Unadjusted"
184,100896,"Unadjusted"
185,111840,"Unadjusted"
186,107376,"Unadjusted"
187,109104,"Unadjusted"
188,101808,"Unadjusted"
189,96768,"Unadjusted"
190,91415.0872987467,"Unadjusted"
191,86123.3606215345,"Unadjusted"
192,69009.2599196353,"Unadjusted"
193,75227.6853649194,"Unadjusted"
194,87027.6362763407,"Unadjusted"
195,98558.3106022414,"Unadjusted"
196,104658.051219563,"Unadjusted"
197,120470.38278231,"Unadjusted"
198,111391.562359098,"Unadjusted"
199,118132.343608169,"Unadjusted"
200,106152.124198999,"Unadjusted"
201,57089.5623290645,"Unadjusted"
96,235295.551524709,"Seasonally Adjusted"
97,225525.539114001,"Seasonally Adjusted"
98,216867.379639479,"Seasonally Adjusted"
99,197382.265241402,"Seasonally Adjusted"
