"month","num","group"
60,328680,"Unadjusted"
61,351936,"Unadjusted"
62,442784,"Unadjusted"
63,450020,"Unadjusted"
64,468924,"Unadjusted"
65,473664,"Unadjusted"
66,415536,"Unadjusted"
67,451968,"Unadjusted"
68,388248,"Unadjusted"
69,395988,"Unadjusted"
70,373800,"Unadjusted"
71,349704,"Unadjusted"
72,294096,"Unadjusted"
73,310776,"Unadjusted"
74,396408,"Unadjusted"
75,347880,"Unadjusted"
76,388536,"Unadjusted"
77,370968,"Unadjusted"
78,315360,"Unadjusted"
79,351648,"Unadjusted"
80,309312,"Unadjusted"
81,313752,"Unadjusted"
82,287784,"Unadjusted"
83,257196,"Unadjusted"
84,252900,"Unadjusted"
85,251520,"Unadjusted"
86,305808,"Unadjusted"
87,294012,"Unadjusted"
88,308288,"Unadjusted"
89,292176,"Unadjusted"
90,272088,"Unadjusted"
91,291792,"Unadjusted"
92,220536,"Unadjusted"
93,247428,"Unadjusted"
94,203304,"Unadjusted"
95,176736,"Unadjusted"
96,152784,"Unadjusted"
97,181416,"Unadjusted"
98,192240,"Unadjusted"
99,202088,"Unadjusted"
100,181920,"Unadjusted"
101,153624,"Unadjusted"
102,137928,"Unadjusted"
103,128112,"Unadjusted"
104,117360,"Unadjusted"
105,110064,"Unadjusted"
106,82416,"Unadjusted"
107,79416,"Unadjusted"
108,72360,"Unadjusted"
109,77472,"Unadjusted"
110,87432,"Unadjusted"
111,87360,"Unadjusted"
112,82608,"Unadjusted"
113,87432,"Unadjusted"
114,83064,"Unadjusted"
115,80448,"Unadjusted"
116,73824,"Unadjusted"
117,67584,"Unadjusted"
118,57048,"Unadjusted"
119,60720,"Unadjusted"
120,48768,"Unadjusted"
121,53016,"Unadjusted"
122,69768,"Unadjusted"
123,71112,"Unadjusted"
124,70272,"Unadjusted"
125,72096,"Unadjusted"
126,72528,"Unadjusted"
127,73032,"Unadjusted"
128,70416,"Unadjusted"
129,74064,"Unadjusted"
130,70224,"Unadjusted"
131,67728,"Unadjusted"
132,52560,"Unadjusted"
133,52128,"Unadjusted"
134,66168,"Unadjusted"
135,67680,"Unadjusted"
136,67680,"Unadjusted"
137,71904,"Unadjusted"
138,65280,"Unadjusted"
139,68808,"Unadjusted"
140,63288,"Unadjusted"
141,68712,"Unadjusted"
142,64464,"Unadjusted"
143,63216,"Unadjusted"
144,52944,"Unadjusted"
145,57024,"Unadjusted"
146,70272,"Unadjusted"
147,68256,"Unadjusted"
148,73176,"Unadjusted"
149,75600,"Unadjusted"
150,68592,"Unadjusted"
151,79008,"Unadjusted"
152,67656,"Unadjusted"
153,72144,"Unadjusted"
154,62256,"Unadjusted"
155,64272,"Unadjusted"
156,59232,"Unadjusted"
157,59448,"Unadjusted"
158,73800,"Unadjusted"
159,84048,"Unadjusted"
160,88320,"Unadjusted"
161,86712,"Unadjusted"
162,89472,"Unadjusted"
163,97248,"Unadjusted"
164,85416,"Unadjusted"
165,93600,"Unadjusted"
166,80208,"Unadjusted"
167,76320,"Unadjusted"
168,63744,"Unadjusted"
169,64248,"Unadjusted"
170,81456,"Unadjusted"
171,94512,"Unadjusted"
172,103680,"Unadjusted"
173,105000,"Unadjusted"
174,103008,"Unadjusted"
175,109128,"Unadjusted"
176,102192,"Unadjusted"
177,107376,"Unadjusted"
178,89040,"Unadjusted"
179,90672,"Unadjusted"
180,78576,"Unadjusted"
181,77664,"Unadjusted"
182,101232,"Unadjusted"
183,107280,"Unadjusted"
184,110616,"Unadjusted"
185,123096,"Unadjusted"
186,119448,"Unadjusted"
187,112704,"Unadjusted"
188,116832,"Unadjusted"
189,116496,"Unadjusted"
190,99576,"Unadjusted"
191,105408,"Unadjusted"
192,87240,"Unadjusted"
193,92718.4874989095,"Unadjusted"
194,107884.6900534,"Unadjusted"
195,117133.45830914,"Unadjusted"
196,123605.568405725,"Unadjusted"
197,129656.465333216,"Unadjusted"
198,114961.751210206,"Unadjusted"
199,124081.457445253,"Unadjusted"
200,120701.024244677,"Unadjusted"
201,116199.815374419,"Unadjusted"
202,103165.430060702,"Unadjusted"
203,111370.490768467,"Unadjusted"
60,413587.23946432,"Seasonally Adjusted"
61,404532.21325686,"Seasonally Adjusted"
62,403437.958967729,"Seasonally Adjusted"
63,412093.40652998,"Seasonally Adjusted"
64,423328.371421791,"Seasonally Adjusted"
65,428192.401968229,"Seasonally Adjusted"
66,414683.932346816,"Seasonally Adjusted"
67,402295.591602604,"Seasonally Adjusted"
68,395817.392176368,"Seasonally Adjusted"
69,399090.959273298,"Seasonally Adjusted"
70,401750.638525491,"Seasonally Adjusted"
71,390160.477430704,"Seasonally Adjusted"
72,365373.192220794,"Seasonally Adjusted"
73,357320.392743897,"Seasonally Adjusted"
74,356985.90840321,"Seasonally Adjusted"
75,338824.108248114,"Seasonally Adjusted"
76,335051.561919168,"Seasonally Adjusted"
77,330829.593746047,"Seasonally Adjusted"
78,316165.192434545,"Seasonally Adjusted"
79,317317.731838469,"Seasonally Adjusted"
80,315811.496011305,"Seasonally Adjusted"
81,311074.774853604,"Seasonally Adjusted"
82,313057.405471617,"Seasonally Adjusted"
83,297555.597332263,"Seasonally Adjusted"
84,301408.682950791,"Seasonally Adjusted"
85,290053.118168594,"Seasonally Adjusted"
86,279479.021509977,"Seasonally Adjusted"
87,280145.985129328,"Seasonally Adjusted"
88,270775.023443066,"Seasonally Adjusted"
89,263118.722028546,"Seasonally Adjusted"
90,267617.892300587,"Seasonally Adjusted"
91,259879.012714337,"Seasonally Adjusted"
92,237350.28732463,"Seasonally Adjusted"
93,232961.761003785,"Seasonally Adjusted"
94,218621.569041892,"Seasonally Adjusted"
95,203957.747508044,"Seasonally Adjusted"
96,185808.203070473,"Seasonally Adjusted"
97,199796.598270135,"Seasonally Adjusted"
98,185341.030206911,"Seasonally Adjusted"
99,184733.299047656,"Seasonally Adjusted"
100,161246.008322215,"Seasonally Adjusted"
101,144301.205036332,"Seasonally Adjusted"
102,130302.346424039,"Seasonally Adjusted"
103,120280.909536515,"Seasonally Adjusted"
104,116729.49490508,"Seasonally Adjusted"
105,103026.817108491,"Seasonally Adjusted"
106,94675.9658532757,"Seasonally Adjusted"
107,85066.7463254427,"Seasonally Adjusted"
108,88773.7621692342,"Seasonally Adjusted"
109,91368.7484746725,"Seasonally Adjusted"
110,83792.4771451446,"Seasonally Adjusted"
111,80931.0136589655,"Seasonally Adjusted"
112,76873.1607820912,"Seasonally Adjusted"
113,78140.8833994614,"Seasonally Adjusted"
114,77219.4223507779,"Seasonally Adjusted"
115,75751.4377312352,"Seasonally Adjusted"
116,73160.6168647769,"Seasonally Adjusted"
117,63624.2446560336,"Seasonally Adjusted"
118,63654.9905247425,"Seasonally Adjusted"
119,65134.5174304036,"Seasonally Adjusted"
