"month","num","group"
60,1017936,"Unadjusted"
61,1095816,"Unadjusted"
62,1416168,"Unadjusted"
63,1263120,"Unadjusted"
64,1348308,"Unadjusted"
65,1496796,"Unadjusted"
66,1470672,"Unadjusted"
67,1623636,"Unadjusted"
68,1432776,"Unadjusted"
69,1332420,"Unadjusted"
70,1224900,"Unadjusted"
71,1175568,"Unadjusted"
72,946500,"Unadjusted"
73,969804,"Unadjusted"
74,1248036,"Unadjusted"
75,1112772,"Unadjusted"
76,1265868,"Unadjusted"
77,1285860,"Unadjusted"
78,1115424,"Unadjusted"
79,1262040,"Unadjusted"
80,1123452,"Unadjusted"
81,1178988,"Unadjusted"
82,1104180,"Unadjusted"
83,1118628,"Unadjusted"
84,990204,"Unadjusted"
85,914340,"Unadjusted"
86,1069860,"Unadjusted"
87,1016976,"Unadjusted"
88,1071204,"Unadjusted"
89,997428,"Unadjusted"
90,892824,"Unadjusted"
91,867396,"Unadjusted"
92,659340,"Unadjusted"
93,740052,"Unadjusted"
94,673116,"Unadjusted"
95,675672,"Unadjusted"
96,615900,"Unadjusted"
97,849888,"Unadjusted"
98,821808,"Unadjusted"
99,814644,"Unadjusted"
100,723720,"Unadjusted"
101,661356,"Unadjusted"
102,596604,"Unadjusted"
103,544344,"Unadjusted"
104,525600,"Unadjusted"
105,555072,"Unadjusted"
106,381816,"Unadjusted"
107,528696,"Unadjusted"
108,721584,"Unadjusted"
109,846840,"Unadjusted"
110,922416,"Unadjusted"
111,964728,"Unadjusted"
112,1019328,"Unadjusted"
113,1006416,"Unadjusted"
114,849312,"Unadjusted"
115,659640,"Unadjusted"
116,625680,"Unadjusted"
117,698796,"Unadjusted"
118,692208,"Unadjusted"
119,675792,"Unadjusted"
120,502968,"Unadjusted"
121,455952,"Unadjusted"
122,598776,"Unadjusted"
123,604848,"Unadjusted"
124,560304,"Unadjusted"
125,687552,"Unadjusted"
126,617520,"Unadjusted"
127,778272,"Unadjusted"
128,841272,"Unadjusted"
129,867288,"Unadjusted"
130,862728,"Unadjusted"
131,846600,"Unadjusted"
132,606672,"Unadjusted"
133,485712,"Unadjusted"
134,523392,"Unadjusted"
135,473472,"Unadjusted"
136,481680,"Unadjusted"
137,548088,"Unadjusted"
138,537384,"Unadjusted"
139,612624,"Unadjusted"
140,689280,"Unadjusted"
141,755592,"Unadjusted"
142,735504,"Unadjusted"
143,729624,"Unadjusted"
144,638304,"Unadjusted"
145,713520,"Unadjusted"
146,811152,"Unadjusted"
147,758184,"Unadjusted"
148,807384,"Unadjusted"
149,827688,"Unadjusted"
150,857856,"Unadjusted"
151,992808,"Unadjusted"
152,867792,"Unadjusted"
153,1010976,"Unadjusted"
154,952056,"Unadjusted"
155,961464,"Unadjusted"
156,913008,"Unadjusted"
157,836832,"Unadjusted"
158,903648,"Unadjusted"
159,918144,"Unadjusted"
160,953928,"Unadjusted"
161,888432,"Unadjusted"
162,854280,"Unadjusted"
163,751464,"Unadjusted"
164,583716,"Unadjusted"
165,555504,"Unadjusted"
166,488376,"Unadjusted"
167,492408,"Unadjusted"
168,384576,"Unadjusted"
169,359208,"Unadjusted"
170,448584,"Unadjusted"
171,484632,"Unadjusted"
172,518712,"Unadjusted"
173,564240,"Unadjusted"
174,579552,"Unadjusted"
175,556632,"Unadjusted"
176,541536,"Unadjusted"
177,563256,"Unadjusted"
178,499944,"Unadjusted"
179,576288,"Unadjusted"
180,455304,"Unadjusted"
181,564984,"Unadjusted"
182,750504,"Unadjusted"
183,715896,"Unadjusted"
184,710760,"Unadjusted"
185,769848,"Unadjusted"
186,714072,"Unadjusted"
187,660264,"Unadjusted"
188,645384,"Unadjusted"
189,619728,"Unadjusted"
190,507504,"Unadjusted"
191,603936,"Unadjusted"
192,460104,"Unadjusted"
193,504661.147768746,"Unadjusted"
194,692891.631746575,"Unadjusted"
195,698534.867716061,"Unadjusted"
196,756949.089349011,"Unadjusted"
197,815826.031569451,"Unadjusted"
198,740977.126482459,"Unadjusted"
199,882159.89624165,"Unadjusted"
200,855761.110897637,"Unadjusted"
201,940636.759632426,"Unadjusted"
202,872901.894765695,"Unadjusted"
203,882841.176776627,"Unadjusted"
60,1283482.5204727,"Seasonally Adjusted"
61,1274583.51504131,"Seasonally Adjusted"
62,1282184.15352269,"Seasonally Adjusted"
63,1216757.88471035,"Seasonally Adjusted"
64,1237229.07442279,"Seasonally Adjusted"
65,1318709.50730678,"Seasonally Adjusted"
66,1464477.46731717,"Seasonally Adjusted"
67,1488576.61325331,"Seasonally Adjusted"
68,1469393.35939251,"Seasonally Adjusted"
69,1382779.95658707,"Seasonally Adjusted"
70,1298028.7371901,"Seasonally Adjusted"
71,1201187.88016638,"Seasonally Adjusted"
72,1148246.84940904,"Seasonally Adjusted"
73,1124295.57059752,"Seasonally Adjusted"
74,1131498.42987844,"Seasonally Adjusted"
75,1107240.36786718,"Seasonally Adjusted"
76,1121364.25361698,"Seasonally Adjusted"
77,1134377.94590258,"Seasonally Adjusted"
78,1118806.55092643,"Seasonally Adjusted"
79,1165665.79764751,"Seasonally Adjusted"
80,1194892.41940596,"Seasonally Adjusted"
81,1177305.90015962,"Seasonally Adjusted"
82,1157653.81699752,"Seasonally Adjusted"
83,1175109.94486213,"Seasonally Adjusted"
84,1148151.39372158,"Seasonally Adjusted"
85,1060903.05025963,"Seasonally Adjusted"
86,1010305.22035381,"Seasonally Adjusted"
87,975774.01001382,"Seasonally Adjusted"
88,955257.374264216,"Seasonally Adjusted"
89,916138.949529985,"Seasonally Adjusted"
90,878356.121776781,"Seasonally Adjusted"
91,810139.295947014,"Seasonally Adjusted"
92,724136.262481455,"Seasonally Adjusted"
93,705292.973689109,"Seasonally Adjusted"
94,690265.111874708,"Seasonally Adjusted"
95,697176.485329895,"Seasonally Adjusted"
96,699855.349844739,"Seasonally Adjusted"
97,950011.286624859,"Seasonally Adjusted"
98,815788.974392315,"Seasonally Adjusted"
