"month","num","group"
60,1472976,"Unadjusted"
61,1950336,"Unadjusted"
62,1666800,"Unadjusted"
63,1740000,"Unadjusted"
64,1788144,"Unadjusted"
65,1904160,"Unadjusted"
66,1793088,"Unadjusted"
67,1935984,"Unadjusted"
68,1656384,"Unadjusted"
69,1582752,"Unadjusted"
70,1888800,"Unadjusted"
71,1814064,"Unadjusted"
72,1564272,"Unadjusted"
73,1340496,"Unadjusted"
74,1682832,"Unadjusted"
75,1647888,"Unadjusted"
76,1833504,"Unadjusted"
77,1845648,"Unadjusted"
78,1771200,"Unadjusted"
79,1838496,"Unadjusted"
80,1552752,"Unadjusted"
81,1574880,"Unadjusted"
82,2386224,"Unadjusted"
83,2120208,"Unadjusted"
84,2258496,"Unadjusted"
85,1310496,"Unadjusted"
86,1615344,"Unadjusted"
87,1649808,"Unadjusted"
88,1821984,"Unadjusted"
89,1767120,"Unadjusted"
90,1718448,"Unadjusted"
91,1804656,"Unadjusted"
92,1387008,"Unadjusted"
93,1579776,"Unadjusted"
94,1844304,"Unadjusted"
95,1595952,"Unadjusted"
96,1317696,"Unadjusted"
97,1183056,"Unadjusted"
98,1374336,"Unadjusted"
99,1549536,"Unadjusted"
100,1514784,"Unadjusted"
101,1498896,"Unadjusted"
102,1560192,"Unadjusted"
103,1477776,"Unadjusted"
104,1312992,"Unadjusted"
105,1236048,"Unadjusted"
106,1300704,"Unadjusted"
107,1316640,"Unadjusted"
108,962112,"Unadjusted"
109,841488,"Unadjusted"
110,1057872,"Unadjusted"
111,1104576,"Unadjusted"
112,1117296,"Unadjusted"
113,1190112,"Unadjusted"
114,1204752,"Unadjusted"
115,1103184,"Unadjusted"
116,981840,"Unadjusted"
117,1021872,"Unadjusted"
118,1147152,"Unadjusted"
119,1197072,"Unadjusted"
120,779472,"Unadjusted"
121,703152,"Unadjusted"
122,1037904,"Unadjusted"
123,1127760,"Unadjusted"
124,1082688,"Unadjusted"
125,1169520,"Unadjusted"
126,1174032,"Unadjusted"
127,1181184,"Unadjusted"
128,1027728,"Unadjusted"
129,1039632,"Unadjusted"
130,1278048,"Unadjusted"
131,1304976,"Unadjusted"
132,832608,"Unadjusted"
133,734880,"Unadjusted"
134,1095888,"Unadjusted"
135,1179168,"Unadjusted"
136,1221504,"Unadjusted"
137,1299504,"Unadjusted"
138,1224432,"Unadjusted"
139,1333440,"Unadjusted"
140,1143552,"Unadjusted"
141,1140912,"Unadjusted"
142,1417248,"Unadjusted"
143,1400352,"Unadjusted"
144,929616,"Unadjusted"
