"month","num","group"
60,7125360,"Unadjusted"
61,4557984,"Unadjusted"
62,5310624,"Unadjusted"
63,4882032,"Unadjusted"
64,5205072,"Unadjusted"
65,4576560,"Unadjusted"
66,4467360,"Unadjusted"
67,4662000,"Unadjusted"
68,4389504,"Unadjusted"
69,5270256,"Unadjusted"
70,5843472,"Unadjusted"
71,6590208,"Unadjusted"
72,3890112,"Unadjusted"
73,3731664,"Unadjusted"
74,4576944,"Unadjusted"
75,4822560,"Unadjusted"
76,4877616,"Unadjusted"
77,4675296,"Unadjusted"
78,4528416,"Unadjusted"
79,4638000,"Unadjusted"
80,4766400,"Unadjusted"
81,4849584,"Unadjusted"
82,5981952,"Unadjusted"
83,6469872,"Unadjusted"
84,3396864,"Unadjusted"
85,3569280,"Unadjusted"
86,4597152,"Unadjusted"
87,4329408,"Unadjusted"
88,4755504,"Unadjusted"
89,5029440,"Unadjusted"
90,4617360,"Unadjusted"
91,4782144,"Unadjusted"
92,4292784,"Unadjusted"
93,4426896,"Unadjusted"
94,5525136,"Unadjusted"
95,5758272,"Unadjusted"
96,3143664,"Unadjusted"
97,3423456,"Unadjusted"
98,3900816,"Unadjusted"
99,3765888,"Unadjusted"
100,4282224,"Unadjusted"
101,3937008,"Unadjusted"
102,3839424,"Unadjusted"
103,4253040,"Unadjusted"
104,3597648,"Unadjusted"
105,4202880,"Unadjusted"
106,4750032,"Unadjusted"
107,5155104,"Unadjusted"
108,2881104,"Unadjusted"
109,2900640,"Unadjusted"
110,3508416,"Unadjusted"
111,3446448,"Unadjusted"
112,3938448,"Unadjusted"
113,3514416,"Unadjusted"
114,3491280,"Unadjusted"
115,3605280,"Unadjusted"
116,3548544,"Unadjusted"
117,3596640,"Unadjusted"
118,4607952,"Unadjusted"
119,5014704,"Unadjusted"
120,2680128,"Unadjusted"
121,2565552,"Unadjusted"
122,3108912,"Unadjusted"
123,3004848,"Unadjusted"
124,3452448,"Unadjusted"
125,3049680,"Unadjusted"
126,3127392,"Unadjusted"
127,3215952,"Unadjusted"
128,3194880,"Unadjusted"
129,3493008,"Unadjusted"
130,4405728,"Unadjusted"
131,4679664,"Unadjusted"
132,2587536,"Unadjusted"
133,2871744,"Unadjusted"
134,3275472,"Unadjusted"
135,3417120,"Unadjusted"
136,3563280,"Unadjusted"
137,3387072,"Unadjusted"
138,3454752,"Unadjusted"
139,3478416,"Unadjusted"
140,3438432,"Unadjusted"
141,3472464,"Unadjusted"
142,4551984,"Unadjusted"
143,4876128,"Unadjusted"
144,2678784,"Unadjusted"
145,3006048,"Unadjusted"
146,3496416,"Unadjusted"
147,4237008,"Unadjusted"
148,3598848,"Unadjusted"
149,3373584,"Unadjusted"
150,6978288,"Unadjusted"
151,3617856,"Unadjusted"
152,3555024,"Unadjusted"
153,3637920,"Unadjusted"
154,5164080,"Unadjusted"
155,5731104,"Unadjusted"
156,3149616,"Unadjusted"
157,4257744,"Unadjusted"
