"month","num","group"
60,1265040,"Unadjusted"
61,1049472,"Unadjusted"
62,923712,"Unadjusted"
63,829872,"Unadjusted"
64,1071504,"Unadjusted"
65,1307184,"Unadjusted"
66,1347312,"Unadjusted"
67,4216752,"Unadjusted"
68,3633168,"Unadjusted"
69,2064432,"Unadjusted"
70,1433568,"Unadjusted"
71,1078512,"Unadjusted"
72,1495632,"Unadjusted"
73,1190976,"Unadjusted"
74,1080288,"Unadjusted"
75,921984,"Unadjusted"
76,1377168,"Unadjusted"
77,1653840,"Unadjusted"
78,1722192,"Unadjusted"
79,4762464,"Unadjusted"
80,3561600,"Unadjusted"
81,2015616,"Unadjusted"
82,1381968,"Unadjusted"
83,1038816,"Unadjusted"
84,1681920,"Unadjusted"
85,1144656,"Unadjusted"
86,1043328,"Unadjusted"
87,969456,"Unadjusted"
88,1246224,"Unadjusted"
89,1202400,"Unadjusted"
90,1480848,"Unadjusted"
91,4769184,"Unadjusted"
92,3490368,"Unadjusted"
93,2013984,"Unadjusted"
94,1306368,"Unadjusted"
95,938688,"Unadjusted"
96,1747200,"Unadjusted"
97,1334640,"Unadjusted"
98,1034400,"Unadjusted"
99,1010304,"Unadjusted"
100,1142880,"Unadjusted"
101,1087824,"Unadjusted"
102,1523664,"Unadjusted"
103,4763520,"Unadjusted"
104,4422864,"Unadjusted"
105,2912880,"Unadjusted"
106,1603728,"Unadjusted"
107,1407504,"Unadjusted"
108,2286816,"Unadjusted"
109,1809360,"Unadjusted"
110,1520208,"Unadjusted"
111,1428096,"Unadjusted"
112,1679664,"Unadjusted"
113,1589424,"Unadjusted"
114,1572240,"Unadjusted"
115,5156640,"Unadjusted"
116,4830912,"Unadjusted"
117,3030672,"Unadjusted"
118,1868880,"Unadjusted"
119,1431024,"Unadjusted"
120,2291808,"Unadjusted"
121,1837344,"Unadjusted"
122,1626768,"Unadjusted"
123,1360560,"Unadjusted"
124,1355664,"Unadjusted"
125,1466640,"Unadjusted"
126,1191264,"Unadjusted"
127,4324176,"Unadjusted"
128,4321872,"Unadjusted"
129,2037312,"Unadjusted"
130,1235952,"Unadjusted"
131,826752,"Unadjusted"
132,1504656,"Unadjusted"
133,1139232,"Unadjusted"
134,1009824,"Unadjusted"
135,1067136,"Unadjusted"
136,1386960,"Unadjusted"
137,1369968,"Unadjusted"
138,1447632,"Unadjusted"
139,5574000,"Unadjusted"
140,4548624,"Unadjusted"
141,1870512,"Unadjusted"
142,1179024,"Unadjusted"
143,874032,"Unadjusted"
144,1689168,"Unadjusted"
145,1224384,"Unadjusted"
146,1006608,"Unadjusted"
147,961632,"Unadjusted"
148,1448736,"Unadjusted"
149,1511136,"Unadjusted"
150,1559664,"Unadjusted"
151,4998240,"Unadjusted"
152,3842736,"Unadjusted"
153,1879728,"Unadjusted"
154,992832,"Unadjusted"
155,701424,"Unadjusted"
156,1508208,"Unadjusted"
157,1016448,"Unadjusted"
158,743328,"Unadjusted"
159,741456,"Unadjusted"
160,1018368,"Unadjusted"
161,929808,"Unadjusted"
162,1000320,"Unadjusted"
163,3737232,"Unadjusted"
164,3208992,"Unadjusted"
165,1447680,"Unadjusted"
166,810240,"Unadjusted"
167,617136,"Unadjusted"
168,1283424,"Unadjusted"
169,865920,"Unadjusted"
170,670080,"Unadjusted"
171,670128,"Unadjusted"
172,889872,"Unadjusted"
173,875376,"Unadjusted"
174,1047744,"Unadjusted"
175,3471840,"Unadjusted"
176,3088896,"Unadjusted"
177,1270896,"Unadjusted"
178,731040,"Unadjusted"
179,637728,"Unadjusted"
180,1179024,"Unadjusted"
181,802704,"Unadjusted"
182,641520,"Unadjusted"
183,596064,"Unadjusted"
184,818688,"Unadjusted"
185,833424,"Unadjusted"
186,962544,"Unadjusted"
187,3188256,"Unadjusted"
188,2898768,"Unadjusted"
189,1191792,"Unadjusted"
190,661728,"Unadjusted"
191,595894.92936312,"Unadjusted"
192,1101940.67736354,"Unadjusted"
193,783590.945678562,"Unadjusted"
194,613046.082339927,"Unadjusted"
195,541558.850439214,"Unadjusted"
196,796283.672893646,"Unadjusted"
197,779805.741426997,"Unadjusted"
198,851516.478691999,"Unadjusted"
199,3466234.48414373,"Unadjusted"
200,3051266.93821451,"Unadjusted"
201,1136857.94894841,"Unadjusted"
60,1469937.06921609,"Seasonally Adjusted"
61,1546876.61009423,"Seasonally Adjusted"
62,1519108.15402712,"Seasonally Adjusted"
63,1555743.67826904,"Seasonally Adjusted"
64,1590255.17212705,"Seasonally Adjusted"
65,1752805.03979414,"Seasonally Adjusted"
66,1696607.57892978,"Seasonally Adjusted"
67,1647790.31918964,"Seasonally Adjusted"
68,1747007.43005736,"Seasonally Adjusted"
69,1839869.81615744,"Seasonally Adjusted"
70,1846751.3943168,"Seasonally Adjusted"
71,1822456.96066468,"Seasonally Adjusted"
72,1658999.42892934,"Seasonally Adjusted"
73,1737211.62363786,"Seasonally Adjusted"
74,1764307.24249245,"Seasonally Adjusted"
75,1786297.07804513,"Seasonally Adjusted"
76,1963558.38075452,"Seasonally Adjusted"
77,2238147.5313422,"Seasonally Adjusted"
78,2186031.5494218,"Seasonally Adjusted"
79,1871559.06372147,"Seasonally Adjusted"
80,1783287.10694156,"Seasonally Adjusted"
81,1715307.75207756,"Seasonally Adjusted"
82,1784384.32789775,"Seasonally Adjusted"
83,1838059.10866353,"Seasonally Adjusted"
84,1771473.67908047,"Seasonally Adjusted"
85,1643784.83552801,"Seasonally Adjusted"
86,1755943.60517482,"Seasonally Adjusted"
87,1789469.36880057,"Seasonally Adjusted"
88,1777214.07373751,"Seasonally Adjusted"
89,1719814.11643757,"Seasonally Adjusted"
90,1834747.34065295,"Seasonally Adjusted"
91,1887140.40834194,"Seasonally Adjusted"
92,1800910.29200379,"Seasonally Adjusted"
93,1635918.77274549,"Seasonally Adjusted"
94,1701556.55339212,"Seasonally Adjusted"
95,1698899.94715402,"Seasonally Adjusted"
96,1814083.85488263,"Seasonally Adjusted"
97,1812704.88509898,"Seasonally Adjusted"
98,1807339.21454897,"Seasonally Adjusted"
99,1772442.00856644,"Seasonally Adjusted"
100,1685516.59366438,"Seasonally Adjusted"
101,1588769.63437996,"Seasonally Adjusted"
102,1848860.62194213,"Seasonally Adjusted"
103,2033609.22047455,"Seasonally Adjusted"
104,2075788.04161099,"Seasonally Adjusted"
105,2365422.13349054,"Seasonally Adjusted"
106,2300418.85978859,"Seasonally Adjusted"
107,2450692.21518897,"Seasonally Adjusted"
