"month","num","group"
60,29603958888,"Unadjusted"
61,31239051912,"Unadjusted"
62,37392213744,"Unadjusted"
63,34702728756,"Unadjusted"
64,36109250724,"Unadjusted"
65,38981303220,"Unadjusted"
66,41618997400,"Unadjusted"
67,38321005264,"Unadjusted"
68,31766543364,"Unadjusted"
69,29226347436,"Unadjusted"
70,28770087232,"Unadjusted"
71,31479450320,"Unadjusted"
72,29874527172,"Unadjusted"
73,30479797680,"Unadjusted"
74,37158735144,"Unadjusted"
75,34612173096,"Unadjusted"
76,37144457106,"Unadjusted"
77,38145229488,"Unadjusted"
78,40190107244,"Unadjusted"
79,39836088768,"Unadjusted"
80,34794555432,"Unadjusted"
81,32903951708,"Unadjusted"
82,31179742884,"Unadjusted"
83,32611077480,"Unadjusted"
84,30624119856,"Unadjusted"
85,33156409860,"Unadjusted"
86,39152875848,"Unadjusted"
87,35844762840,"Unadjusted"
88,39536919684,"Unadjusted"
89,37393433544,"Unadjusted"
90,38452274772,"Unadjusted"
91,39586977612,"Unadjusted"
92,34299513048,"Unadjusted"
93,35770973160,"Unadjusted"
94,31798005408,"Unadjusted"
95,32732281512,"Unadjusted"
96,29962736736,"Unadjusted"
97,32414879160,"Unadjusted"
98,36637464600,"Unadjusted"
99,34531906404,"Unadjusted"
100,35378675316,"Unadjusted"
101,32647611636,"Unadjusted"
102,32342082096,"Unadjusted"
103,31446491376,"Unadjusted"
104,26921023908,"Unadjusted"
105,22682351448,"Unadjusted"
106,20186855556,"Unadjusted"
107,22097054376,"Unadjusted"
108,20872494628,"Unadjusted"
109,20916241752,"Unadjusted"
110,24684294588,"Unadjusted"
111,23046626532,"Unadjusted"
112,24843617208,"Unadjusted"
113,25228715904,"Unadjusted"
114,26964670092,"Unadjusted"
115,31238693448,"Unadjusted"
116,21738962468,"Unadjusted"
117,22666511736,"Unadjusted"
118,21571517592,"Unadjusted"
119,24171481452,"Unadjusted"
120,21122768040,"Unadjusted"
121,22312854612,"Unadjusted"
122,31085367108,"Unadjusted"
123,28956318600,"Unadjusted"
124,29692531860,"Unadjusted"
125,29582718372,"Unadjusted"
126,31642076532,"Unadjusted"
127,31633935984,"Unadjusted"
128,28639289364,"Unadjusted"
129,28632833100,"Unadjusted"
130,27364009428,"Unadjusted"
131,30161097912,"Unadjusted"
132,26941643708,"Unadjusted"
133,29203214568,"Unadjusted"
134,35104745808,"Unadjusted"
135,32602233828,"Unadjusted"
136,33297905300,"Unadjusted"
137,32419935348,"Unadjusted"
138,34325523456,"Unadjusted"
139,35092762992,"Unadjusted"
140,33107563572,"Unadjusted"
141,32693058644,"Unadjusted"
142,31622426316,"Unadjusted"
143,34687641300,"Unadjusted"
144,30162276948,"Unadjusted"
145,34295430768,"Unadjusted"
146,39835756308,"Unadjusted"
147,37015383192,"Unadjusted"
148,39769827348,"Unadjusted"
149,37541975712,"Unadjusted"
150,38945512008,"Unadjusted"
151,40887741024,"Unadjusted"
152,36384686112,"Unadjusted"
153,36275646876,"Unadjusted"
154,35598733832,"Unadjusted"
155,37203847680,"Unadjusted"
156,34135890444,"Unadjusted"
157,36076070928,"Unadjusted"
158,42581737276,"Unadjusted"
159,41447388276,"Unadjusted"
160,44570267664,"Unadjusted"
161,41869195548,"Unadjusted"
162,44489716200,"Unadjusted"
163,45704851524,"Unadjusted"
164,40257287124,"Unadjusted"
165,39452050260,"Unadjusted"
166,38596492224,"Unadjusted"
167,39735251292,"Unadjusted"
168,36734890512,"Unadjusted"
169,39115214424,"Unadjusted"
170,47838004176,"Unadjusted"
171,44747528232,"Unadjusted"
172,48470084352,"Unadjusted"
173,44491688400,"Unadjusted"
174,47913544728,"Unadjusted"
175,48956048736,"Unadjusted"
176,44936459376,"Unadjusted"
177,43048186608,"Unadjusted"
178,40844340972,"Unadjusted"
179,44072976504,"Unadjusted"
180,40295928804,"Unadjusted"
181,41475489504,"Unadjusted"
182,51138248784,"Unadjusted"
183,47613357840,"Unadjusted"
184,50945200152,"Unadjusted"
185,50235465972,"Unadjusted"
186,51982599288,"Unadjusted"
187,52585779528,"Unadjusted"
188,49085974248,"Unadjusted"
189,47153763072,"Unadjusted"
190,44331438156,"Unadjusted"
191,47104499868.2901,"Unadjusted"
192,41657274559.1766,"Unadjusted"
193,46553828686.262,"Unadjusted"
194,51937434374.7728,"Unadjusted"
195,49117844250.897,"Unadjusted"
196,51830101397.4582,"Unadjusted"
197,49766550279.9024,"Unadjusted"
198,51493451618.225,"Unadjusted"
199,54190504464.6397,"Unadjusted"
200,49902407640.3198,"Unadjusted"
201,47869260326.208,"Unadjusted"
60,34230174694.7761,"Seasonally Adjusted"
61,34233620050.8523,"Seasonally Adjusted"
62,34093635672.6963,"Seasonally Adjusted"
63,33596531660.7438,"Seasonally Adjusted"
64,33699974808.0023,"Seasonally Adjusted"
65,36594176130.9701,"Seasonally Adjusted"
66,38190266199.1963,"Seasonally Adjusted"
67,34419931388.3328,"Seasonally Adjusted"
68,33059083530.0136,"Seasonally Adjusted"
69,31246928541.1117,"Seasonally Adjusted"
70,32927209272.5037,"Seasonally Adjusted"
71,33268553728.7755,"Seasonally Adjusted"
72,34583288954.685,"Seasonally Adjusted"
73,33427028518.3577,"Seasonally Adjusted"
74,33753744286.1755,"Seasonally Adjusted"
75,34231641818.0767,"Seasonally Adjusted"
76,34160560572.9325,"Seasonally Adjusted"
77,35589714303.0877,"Seasonally Adjusted"
78,36885067447.2404,"Seasonally Adjusted"
79,36071776458.1366,"Seasonally Adjusted"
80,36105785405.7296,"Seasonally Adjusted"
81,35039259643.1354,"Seasonally Adjusted"
82,35118875732.6309,"Seasonally Adjusted"
83,35017249370.9056,"Seasonally Adjusted"
84,34717799880.3469,"Seasonally Adjusted"
85,36098798612.8983,"Seasonally Adjusted"
86,35461515124.5453,"Seasonally Adjusted"
87,35401845942.1497,"Seasonally Adjusted"
88,36597028713.14,"Seasonally Adjusted"
89,34936279375.0172,"Seasonally Adjusted"
90,35471244956.8219,"Seasonally Adjusted"
91,35989715981.3959,"Seasonally Adjusted"
92,36390407830.8732,"Seasonally Adjusted"
93,37309899327.5422,"Seasonally Adjusted"
94,35283130853.7887,"Seasonally Adjusted"
95,34932707702.2415,"Seasonally Adjusted"
96,34028807192.3396,"Seasonally Adjusted"
97,33137125028.5587,"Seasonally Adjusted"
98,33614434306.9318,"Seasonally Adjusted"
99,33530822105.1247,"Seasonally Adjusted"
100,32215336407.2533,"Seasonally Adjusted"
101,31278894528.9731,"Seasonally Adjusted"
102,29081260682.5807,"Seasonally Adjusted"
103,28636402669.8068,"Seasonally Adjusted"
104,28312002281.7927,"Seasonally Adjusted"
105,24042321397.825,"Seasonally Adjusted"
106,24104884263.6988,"Seasonally Adjusted"
107,23514888525.7361,"Seasonally Adjusted"
108,24648425805.0336,"Seasonally Adjusted"
109,23844328017.5116,"Seasonally Adjusted"
110,21635615095.0712,"Seasonally Adjusted"
111,21891185173.2244,"Seasonally Adjusted"
112,22482492573.3191,"Seasonally Adjusted"
113,23501946791.1544,"Seasonally Adjusted"
114,23929431866.3326,"Seasonally Adjusted"
115,28646487751.197,"Seasonally Adjusted"
116,23154404136.6113,"Seasonally Adjusted"
117,23741480558.6531,"Seasonally Adjusted"
118,25265027145.2281,"Seasonally Adjusted"
119,25311328298.3927,"Seasonally Adjusted"
120,25682198641.4984,"Seasonally Adjusted"
121,25264984234.273,"Seasonally Adjusted"
122,27468062690.2238,"Seasonally Adjusted"
123,27651803784.6256,"Seasonally Adjusted"
124,27374288464.4741,"Seasonally Adjusted"
125,28284617849.7461,"Seasonally Adjusted"
126,28539913231.2041,"Seasonally Adjusted"
127,29101394558.6539,"Seasonally Adjusted"
128,29813305252.2715,"Seasonally Adjusted"
129,30422861621.3822,"Seasonally Adjusted"
130,30228572635.5344,"Seasonally Adjusted"
131,31057939037.4503,"Seasonally Adjusted"
132,31691698888.1654,"Seasonally Adjusted"
133,32343880478.2616,"Seasonally Adjusted"
134,31500768128.7393,"Seasonally Adjusted"
135,31263382123.4113,"Seasonally Adjusted"
136,30992299621.9108,"Seasonally Adjusted"
137,31274750036.724,"Seasonally Adjusted"
138,31942809253.0407,"Seasonally Adjusted"
139,31745405169.3125,"Seasonally Adjusted"
140,33807325827.6968,"Seasonally Adjusted"
141,34585782221.7418,"Seasonally Adjusted"
142,34669442503.8276,"Seasonally Adjusted"
143,35385831493.6469,"Seasonally Adjusted"
144,35309666734.7395,"Seasonally Adjusted"
145,35614357383.9993,"Seasonally Adjusted"
146,35998925482.5253,"Seasonally Adjusted"
147,36577357104.1368,"Seasonally Adjusted"
148,36665647468.0437,"Seasonally Adjusted"
149,36317522295.8039,"Seasonally Adjusted"
150,36559060854.306,"Seasonally Adjusted"
151,37107695213.3287,"Seasonally Adjusted"
152,37453603114.594,"Seasonally Adjusted"
153,37777236883.7789,"Seasonally Adjusted"
154,38519323182.4314,"Seasonally Adjusted"
155,38762742637.0838,"Seasonally Adjusted"
156,39150020532.7257,"Seasonally Adjusted"
157,39557713373.5278,"Seasonally Adjusted"
158,39488703251.0562,"Seasonally Adjusted"
159,40382790236.0564,"Seasonally Adjusted"
160,41066085594.1595,"Seasonally Adjusted"
161,41464043616.7328,"Seasonally Adjusted"
162,41409032949.8371,"Seasonally Adjusted"
163,41347848232.4473,"Seasonally Adjusted"
