"month","num","group"
60,18024099936,"Unadjusted"
61,19941072000,"Unadjusted"
62,29023471968,"Unadjusted"
63,29718001200,"Unadjusted"
64,31379706864,"Unadjusted"
65,34403685936,"Unadjusted"
66,32257348560,"Unadjusted"
67,37857165792,"Unadjusted"
68,36635514144,"Unadjusted"
69,37296129264,"Unadjusted"
70,38372058288,"Unadjusted"
71,38281410960,"Unadjusted"
72,30408308016,"Unadjusted"
73,32354135424,"Unadjusted"
74,44401932192,"Unadjusted"
75,42178271136,"Unadjusted"
76,46542556128,"Unadjusted"
77,49100619408,"Unadjusted"
78,45495553440,"Unadjusted"
79,48536469696,"Unadjusted"
80,40744401792,"Unadjusted"
81,39328034064,"Unadjusted"
82,35070524352,"Unadjusted"
83,34662211008,"Unadjusted"
84,28647468528,"Unadjusted"
85,29163893520,"Unadjusted"
86,33332060880,"Unadjusted"
87,29621963136,"Unadjusted"
88,31462734000,"Unadjusted"
89,31170622464,"Unadjusted"
90,28517430240,"Unadjusted"
91,28582673568,"Unadjusted"
92,17729011584,"Unadjusted"
93,17473843200,"Unadjusted"
94,14929458144,"Unadjusted"
95,11285943888,"Unadjusted"
96,9615407664,"Unadjusted"
97,10467430320,"Unadjusted"
98,10804829328,"Unadjusted"
99,11544504384,"Unadjusted"
100,9915106896,"Unadjusted"
101,9380492160,"Unadjusted"
102,8808548304,"Unadjusted"
103,7042137840,"Unadjusted"
104,7359781200,"Unadjusted"
105,6780458112,"Unadjusted"
106,4391631984,"Unadjusted"
107,4202158656,"Unadjusted"
108,3724410624,"Unadjusted"
109,4591383696,"Unadjusted"
110,5166322176,"Unadjusted"
111,5149929120,"Unadjusted"
112,4717685328,"Unadjusted"
113,5542963248,"Unadjusted"
114,5103923040,"Unadjusted"
115,4715335008,"Unadjusted"
116,4261824480,"Unadjusted"
117,4061233488,"Unadjusted"
118,3750103632,"Unadjusted"
119,3847321248,"Unadjusted"
120,2928509328,"Unadjusted"
121,2645794320,"Unadjusted"
122,3663678912,"Unadjusted"
123,4563356544,"Unadjusted"
124,4181103600,"Unadjusted"
125,4449293424,"Unadjusted"
126,3841239552,"Unadjusted"
127,4331062656,"Unadjusted"
128,5459704752,"Unadjusted"
129,4867610256,"Unadjusted"
130,5058344640,"Unadjusted"
131,5008201728,"Unadjusted"
132,3620018832,"Unadjusted"
133,3197570400,"Unadjusted"
134,4017822048,"Unadjusted"
135,3841330800,"Unadjusted"
136,4504893072,"Unadjusted"
137,4181232528,"Unadjusted"
138,4317128496,"Unadjusted"
139,5326167504,"Unadjusted"
140,5135847792,"Unadjusted"
141,6077557968,"Unadjusted"
142,5096984688,"Unadjusted"
143,4934566704,"Unadjusted"
144,3803364672,"Unadjusted"
145,4388516064,"Unadjusted"
146,6538153008,"Unadjusted"
147,6674789184,"Unadjusted"
148,7551640224,"Unadjusted"
149,6969927120,"Unadjusted"
150,6711466848,"Unadjusted"
151,6727204608,"Unadjusted"
152,5898029232,"Unadjusted"
153,7727644704,"Unadjusted"
154,6678249600,"Unadjusted"
155,6389441520,"Unadjusted"
156,6783820752,"Unadjusted"
157,6286452672,"Unadjusted"
158,8331870576,"Unadjusted"
