"month","num","group"
60,483244783728,"Unadjusted"
61,522943971360,"Unadjusted"
62,694549655376,"Unadjusted"
63,605542203072,"Unadjusted"
64,665758445472,"Unadjusted"
65,757722612288,"Unadjusted"
66,758696174640,"Unadjusted"
67,818460722736,"Unadjusted"
68,723804455232,"Unadjusted"
69,672635437056,"Unadjusted"
70,610504117536,"Unadjusted"
71,575456343936,"Unadjusted"
72,452940069264,"Unadjusted"
73,469921920432,"Unadjusted"
74,612305415024,"Unadjusted"
75,555653047056,"Unadjusted"
76,620212840752,"Unadjusted"
77,644672079984,"Unadjusted"
78,553260273312,"Unadjusted"
79,618080507904,"Unadjusted"
80,543153091296,"Unadjusted"
81,587114786688,"Unadjusted"
82,563593218288,"Unadjusted"
83,593103478512,"Unadjusted"
84,511271429568,"Unadjusted"
85,478758024768,"Unadjusted"
86,572313327504,"Unadjusted"
87,542385777264,"Unadjusted"
88,564235452816,"Unadjusted"
89,529958584944,"Unadjusted"
90,462564262080,"Unadjusted"
91,450330794400,"Unadjusted"
92,333624995184,"Unadjusted"
93,370984846896,"Unadjusted"
94,345782851584,"Unadjusted"
95,364733542848,"Unadjusted"
96,324787429392,"Unadjusted"
97,495445320096,"Unadjusted"
98,465157430496,"Unadjusted"
99,443529267456,"Unadjusted"
100,391837938096,"Unadjusted"
101,364977265200,"Unadjusted"
102,308557138176,"Unadjusted"
103,282268867296,"Unadjusted"
104,263987545584,"Unadjusted"
105,291138753408,"Unadjusted"
106,193661751120,"Unadjusted"
107,289473556704,"Unadjusted"
108,436939321584,"Unadjusted"
109,511171733328,"Unadjusted"
110,550760504160,"Unadjusted"
111,578268837120,"Unadjusted"
112,613270356816,"Unadjusted"
113,596708395248,"Unadjusted"
114,491190752832,"Unadjusted"
115,365081168688,"Unadjusted"
116,339415456176,"Unadjusted"
117,385560350448,"Unadjusted"
118,379341446976,"Unadjusted"
119,395614802976,"Unadjusted"
120,296879508480,"Unadjusted"
121,260215753056,"Unadjusted"
122,332777226096,"Unadjusted"
123,323782598736,"Unadjusted"
