"month","volume","group","seasonal"
60,10512919728,"Younger than 30","Unadjusted"
61,11136013248,"Younger than 30","Unadjusted"
62,12955772016,"Younger than 30","Unadjusted"
63,12513514608,"Younger than 30","Unadjusted"
64,12865240080,"Younger than 30","Unadjusted"
65,14665351872,"Younger than 30","Unadjusted"
66,14919221856,"Younger than 30","Unadjusted"
67,13853195760,"Younger than 30","Unadjusted"
68,11933853648,"Younger than 30","Unadjusted"
69,11204830464,"Younger than 30","Unadjusted"
70,10977030000,"Younger than 30","Unadjusted"
71,11417412864,"Younger than 30","Unadjusted"
72,10402379376,"Younger than 30","Unadjusted"
73,11394713376,"Younger than 30","Unadjusted"
74,13363086000,"Younger than 30","Unadjusted"
75,12830716800,"Younger than 30","Unadjusted"
76,14113804848,"Younger than 30","Unadjusted"
77,14091502272,"Younger than 30","Unadjusted"
78,15463087680,"Younger than 30","Unadjusted"
79,15109264320,"Younger than 30","Unadjusted"
80,13504957248,"Younger than 30","Unadjusted"
81,13005185472,"Younger than 30","Unadjusted"
82,11945952144,"Younger than 30","Unadjusted"
83,12193590576,"Younger than 30","Unadjusted"
84,11211986784,"Younger than 30","Unadjusted"
85,12462214992,"Younger than 30","Unadjusted"
86,14458774128,"Younger than 30","Unadjusted"
87,13414961088,"Younger than 30","Unadjusted"
88,14720313504,"Younger than 30","Unadjusted"
89,13818000912,"Younger than 30","Unadjusted"
90,14229774192,"Younger than 30","Unadjusted"
91,15295480032,"Younger than 30","Unadjusted"
92,13243345152,"Younger than 30","Unadjusted"
93,13164841776,"Younger than 30","Unadjusted"
94,11805408864,"Younger than 30","Unadjusted"
95,11481554928,"Younger than 30","Unadjusted"
96,10680614160,"Younger than 30","Unadjusted"
97,11944999248,"Younger than 30","Unadjusted"
98,12631525392,"Younger than 30","Unadjusted"
99,11953415424,"Younger than 30","Unadjusted"
100,12616405440,"Younger than 30","Unadjusted"
101,11358730464,"Younger than 30","Unadjusted"
102,11131536288,"Younger than 30","Unadjusted"
103,11058223968,"Younger than 30","Unadjusted"
104,9454822176,"Younger than 30","Unadjusted"
105,8256988272,"Younger than 30","Unadjusted"
106,6873144432,"Younger than 30","Unadjusted"
107,7395342720,"Younger than 30","Unadjusted"
108,6654637872,"Younger than 30","Unadjusted"
109,6630636816,"Younger than 30","Unadjusted"
110,7638885696,"Younger than 30","Unadjusted"
111,7273411008,"Younger than 30","Unadjusted"
112,7895753472,"Younger than 30","Unadjusted"
113,7934134320,"Younger than 30","Unadjusted"
114,8199808608,"Younger than 30","Unadjusted"
115,9179272128,"Younger than 30","Unadjusted"
116,6961708464,"Younger than 30","Unadjusted"
117,7452150816,"Younger than 30","Unadjusted"
118,6698238816,"Younger than 30","Unadjusted"
119,7299642336,"Younger than 30","Unadjusted"
120,6206643264,"Younger than 30","Unadjusted"
121,6935597088,"Younger than 30","Unadjusted"
122,9033735936,"Younger than 30","Unadjusted"
123,8643578976,"Younger than 30","Unadjusted"
124,9157923648,"Younger than 30","Unadjusted"
125,9112089888,"Younger than 30","Unadjusted"
126,9727659072,"Younger than 30","Unadjusted"
127,9870229440,"Younger than 30","Unadjusted"
128,9217041648,"Younger than 30","Unadjusted"
129,8879120736,"Younger than 30","Unadjusted"
130,8609997360,"Younger than 30","Unadjusted"
131,8767466592,"Younger than 30","Unadjusted"
132,7739673408,"Younger than 30","Unadjusted"
133,8936205408,"Younger than 30","Unadjusted"
134,10667156112,"Younger than 30","Unadjusted"
135,9944178528,"Younger than 30","Unadjusted"
136,10157665248,"Younger than 30","Unadjusted"
137,10099324608,"Younger than 30","Unadjusted"
138,10967343936,"Younger than 30","Unadjusted"
139,11238302784,"Younger than 30","Unadjusted"
140,10674081408,"Younger than 30","Unadjusted"
141,10333142544,"Younger than 30","Unadjusted"
142,10106838960,"Younger than 30","Unadjusted"
143,10492268160,"Younger than 30","Unadjusted"
144,8726901984,"Younger than 30","Unadjusted"
145,11019865728,"Younger than 30","Unadjusted"
146,12290897472,"Younger than 30","Unadjusted"
147,11284387920,"Younger than 30","Unadjusted"
148,12332169504,"Younger than 30","Unadjusted"
149,11711424144,"Younger than 30","Unadjusted"
150,12303569712,"Younger than 30","Unadjusted"
151,12742438800,"Younger than 30","Unadjusted"
152,11218161360,"Younger than 30","Unadjusted"
153,11325176592,"Younger than 30","Unadjusted"
154,10985243808,"Younger than 30","Unadjusted"
155,10899566448,"Younger than 30","Unadjusted"
156,9530085216,"Younger than 30","Unadjusted"
157,10968905040,"Younger than 30","Unadjusted"
158,12804970512,"Younger than 30","Unadjusted"
159,12442870128,"Younger than 30","Unadjusted"
160,13051830528,"Younger than 30","Unadjusted"
161,12621269856,"Younger than 30","Unadjusted"
162,13391657328,"Younger than 30","Unadjusted"
163,13576537824,"Younger than 30","Unadjusted"
164,12057722496,"Younger than 30","Unadjusted"
165,11753862864,"Younger than 30","Unadjusted"
166,11622178320,"Younger than 30","Unadjusted"
167,11320584672,"Younger than 30","Unadjusted"
168,10314416880,"Younger than 30","Unadjusted"
169,12290466144,"Younger than 30","Unadjusted"
170,14202295056,"Younger than 30","Unadjusted"
171,12824839584,"Younger than 30","Unadjusted"
172,13916388816,"Younger than 30","Unadjusted"
173,13026510288,"Younger than 30","Unadjusted"
174,14383955280,"Younger than 30","Unadjusted"
175,14537563344,"Younger than 30","Unadjusted"
176,13484575200,"Younger than 30","Unadjusted"
177,12894103296,"Younger than 30","Unadjusted"
178,12412424688,"Younger than 30","Unadjusted"
179,12227380608,"Younger than 30","Unadjusted"
180,11252669472,"Younger than 30","Unadjusted"
181,13004760144,"Younger than 30","Unadjusted"
182,14874909696,"Younger than 30","Unadjusted"
183,13780229568,"Younger than 30","Unadjusted"
184,14789150736,"Younger than 30","Unadjusted"
185,14522228064,"Younger than 30","Unadjusted"
186,15521966928,"Younger than 30","Unadjusted"
187,15322020384,"Younger than 30","Unadjusted"
188,13879500528,"Younger than 30","Unadjusted"
189,13659913488,"Younger than 30","Unadjusted"
190,12813546240,"Younger than 30","Unadjusted"
191,12594050938.7427,"Younger than 30","Unadjusted"
192,11078435789.1598,"Younger than 30","Unadjusted"
193,13693603832.8841,"Younger than 30","Unadjusted"
194,14529861792.8818,"Younger than 30","Unadjusted"
195,13600085840.9534,"Younger than 30","Unadjusted"
196,13731000115.6913,"Younger than 30","Unadjusted"
197,12694273230.8688,"Younger than 30","Unadjusted"
198,13546430810.8173,"Younger than 30","Unadjusted"
199,13736157406.7276,"Younger than 30","Unadjusted"
200,12852001290.9921,"Younger than 30","Unadjusted"
201,12950602812.4334,"Younger than 30","Unadjusted"
60,22695535872,"30 - 44","Unadjusted"
61,24602268000,"30 - 44","Unadjusted"
62,29052469392,"30 - 44","Unadjusted"
63,26789088912,"30 - 44","Unadjusted"
64,27864274080,"30 - 44","Unadjusted"
65,31168655616,"30 - 44","Unadjusted"
66,33542109072,"30 - 44","Unadjusted"
67,29644905504,"30 - 44","Unadjusted"
68,24638042880,"30 - 44","Unadjusted"
69,22401080016,"30 - 44","Unadjusted"
70,21877759968,"30 - 44","Unadjusted"
71,23537985312,"30 - 44","Unadjusted"
72,22422705792,"30 - 44","Unadjusted"
73,23470951296,"30 - 44","Unadjusted"
74,27763903536,"30 - 44","Unadjusted"
75,25656765792,"30 - 44","Unadjusted"
76,27952129248,"30 - 44","Unadjusted"
77,28701483312,"30 - 44","Unadjusted"
78,29863583952,"30 - 44","Unadjusted"
79,29359194336,"30 - 44","Unadjusted"
80,25525470912,"30 - 44","Unadjusted"
81,24126893952,"30 - 44","Unadjusted"
82,23225350608,"30 - 44","Unadjusted"
83,23540480640,"30 - 44","Unadjusted"
84,22437280752,"30 - 44","Unadjusted"
85,24076503888,"30 - 44","Unadjusted"
86,28883785632,"30 - 44","Unadjusted"
87,26450280384,"30 - 44","Unadjusted"
88,28778856192,"30 - 44","Unadjusted"
89,27303015936,"30 - 44","Unadjusted"
90,28605965424,"30 - 44","Unadjusted"
91,28241512464,"30 - 44","Unadjusted"
92,24600037872,"30 - 44","Unadjusted"
93,25320673008,"30 - 44","Unadjusted"
94,22895843664,"30 - 44","Unadjusted"
95,23100805152,"30 - 44","Unadjusted"
96,21279469632,"30 - 44","Unadjusted"
97,23477918208,"30 - 44","Unadjusted"
98,26677979856,"30 - 44","Unadjusted"
99,24209770944,"30 - 44","Unadjusted"
100,24993315936,"30 - 44","Unadjusted"
101,23274797424,"30 - 44","Unadjusted"
102,23231392800,"30 - 44","Unadjusted"
103,21853121808,"30 - 44","Unadjusted"
104,18607452960,"30 - 44","Unadjusted"
105,15269293632,"30 - 44","Unadjusted"
106,13828752096,"30 - 44","Unadjusted"
107,15072834816,"30 - 44","Unadjusted"
108,14286515136,"30 - 44","Unadjusted"
109,14251568880,"30 - 44","Unadjusted"
110,16980432480,"30 - 44","Unadjusted"
111,15613516992,"30 - 44","Unadjusted"
112,17240610144,"30 - 44","Unadjusted"
113,17323180512,"30 - 44","Unadjusted"
114,18040893456,"30 - 44","Unadjusted"
115,20520186384,"30 - 44","Unadjusted"
