"month","volume","group","seasonal"
60,3388035504,"Younger than 30","Unadjusted"
61,2690153376,"Younger than 30","Unadjusted"
62,2711964240,"Younger than 30","Unadjusted"
63,2491521936,"Younger than 30","Unadjusted"
64,3463391016,"Younger than 30","Unadjusted"
65,5938848768,"Younger than 30","Unadjusted"
66,7380936360,"Younger than 30","Unadjusted"
67,17816102832,"Younger than 30","Unadjusted"
68,12621938820,"Younger than 30","Unadjusted"
69,7749648148,"Younger than 30","Unadjusted"
70,6152743776,"Younger than 30","Unadjusted"
71,4487091840,"Younger than 30","Unadjusted"
72,4331046828,"Younger than 30","Unadjusted"
73,3382343024,"Younger than 30","Unadjusted"
74,3138344976,"Younger than 30","Unadjusted"
75,2934931444,"Younger than 30","Unadjusted"
76,4885148808,"Younger than 30","Unadjusted"
77,7679280288,"Younger than 30","Unadjusted"
78,8852609664,"Younger than 30","Unadjusted"
79,18824852760,"Younger than 30","Unadjusted"
80,12323617680,"Younger than 30","Unadjusted"
81,7135199616,"Younger than 30","Unadjusted"
82,5766365448,"Younger than 30","Unadjusted"
83,3930102432,"Younger than 30","Unadjusted"
84,4799368800,"Younger than 30","Unadjusted"
85,3102153408,"Younger than 30","Unadjusted"
86,2921637144,"Younger than 30","Unadjusted"
87,2656887744,"Younger than 30","Unadjusted"
88,3436495656,"Younger than 30","Unadjusted"
89,4247077896,"Younger than 30","Unadjusted"
90,5152322376,"Younger than 30","Unadjusted"
91,18314006352,"Younger than 30","Unadjusted"
92,12311050404,"Younger than 30","Unadjusted"
93,5778576816,"Younger than 30","Unadjusted"
94,4267544928,"Younger than 30","Unadjusted"
95,2929120392,"Younger than 30","Unadjusted"
96,4415599944,"Younger than 30","Unadjusted"
97,3219742296,"Younger than 30","Unadjusted"
98,2297441232,"Younger than 30","Unadjusted"
99,2227701000,"Younger than 30","Unadjusted"
100,2962509984,"Younger than 30","Unadjusted"
101,2955394632,"Younger than 30","Unadjusted"
102,4991150280,"Younger than 30","Unadjusted"
103,20247266496,"Younger than 30","Unadjusted"
104,15233880152,"Younger than 30","Unadjusted"
105,8656809960,"Younger than 30","Unadjusted"
106,4440921024,"Younger than 30","Unadjusted"
107,4203203832,"Younger than 30","Unadjusted"
108,6027435024,"Younger than 30","Unadjusted"
109,4145306904,"Younger than 30","Unadjusted"
110,3291042864,"Younger than 30","Unadjusted"
111,3142295952,"Younger than 30","Unadjusted"
112,4236147024,"Younger than 30","Unadjusted"
113,3993865956,"Younger than 30","Unadjusted"
