"month","volume","group","seasonal"
60,1547843328,"Low","Unadjusted"
61,1699430208,"Low","Unadjusted"
62,1906674240,"Low","Unadjusted"
63,1929920064,"Low","Unadjusted"
64,1911551136,"Low","Unadjusted"
65,1963636176,"Low","Unadjusted"
66,2130085008,"Low","Unadjusted"
67,1889039136,"Low","Unadjusted"
68,1753415136,"Low","Unadjusted"
69,1672639488,"Low","Unadjusted"
70,1611727536,"Low","Unadjusted"
71,1743961584,"Low","Unadjusted"
72,1687969344,"Low","Unadjusted"
73,1869014592,"Low","Unadjusted"
74,2050099728,"Low","Unadjusted"
75,1964212464,"Low","Unadjusted"
76,1964775120,"Low","Unadjusted"
77,2097239136,"Low","Unadjusted"
78,2056246032,"Low","Unadjusted"
79,2100362256,"Low","Unadjusted"
80,1797256128,"Low","Unadjusted"
81,1803187248,"Low","Unadjusted"
82,1759339392,"Low","Unadjusted"
83,1656620928,"Low","Unadjusted"
84,1795357296,"Low","Unadjusted"
85,1886460048,"Low","Unadjusted"
86,2340199200,"Low","Unadjusted"
87,2004320208,"Low","Unadjusted"
88,2051551296,"Low","Unadjusted"
89,1979882448,"Low","Unadjusted"
90,1967629872,"Low","Unadjusted"
91,1981643568,"Low","Unadjusted"
92,1794213312,"Low","Unadjusted"
93,1911855744,"Low","Unadjusted"
94,1773332880,"Low","Unadjusted"
95,1700087520,"Low","Unadjusted"
96,1559176896,"Low","Unadjusted"
97,1837217184,"Low","Unadjusted"
98,1844194608,"Low","Unadjusted"
99,1765948080,"Low","Unadjusted"
100,1734275328,"Low","Unadjusted"
101,1598343168,"Low","Unadjusted"
102,1543011216,"Low","Unadjusted"
103,1484563536,"Low","Unadjusted"
104,1261413072,"Low","Unadjusted"
105,1085988768,"Low","Unadjusted"
106,933429216,"Low","Unadjusted"
107,881196672,"Low","Unadjusted"
108,982662912,"Low","Unadjusted"
109,971310720,"Low","Unadjusted"
110,1007842992,"Low","Unadjusted"
111,898982496,"Low","Unadjusted"
112,954405840,"Low","Unadjusted"
113,972427824,"Low","Unadjusted"
114,1058797488,"Low","Unadjusted"
115,1280319168,"Low","Unadjusted"
116,807887712,"Low","Unadjusted"
117,901986672,"Low","Unadjusted"
118,784738752,"Low","Unadjusted"
119,801674400,"Low","Unadjusted"
120,800887824,"Low","Unadjusted"
121,1060011168,"Low","Unadjusted"
122,1311147408,"Low","Unadjusted"
123,1171201536,"Low","Unadjusted"
124,1191991584,"Low","Unadjusted"
125,1101272016,"Low","Unadjusted"
126,1362421584,"Low","Unadjusted"
127,1382773440,"Low","Unadjusted"
128,1312143456,"Low","Unadjusted"
129,1276101168,"Low","Unadjusted"
130,1259508048,"Low","Unadjusted"
131,1256643072,"Low","Unadjusted"
132,1140487968,"Low","Unadjusted"
133,1403440176,"Low","Unadjusted"
134,1708048704,"Low","Unadjusted"
135,1583817600,"Low","Unadjusted"
136,1542729936,"Low","Unadjusted"
137,1566886896,"Low","Unadjusted"
138,1626381504,"Low","Unadjusted"
139,1556519904,"Low","Unadjusted"
140,1569464976,"Low","Unadjusted"
141,1596089664,"Low","Unadjusted"
142,1465498656,"Low","Unadjusted"
143,1497932880,"Low","Unadjusted"
144,1405019472,"Low","Unadjusted"
145,1852078368,"Low","Unadjusted"
146,2052310944,"Low","Unadjusted"
147,1808744064,"Low","Unadjusted"
148,1885641888,"Low","Unadjusted"
149,1817818224,"Low","Unadjusted"
150,2028865152,"Low","Unadjusted"
151,1883932368,"Low","Unadjusted"
152,1836148752,"Low","Unadjusted"
153,1623450144,"Low","Unadjusted"
154,1683892320,"Low","Unadjusted"
155,1607078448,"Low","Unadjusted"
156,1580178144,"Low","Unadjusted"
157,1964241552,"Low","Unadjusted"
158,2248374528,"Low","Unadjusted"
159,2181822144,"Low","Unadjusted"
160,2190444048,"Low","Unadjusted"
161,1960845744,"Low","Unadjusted"
162,2239585200,"Low","Unadjusted"
163,2217639936,"Low","Unadjusted"
164,1963319568,"Low","Unadjusted"
165,1936846752,"Low","Unadjusted"
166,1925603904,"Low","Unadjusted"
167,1877521728,"Low","Unadjusted"
168,1894473360,"Low","Unadjusted"
169,2286443520,"Low","Unadjusted"
170,2615976528,"Low","Unadjusted"
171,2333174400,"Low","Unadjusted"
172,2493131136,"Low","Unadjusted"
173,2183781072,"Low","Unadjusted"
174,2527685520,"Low","Unadjusted"
175,2420255040,"Low","Unadjusted"
176,2382856224,"Low","Unadjusted"
177,2331608640,"Low","Unadjusted"
178,2169484272,"Low","Unadjusted"
179,2222153136,"Low","Unadjusted"
180,2069383152,"Low","Unadjusted"
181,2541912336,"Low","Unadjusted"
182,2945564016,"Low","Unadjusted"
183,2773132032,"Low","Unadjusted"
184,2790146640,"Low","Unadjusted"
185,2766336672,"Low","Unadjusted"
186,2847230640,"Low","Unadjusted"
187,2895069072,"Low","Unadjusted"
188,2708718960,"Low","Unadjusted"
189,2491376304,"Low","Unadjusted"
190,2405366640,"Low","Unadjusted"
