"month","volume","group","seasonal"
126,5262571776,"Low","Unadjusted"
127,4339379424,"Low","Unadjusted"
128,5619110160,"Low","Unadjusted"
129,5544007152,"Low","Unadjusted"
130,5079677328,"Low","Unadjusted"
131,5638657440,"Low","Unadjusted"
132,3683018640,"Low","Unadjusted"
133,3311113104,"Low","Unadjusted"
134,3945605952,"Low","Unadjusted"
135,3242824032,"Low","Unadjusted"
136,3683618304,"Low","Unadjusted"
137,4157233152,"Low","Unadjusted"
138,3775516896,"Low","Unadjusted"
139,4073340000,"Low","Unadjusted"
140,5364888864,"Low","Unadjusted"
141,3995920464,"Low","Unadjusted"
142,3590580960,"Low","Unadjusted"
143,4980720384,"Low","Unadjusted"
144,4085175072,"Low","Unadjusted"
145,4160845248,"Low","Unadjusted"
146,5630115216,"Low","Unadjusted"
147,5267212464,"Low","Unadjusted"
148,5064522432,"Low","Unadjusted"
149,5850260688,"Low","Unadjusted"
150,5590564992,"Low","Unadjusted"
151,6682221264,"Low","Unadjusted"
152,6249674112,"Low","Unadjusted"
153,6715067136,"Low","Unadjusted"
154,5229511488,"Low","Unadjusted"
155,5929135008,"Low","Unadjusted"
156,5106045504,"Low","Unadjusted"
157,5184059232,"Low","Unadjusted"
158,7402584816,"Low","Unadjusted"
159,5849405232,"Low","Unadjusted"
160,6676323408,"Low","Unadjusted"
161,6158334624,"Low","Unadjusted"
162,6302107296,"Low","Unadjusted"
163,6718934832,"Low","Unadjusted"
164,5055181152,"Low","Unadjusted"
165,4730278848,"Low","Unadjusted"
166,4241110224,"Low","Unadjusted"
167,5554496928,"Low","Unadjusted"
168,3369989952,"Low","Unadjusted"
169,3413175888,"Low","Unadjusted"
170,4701617232,"Low","Unadjusted"
171,4781600976,"Low","Unadjusted"
172,4938821712,"Low","Unadjusted"
173,5947863168,"Low","Unadjusted"
174,5173802352,"Low","Unadjusted"
175,5485919472,"Low","Unadjusted"
176,4677617280,"Low","Unadjusted"
177,4780645968,"Low","Unadjusted"
178,4499326320,"Low","Unadjusted"
179,5137440240,"Low","Unadjusted"
180,3861858288,"Low","Unadjusted"
181,5368933776,"Low","Unadjusted"
182,6708850944,"Low","Unadjusted"
183,7384222416,"Low","Unadjusted"
184,7493834784,"Low","Unadjusted"
185,7606652688,"Low","Unadjusted"
186,7647742080,"Low","Unadjusted"
187,7546871136,"Low","Unadjusted"
188,5864773872,"Low","Unadjusted"
189,5788541616,"Low","Unadjusted"
190,5320820495.05974,"Low","Unadjusted"
191,7174886947.61796,"Low","Unadjusted"
192,4060890180.1903,"Low","Unadjusted"
193,5147514943.47392,"Low","Unadjusted"
194,7097631978.05211,"Low","Unadjusted"
195,6720531585.41518,"Low","Unadjusted"
196,7320635822.31089,"Low","Unadjusted"
197,9920642044.34844,"Low","Unadjusted"
198,9956757805.11036,"Low","Unadjusted"
199,11729847801.0389,"Low","Unadjusted"
200,10765477969.1679,"Low","Unadjusted"
126,28642124928,"Moderate","Unadjusted"
127,33764121456,"Moderate","Unadjusted"
128,36174632880,"Moderate","Unadjusted"
129,36723386352,"Moderate","Unadjusted"
130,36959893872,"Moderate","Unadjusted"
131,36656070720,"Moderate","Unadjusted"
132,27121712640,"Moderate","Unadjusted"
133,21597243504,"Moderate","Unadjusted"
134,24722671872,"Moderate","Unadjusted"
135,23511119904,"Moderate","Unadjusted"
136,25388584176,"Moderate","Unadjusted"
137,27322945344,"Moderate","Unadjusted"
138,26052063264,"Moderate","Unadjusted"
139,27746111424,"Moderate","Unadjusted"
140,29392795584,"Moderate","Unadjusted"
141,31482228048,"Moderate","Unadjusted"
142,30389367360,"Moderate","Unadjusted"
143,32624011056,"Moderate","Unadjusted"
144,27593101488,"Moderate","Unadjusted"
