"month","volume","group","seasonal"
60,186193848,"Low","Unadjusted"
61,327709344,"Low","Unadjusted"
62,220808232,"Low","Unadjusted"
63,219604224,"Low","Unadjusted"
64,258693264,"Low","Unadjusted"
65,293488692,"Low","Unadjusted"
66,230111328,"Low","Unadjusted"
67,249246696,"Low","Unadjusted"
68,219173376,"Low","Unadjusted"
69,191198280,"Low","Unadjusted"
70,268027992,"Low","Unadjusted"
71,228229584,"Low","Unadjusted"
72,234997104,"Low","Unadjusted"
73,168605544,"Low","Unadjusted"
74,206128064,"Low","Unadjusted"
75,219472704,"Low","Unadjusted"
76,271298280,"Low","Unadjusted"
77,219003432,"Low","Unadjusted"
78,236026440,"Low","Unadjusted"
79,245315424,"Low","Unadjusted"
80,225976224,"Low","Unadjusted"
81,220393624,"Low","Unadjusted"
82,290350512,"Low","Unadjusted"
83,261078216,"Low","Unadjusted"
84,282217440,"Low","Unadjusted"
85,176460240,"Low","Unadjusted"
86,226599936,"Low","Unadjusted"
87,378457320,"Low","Unadjusted"
88,282403104,"Low","Unadjusted"
89,254891640,"Low","Unadjusted"
90,234056544,"Low","Unadjusted"
91,257573760,"Low","Unadjusted"
92,211545384,"Low","Unadjusted"
93,232079904,"Low","Unadjusted"
94,257692788,"Low","Unadjusted"
95,182070384,"Low","Unadjusted"
96,176922528,"Low","Unadjusted"
97,178908888,"Low","Unadjusted"
98,181822704,"Low","Unadjusted"
99,215959536,"Low","Unadjusted"
100,249332808,"Low","Unadjusted"
101,198362352,"Low","Unadjusted"
102,191408160,"Low","Unadjusted"
103,193821180,"Low","Unadjusted"
104,186580296,"Low","Unadjusted"
105,154511616,"Low","Unadjusted"
106,170415312,"Low","Unadjusted"
107,158964048,"Low","Unadjusted"
108,121764936,"Low","Unadjusted"
109,102157152,"Low","Unadjusted"
110,135980448,"Low","Unadjusted"
111,124807672,"Low","Unadjusted"
112,132652536,"Low","Unadjusted"
113,139291044,"Low","Unadjusted"
114,138609672,"Low","Unadjusted"
115,117922920,"Low","Unadjusted"
116,110437752,"Low","Unadjusted"
117,110216376,"Low","Unadjusted"
118,112838712,"Low","Unadjusted"
119,116656544,"Low","Unadjusted"
120,75371280,"Low","Unadjusted"
121,79303248,"Low","Unadjusted"
122,155664648,"Low","Unadjusted"
123,119257456,"Low","Unadjusted"
124,107589624,"Low","Unadjusted"
125,107164560,"Low","Unadjusted"
126,126158472,"Low","Unadjusted"
127,147065568,"Low","Unadjusted"
128,120927000,"Low","Unadjusted"
129,108910968,"Low","Unadjusted"
130,143465568,"Low","Unadjusted"
131,132607320,"Low","Unadjusted"
132,91962384,"Low","Unadjusted"
133,78267192,"Low","Unadjusted"
134,132993672,"Low","Unadjusted"
135,133113192,"Low","Unadjusted"
136,217934064,"Low","Unadjusted"
137,145818192,"Low","Unadjusted"
138,128940192,"Low","Unadjusted"
139,153059688,"Low","Unadjusted"
140,129347712,"Low","Unadjusted"
141,145650912,"Low","Unadjusted"
142,156212376,"Low","Unadjusted"
143,147129144,"Low","Unadjusted"
144,107557864,"Low","Unadjusted"
145,103357968,"Low","Unadjusted"
146,158636448,"Low","Unadjusted"
147,148776936,"Low","Unadjusted"
148,155289000,"Low","Unadjusted"
149,167371176,"Low","Unadjusted"
150,157469184,"Low","Unadjusted"
151,160690800,"Low","Unadjusted"
152,136386696,"Low","Unadjusted"
153,145587912,"Low","Unadjusted"
154,155317536,"Low","Unadjusted"
155,149401968,"Low","Unadjusted"
156,173033424,"Low","Unadjusted"
157,123845640,"Low","Unadjusted"
158,158906376,"Low","Unadjusted"
159,172946568,"Low","Unadjusted"
160,186537456,"Low","Unadjusted"
161,198221424,"Low","Unadjusted"
162,212891832,"Low","Unadjusted"
163,220300056,"Low","Unadjusted"
164,165999072,"Low","Unadjusted"
165,190792584,"Low","Unadjusted"
166,197314776,"Low","Unadjusted"
167,175406544,"Low","Unadjusted"
168,183111000,"Low","Unadjusted"
169,136698240,"Low","Unadjusted"
170,189586440,"Low","Unadjusted"
171,214100976,"Low","Unadjusted"
172,220666464,"Low","Unadjusted"
173,239345016,"Low","Unadjusted"
174,249538176,"Low","Unadjusted"
175,226632432,"Low","Unadjusted"
176,184240224,"Low","Unadjusted"
177,239283504,"Low","Unadjusted"
178,224293288,"Low","Unadjusted"
179,218689464,"Low","Unadjusted"
180,182669808,"Low","Unadjusted"
181,175353432,"Low","Unadjusted"
182,214176072,"Low","Unadjusted"
183,253462056,"Low","Unadjusted"
184,273292248,"Low","Unadjusted"
185,308513904,"Low","Unadjusted"
186,317205840,"Low","Unadjusted"
187,263570760,"Low","Unadjusted"
188,257458728,"Low","Unadjusted"
189,287458680,"Low","Unadjusted"
190,305993976,"Low","Unadjusted"
191,269094840,"Low","Unadjusted"
192,222249984,"Low","Unadjusted"
193,204826683.124697,"Low","Unadjusted"
194,295377137.018055,"Low","Unadjusted"
195,265315726.224722,"Low","Unadjusted"
196,303463072.100248,"Low","Unadjusted"
197,280871640.940303,"Low","Unadjusted"
198,279867752.308202,"Low","Unadjusted"
199,278808022.540677,"Low","Unadjusted"
200,237488987.664512,"Low","Unadjusted"
201,232493183.259999,"Low","Unadjusted"
202,282271747.373915,"Low","Unadjusted"
203,239626554.491539,"Low","Unadjusted"
60,974228928,"Moderate","Unadjusted"
61,2521506528,"Moderate","Unadjusted"
62,1170930948,"Moderate","Unadjusted"
63,1239514812,"Moderate","Unadjusted"
64,1289503656,"Moderate","Unadjusted"
65,1501394304,"Moderate","Unadjusted"
66,1237498112,"Moderate","Unadjusted"
67,1392344152,"Moderate","Unadjusted"
68,1175725464,"Moderate","Unadjusted"
69,1112306976,"Moderate","Unadjusted"
70,1275313704,"Moderate","Unadjusted"
71,1129395048,"Moderate","Unadjusted"
72,1131075576,"Moderate","Unadjusted"
73,982047576,"Moderate","Unadjusted"
74,1298887392,"Moderate","Unadjusted"
75,1128321312,"Moderate","Unadjusted"
76,1431853464,"Moderate","Unadjusted"
77,1348227856,"Moderate","Unadjusted"
78,1324348584,"Moderate","Unadjusted"
79,1422145224,"Moderate","Unadjusted"
80,1092279408,"Moderate","Unadjusted"
81,1273374984,"Moderate","Unadjusted"
82,1434120456,"Moderate","Unadjusted"
83,1243772456,"Moderate","Unadjusted"
84,1319838936,"Moderate","Unadjusted"
85,972478752,"Moderate","Unadjusted"
86,1267219424,"Moderate","Unadjusted"
87,1227532224,"Moderate","Unadjusted"
88,1478515488,"Moderate","Unadjusted"
89,1404840240,"Moderate","Unadjusted"
90,1345119216,"Moderate","Unadjusted"
91,1357259328,"Moderate","Unadjusted"
92,1030976208,"Moderate","Unadjusted"
93,1210917776,"Moderate","Unadjusted"
94,1329644928,"Moderate","Unadjusted"
95,1041917976,"Moderate","Unadjusted"
96,939465480,"Moderate","Unadjusted"
97,896687016,"Moderate","Unadjusted"
98,1045160968,"Moderate","Unadjusted"
99,1159314672,"Moderate","Unadjusted"
100,1107893432,"Moderate","Unadjusted"
101,1128097728,"Moderate","Unadjusted"
102,1102477344,"Moderate","Unadjusted"
103,994772824,"Moderate","Unadjusted"
104,900743568,"Moderate","Unadjusted"
105,860285184,"Moderate","Unadjusted"
106,836689224,"Moderate","Unadjusted"
107,752055000,"Moderate","Unadjusted"
108,601590240,"Moderate","Unadjusted"
109,562439028,"Moderate","Unadjusted"
110,660582312,"Moderate","Unadjusted"
111,721586028,"Moderate","Unadjusted"
112,678597592,"Moderate","Unadjusted"
113,739281204,"Moderate","Unadjusted"
114,654990384,"Moderate","Unadjusted"
115,608916984,"Moderate","Unadjusted"
116,545136624,"Moderate","Unadjusted"
117,568890168,"Moderate","Unadjusted"
118,626730544,"Moderate","Unadjusted"
119,555413280,"Moderate","Unadjusted"
120,430622808,"Moderate","Unadjusted"
121,411393720,"Moderate","Unadjusted"
122,630528396,"Moderate","Unadjusted"
123,670772964,"Moderate","Unadjusted"
124,942943656,"Moderate","Unadjusted"
125,628344312,"Moderate","Unadjusted"
126,735145200,"Moderate","Unadjusted"
127,759194472,"Moderate","Unadjusted"
128,637833360,"Moderate","Unadjusted"
129,621593916,"Moderate","Unadjusted"
130,755132040,"Moderate","Unadjusted"
131,711797856,"Moderate","Unadjusted"
132,495772848,"Moderate","Unadjusted"
133,487459216,"Moderate","Unadjusted"
134,670286424,"Moderate","Unadjusted"
135,800289000,"Moderate","Unadjusted"
136,845456352,"Moderate","Unadjusted"
137,833554020,"Moderate","Unadjusted"
138,753893184,"Moderate","Unadjusted"
139,813700952,"Moderate","Unadjusted"
140,743895968,"Moderate","Unadjusted"
141,733786856,"Moderate","Unadjusted"
142,896273664,"Moderate","Unadjusted"
143,780387780,"Moderate","Unadjusted"
144,608439480,"Moderate","Unadjusted"
145,589073208,"Moderate","Unadjusted"
