"month","volume","group","seasonal"
126,168399168,"Low","Unadjusted"
127,181479216,"Low","Unadjusted"
128,162248256,"Low","Unadjusted"
129,170288112,"Low","Unadjusted"
130,214561392,"Low","Unadjusted"
131,212550192,"Low","Unadjusted"
132,142040784,"Low","Unadjusted"
133,137287488,"Low","Unadjusted"
134,164891376,"Low","Unadjusted"
135,170098176,"Low","Unadjusted"
136,185759136,"Low","Unadjusted"
137,179680560,"Low","Unadjusted"
138,195466848,"Low","Unadjusted"
139,203308704,"Low","Unadjusted"
140,193531152,"Low","Unadjusted"
141,192632592,"Low","Unadjusted"
142,254884080,"Low","Unadjusted"
143,248243328,"Low","Unadjusted"
144,165978192,"Low","Unadjusted"
145,184125888,"Low","Unadjusted"
146,201890784,"Low","Unadjusted"
147,208924464,"Low","Unadjusted"
148,218228832,"Low","Unadjusted"
149,199019904,"Low","Unadjusted"
150,303154080,"Low","Unadjusted"
151,203987616,"Low","Unadjusted"
152,205501152,"Low","Unadjusted"
153,225977136,"Low","Unadjusted"
154,298735968,"Low","Unadjusted"
155,316693296,"Low","Unadjusted"
156,196465008,"Low","Unadjusted"
157,238614384,"Low","Unadjusted"
158,254011056,"Low","Unadjusted"
159,236337408,"Low","Unadjusted"
160,252899328,"Low","Unadjusted"
161,239402832,"Low","Unadjusted"
162,250350768,"Low","Unadjusted"
163,264873120,"Low","Unadjusted"
164,244226064,"Low","Unadjusted"
165,250630560,"Low","Unadjusted"
166,320454864,"Low","Unadjusted"
167,323374752,"Low","Unadjusted"
168,198663840,"Low","Unadjusted"
169,219449328,"Low","Unadjusted"
170,247331184,"Low","Unadjusted"
171,248672976,"Low","Unadjusted"
172,288280896,"Low","Unadjusted"
173,286939968,"Low","Unadjusted"
174,293520144,"Low","Unadjusted"
175,319482624,"Low","Unadjusted"
176,279457104,"Low","Unadjusted"
177,290584368,"Low","Unadjusted"
178,382149408,"Low","Unadjusted"
179,352859184,"Low","Unadjusted"
180,230324832,"Low","Unadjusted"
181,237441648,"Low","Unadjusted"
182,287153856,"Low","Unadjusted"
183,290743248,"Low","Unadjusted"
184,358085184,"Low","Unadjusted"
185,326217984,"Low","Unadjusted"
186,311806320,"Low","Unadjusted"
187,301172112,"Low","Unadjusted"
188,316707600,"Low","Unadjusted"
189,283787952,"Low","Unadjusted"
190,398842949.566988,"Low","Unadjusted"
191,364026669.752704,"Low","Unadjusted"
192,254597398.442831,"Low","Unadjusted"
193,287658113.563914,"Low","Unadjusted"
194,316716859.660781,"Low","Unadjusted"
195,341147322.371223,"Low","Unadjusted"
196,362372236.958254,"Low","Unadjusted"
197,323544867.488652,"Low","Unadjusted"
198,329152257.984044,"Low","Unadjusted"
199,338055707.739023,"Low","Unadjusted"
200,321783675.242021,"Low","Unadjusted"
126,1035256368,"Moderate","Unadjusted"
127,1031146128,"Moderate","Unadjusted"
128,969183408,"Moderate","Unadjusted"
129,1077036720,"Moderate","Unadjusted"
130,1267257072,"Moderate","Unadjusted"
131,1227812448,"Moderate","Unadjusted"
132,843901008,"Moderate","Unadjusted"
133,842499888,"Moderate","Unadjusted"
134,975747408,"Moderate","Unadjusted"
135,1067194896,"Moderate","Unadjusted"
136,1187044128,"Moderate","Unadjusted"
137,1060432272,"Moderate","Unadjusted"
138,1196332080,"Moderate","Unadjusted"
139,1131678720,"Moderate","Unadjusted"
140,1158579360,"Moderate","Unadjusted"
141,1192625184,"Moderate","Unadjusted"
142,1474484496,"Moderate","Unadjusted"
143,1421038272,"Moderate","Unadjusted"
144,933683376,"Moderate","Unadjusted"
145,1061005200,"Moderate","Unadjusted"
146,1161416496,"Moderate","Unadjusted"
147,1264413984,"Moderate","Unadjusted"
148,1258512480,"Moderate","Unadjusted"
149,1127650032,"Moderate","Unadjusted"
150,1951967520,"Moderate","Unadjusted"
151,1230476160,"Moderate","Unadjusted"
152,1226312928,"Moderate","Unadjusted"
153,1246720368,"Moderate","Unadjusted"
154,1669613808,"Moderate","Unadjusted"
155,1775667888,"Moderate","Unadjusted"
156,1154771376,"Moderate","Unadjusted"
157,1406183088,"Moderate","Unadjusted"
158,1394948736,"Moderate","Unadjusted"
159,1366349808,"Moderate","Unadjusted"
