"month","volume","group","seasonal"
60,397594992,"Low","Unadjusted"
61,382253424,"Low","Unadjusted"
62,328831392,"Low","Unadjusted"
63,312689712,"Low","Unadjusted"
64,341913792,"Low","Unadjusted"
65,573535488,"Low","Unadjusted"
66,544919520,"Low","Unadjusted"
67,1204475520,"Low","Unadjusted"
68,953003424,"Low","Unadjusted"
69,692079600,"Low","Unadjusted"
70,585422832,"Low","Unadjusted"
71,484095408,"Low","Unadjusted"
72,528203280,"Low","Unadjusted"
73,507361632,"Low","Unadjusted"
74,430696848,"Low","Unadjusted"
75,525175152,"Low","Unadjusted"
76,648622176,"Low","Unadjusted"
77,708640848,"Low","Unadjusted"
78,804945600,"Low","Unadjusted"
79,1262739360,"Low","Unadjusted"
80,946763088,"Low","Unadjusted"
81,769171632,"Low","Unadjusted"
82,596410080,"Low","Unadjusted"
83,417819216,"Low","Unadjusted"
84,574380432,"Low","Unadjusted"
85,432013440,"Low","Unadjusted"
86,424234080,"Low","Unadjusted"
87,388650192,"Low","Unadjusted"
88,396919920,"Low","Unadjusted"
89,472196736,"Low","Unadjusted"
90,573378000,"Low","Unadjusted"
91,1152071568,"Low","Unadjusted"
92,948349344,"Low","Unadjusted"
93,635516208,"Low","Unadjusted"
94,422971296,"Low","Unadjusted"
95,323432832,"Low","Unadjusted"
96,474782112,"Low","Unadjusted"
97,445252032,"Low","Unadjusted"
98,288781776,"Low","Unadjusted"
99,358459296,"Low","Unadjusted"
100,332822928,"Low","Unadjusted"
101,325781520,"Low","Unadjusted"
102,460097088,"Low","Unadjusted"
103,1060396080,"Low","Unadjusted"
104,1049245824,"Low","Unadjusted"
105,853987296,"Low","Unadjusted"
106,486199488,"Low","Unadjusted"
107,435674928,"Low","Unadjusted"
108,647740608,"Low","Unadjusted"
109,485994096,"Low","Unadjusted"
110,473215344,"Low","Unadjusted"
111,451294560,"Low","Unadjusted"
112,468753312,"Low","Unadjusted"
113,409889520,"Low","Unadjusted"
114,551457504,"Low","Unadjusted"
115,1170849120,"Low","Unadjusted"
116,1038486000,"Low","Unadjusted"
117,907513488,"Low","Unadjusted"
118,573485952,"Low","Unadjusted"
119,495919200,"Low","Unadjusted"
120,674800608,"Low","Unadjusted"
121,527968656,"Low","Unadjusted"
122,502765632,"Low","Unadjusted"
123,448801536,"Low","Unadjusted"
124,423886560,"Low","Unadjusted"
125,480019584,"Low","Unadjusted"
126,536282208,"Low","Unadjusted"
127,1405426224,"Low","Unadjusted"
128,1235129184,"Low","Unadjusted"
129,752206464,"Low","Unadjusted"
130,445123152,"Low","Unadjusted"
131,393369456,"Low","Unadjusted"
132,489242112,"Low","Unadjusted"
133,410910768,"Low","Unadjusted"
134,395171280,"Low","Unadjusted"
135,532979184,"Low","Unadjusted"
136,565808688,"Low","Unadjusted"
137,564453072,"Low","Unadjusted"
138,716231616,"Low","Unadjusted"
139,1686858480,"Low","Unadjusted"
140,1197350640,"Low","Unadjusted"
141,608353056,"Low","Unadjusted"
142,417657840,"Low","Unadjusted"
143,377209632,"Low","Unadjusted"
144,519785040,"Low","Unadjusted"
145,486504384,"Low","Unadjusted"
146,359137200,"Low","Unadjusted"
147,393563568,"Low","Unadjusted"
148,560551248,"Low","Unadjusted"
149,587361408,"Low","Unadjusted"
150,731558256,"Low","Unadjusted"
151,1667662800,"Low","Unadjusted"
152,1207072896,"Low","Unadjusted"
153,708009360,"Low","Unadjusted"
154,400997568,"Low","Unadjusted"
155,302200320,"Low","Unadjusted"
156,607607328,"Low","Unadjusted"
157,474719520,"Low","Unadjusted"
158,351130080,"Low","Unadjusted"
159,357832608,"Low","Unadjusted"
160,405462192,"Low","Unadjusted"
161,398839152,"Low","Unadjusted"
162,456012912,"Low","Unadjusted"
163,1316047872,"Low","Unadjusted"
