"month","volume","group","seasonal"
60,5996144784,"Deep Subprime","Unadjusted"
61,6751379376,"Deep Subprime","Unadjusted"
62,7463825808,"Deep Subprime","Unadjusted"
63,6700295712,"Deep Subprime","Unadjusted"
64,6935457552,"Deep Subprime","Unadjusted"
65,7474897392,"Deep Subprime","Unadjusted"
66,7009116240,"Deep Subprime","Unadjusted"
67,6977118336,"Deep Subprime","Unadjusted"
68,6120835776,"Deep Subprime","Unadjusted"
69,6196365504,"Deep Subprime","Unadjusted"
70,6033667392,"Deep Subprime","Unadjusted"
71,6035680752,"Deep Subprime","Unadjusted"
72,6416035632,"Deep Subprime","Unadjusted"
73,7553588256,"Deep Subprime","Unadjusted"
74,8572070688,"Deep Subprime","Unadjusted"
75,7162886208,"Deep Subprime","Unadjusted"
76,7683940224,"Deep Subprime","Unadjusted"
77,7983070512,"Deep Subprime","Unadjusted"
78,7577173632,"Deep Subprime","Unadjusted"
79,8184565104,"Deep Subprime","Unadjusted"
80,7364708064,"Deep Subprime","Unadjusted"
81,6781113312,"Deep Subprime","Unadjusted"
82,6679936416,"Deep Subprime","Unadjusted"
83,6416588544,"Deep Subprime","Unadjusted"
84,6837562032,"Deep Subprime","Unadjusted"
85,8127166512,"Deep Subprime","Unadjusted"
86,9013267008,"Deep Subprime","Unadjusted"
87,7513772160,"Deep Subprime","Unadjusted"
88,8147148048,"Deep Subprime","Unadjusted"
89,8094399552,"Deep Subprime","Unadjusted"
90,7734843408,"Deep Subprime","Unadjusted"
91,8361632400,"Deep Subprime","Unadjusted"
92,7022824320,"Deep Subprime","Unadjusted"
93,7273021392,"Deep Subprime","Unadjusted"
94,6709270704,"Deep Subprime","Unadjusted"
95,6153925920,"Deep Subprime","Unadjusted"
96,6502767696,"Deep Subprime","Unadjusted"
97,7188493104,"Deep Subprime","Unadjusted"
98,7058983680,"Deep Subprime","Unadjusted"
99,6024875808,"Deep Subprime","Unadjusted"
100,6106529856,"Deep Subprime","Unadjusted"
101,5462060256,"Deep Subprime","Unadjusted"
102,5055883104,"Deep Subprime","Unadjusted"
103,4636515984,"Deep Subprime","Unadjusted"
104,4028302320,"Deep Subprime","Unadjusted"
105,3378271680,"Deep Subprime","Unadjusted"
106,2859400224,"Deep Subprime","Unadjusted"
107,2683358016,"Deep Subprime","Unadjusted"
108,2985592416,"Deep Subprime","Unadjusted"
109,3367139136,"Deep Subprime","Unadjusted"
110,3278777568,"Deep Subprime","Unadjusted"
111,2767130496,"Deep Subprime","Unadjusted"
112,2920171536,"Deep Subprime","Unadjusted"
113,2848340832,"Deep Subprime","Unadjusted"
114,2724949728,"Deep Subprime","Unadjusted"
115,3149522640,"Deep Subprime","Unadjusted"
116,2462666544,"Deep Subprime","Unadjusted"
117,2575093488,"Deep Subprime","Unadjusted"
118,2451685392,"Deep Subprime","Unadjusted"
119,2578866576,"Deep Subprime","Unadjusted"
120,2868549744,"Deep Subprime","Unadjusted"
121,3934859664,"Deep Subprime","Unadjusted"
122,4296973632,"Deep Subprime","Unadjusted"
123,3797276064,"Deep Subprime","Unadjusted"
124,3978811776,"Deep Subprime","Unadjusted"
125,3932129952,"Deep Subprime","Unadjusted"
126,3861653520,"Deep Subprime","Unadjusted"
127,4143783456,"Deep Subprime","Unadjusted"
128,4126432800,"Deep Subprime","Unadjusted"
129,3840205488,"Deep Subprime","Unadjusted"
130,3882213984,"Deep Subprime","Unadjusted"
131,3824738352,"Deep Subprime","Unadjusted"
132,3910730928,"Deep Subprime","Unadjusted"
133,5499252144,"Deep Subprime","Unadjusted"
134,5908835424,"Deep Subprime","Unadjusted"
135,5017495968,"Deep Subprime","Unadjusted"
136,5125092384,"Deep Subprime","Unadjusted"
137,5241271920,"Deep Subprime","Unadjusted"
138,5014336608,"Deep Subprime","Unadjusted"
139,5459645904,"Deep Subprime","Unadjusted"
140,5547697104,"Deep Subprime","Unadjusted"
141,5149065888,"Deep Subprime","Unadjusted"
142,5151869280,"Deep Subprime","Unadjusted"
143,5097731904,"Deep Subprime","Unadjusted"
144,5253883584,"Deep Subprime","Unadjusted"
145,7399038288,"Deep Subprime","Unadjusted"
146,8019691248,"Deep Subprime","Unadjusted"
147,6439656384,"Deep Subprime","Unadjusted"
148,6949732224,"Deep Subprime","Unadjusted"
149,6706232736,"Deep Subprime","Unadjusted"
150,6532222608,"Deep Subprime","Unadjusted"
151,6460639872,"Deep Subprime","Unadjusted"
152,5989329840,"Deep Subprime","Unadjusted"
153,6249704544,"Deep Subprime","Unadjusted"
154,5828657328,"Deep Subprime","Unadjusted"
155,5634889584,"Deep Subprime","Unadjusted"
156,5822166480,"Deep Subprime","Unadjusted"
157,7906825152,"Deep Subprime","Unadjusted"
158,8788218336,"Deep Subprime","Unadjusted"
159,7458103152,"Deep Subprime","Unadjusted"
160,8233775808,"Deep Subprime","Unadjusted"
161,7815454512,"Deep Subprime","Unadjusted"
162,7692527712,"Deep Subprime","Unadjusted"
163,7832636208,"Deep Subprime","Unadjusted"
164,7161881280,"Deep Subprime","Unadjusted"
165,7037244768,"Deep Subprime","Unadjusted"
166,6973068816,"Deep Subprime","Unadjusted"
167,6335952768,"Deep Subprime","Unadjusted"
168,6242393280,"Deep Subprime","Unadjusted"
169,8951772864,"Deep Subprime","Unadjusted"
170,9444369888,"Deep Subprime","Unadjusted"
171,8018228976,"Deep Subprime","Unadjusted"
172,8531827248,"Deep Subprime","Unadjusted"
173,8163652704,"Deep Subprime","Unadjusted"
174,7997453904,"Deep Subprime","Unadjusted"
175,8234629872,"Deep Subprime","Unadjusted"
176,7827712944,"Deep Subprime","Unadjusted"
177,7635831408,"Deep Subprime","Unadjusted"
178,6874582608,"Deep Subprime","Unadjusted"
179,6951261936,"Deep Subprime","Unadjusted"
180,6933711744,"Deep Subprime","Unadjusted"
181,9398598240,"Deep Subprime","Unadjusted"
182,10249581072,"Deep Subprime","Unadjusted"
183,8454618912,"Deep Subprime","Unadjusted"
184,9072375024,"Deep Subprime","Unadjusted"
185,8808783984,"Deep Subprime","Unadjusted"
186,8719874688,"Deep Subprime","Unadjusted"
187,8441472432,"Deep Subprime","Unadjusted"
188,8225692032,"Deep Subprime","Unadjusted"
189,7851515568,"Deep Subprime","Unadjusted"
190,7122375727.40321,"Deep Subprime","Unadjusted"
191,7252337320.32157,"Deep Subprime","Unadjusted"
192,6727630014.95719,"Deep Subprime","Unadjusted"
193,9790547484.49201,"Deep Subprime","Unadjusted"
194,9639772933.16917,"Deep Subprime","Unadjusted"
195,7676791759.45096,"Deep Subprime","Unadjusted"
196,7629600224.98086,"Deep Subprime","Unadjusted"
197,7630179190.82702,"Deep Subprime","Unadjusted"
198,7001502293.22581,"Deep Subprime","Unadjusted"
199,7544419116.66639,"Deep Subprime","Unadjusted"
200,7669437310.80188,"Deep Subprime","Unadjusted"
201,7402709749.86769,"Deep Subprime","Unadjusted"
60,4907352432,"Subprime","Unadjusted"
61,5375939424,"Subprime","Unadjusted"
62,6411806352,"Subprime","Unadjusted"
63,5896160688,"Subprime","Unadjusted"
64,6082871664,"Subprime","Unadjusted"
65,6812132496,"Subprime","Unadjusted"
66,6553436544,"Subprime","Unadjusted"
67,6419242272,"Subprime","Unadjusted"
68,5454816768,"Subprime","Unadjusted"
69,5299432992,"Subprime","Unadjusted"
70,5355667488,"Subprime","Unadjusted"
71,5288898624,"Subprime","Unadjusted"
72,5342676576,"Subprime","Unadjusted"
73,5658852384,"Subprime","Unadjusted"
74,6513824592,"Subprime","Unadjusted"
75,6027432528,"Subprime","Unadjusted"
76,6798994512,"Subprime","Unadjusted"
77,6646819680,"Subprime","Unadjusted"
78,6904645104,"Subprime","Unadjusted"
79,7020168528,"Subprime","Unadjusted"
80,6159601008,"Subprime","Unadjusted"
81,6043592688,"Subprime","Unadjusted"
82,5395184064,"Subprime","Unadjusted"
83,5375816160,"Subprime","Unadjusted"
84,5357033808,"Subprime","Unadjusted"
85,5728507776,"Subprime","Unadjusted"
86,6983824032,"Subprime","Unadjusted"
87,6339528912,"Subprime","Unadjusted"
88,6898131408,"Subprime","Unadjusted"
89,6396624144,"Subprime","Unadjusted"
90,6565209888,"Subprime","Unadjusted"
91,7018035168,"Subprime","Unadjusted"
92,5790575904,"Subprime","Unadjusted"
93,5805612048,"Subprime","Unadjusted"
94,5542617552,"Subprime","Unadjusted"
95,5358370320,"Subprime","Unadjusted"
96,5033722464,"Subprime","Unadjusted"
97,5695069104,"Subprime","Unadjusted"
98,5881649280,"Subprime","Unadjusted"
99,5287894128,"Subprime","Unadjusted"
100,5233978704,"Subprime","Unadjusted"
101,4820631888,"Subprime","Unadjusted"
102,4588552368,"Subprime","Unadjusted"
103,4357142256,"Subprime","Unadjusted"
104,3619953936,"Subprime","Unadjusted"
105,3062249184,"Subprime","Unadjusted"
106,2672409600,"Subprime","Unadjusted"
107,2588623056,"Subprime","Unadjusted"
108,2474069136,"Subprime","Unadjusted"
109,2412636768,"Subprime","Unadjusted"
110,2959954032,"Subprime","Unadjusted"
111,2657937648,"Subprime","Unadjusted"
112,2907080688,"Subprime","Unadjusted"
113,2794066272,"Subprime","Unadjusted"
114,2884056528,"Subprime","Unadjusted"
115,3497228544,"Subprime","Unadjusted"
116,2356164384,"Subprime","Unadjusted"
117,2595617808,"Subprime","Unadjusted"
118,2403938064,"Subprime","Unadjusted"
119,2640028512,"Subprime","Unadjusted"
120,2622955296,"Subprime","Unadjusted"
121,2989359024,"Subprime","Unadjusted"
122,4069864368,"Subprime","Unadjusted"
123,3682554816,"Subprime","Unadjusted"
124,3965491104,"Subprime","Unadjusted"
125,3958039104,"Subprime","Unadjusted"
126,4047483312,"Subprime","Unadjusted"
127,3975743568,"Subprime","Unadjusted"
128,3682628880,"Subprime","Unadjusted"
129,3724124592,"Subprime","Unadjusted"
130,3587906016,"Subprime","Unadjusted"
131,3826129296,"Subprime","Unadjusted"
132,3725180640,"Subprime","Unadjusted"
133,4201968432,"Subprime","Unadjusted"
134,5222614224,"Subprime","Unadjusted"
135,4747542192,"Subprime","Unadjusted"
136,4747918416,"Subprime","Unadjusted"
137,4611183696,"Subprime","Unadjusted"
138,5028643968,"Subprime","Unadjusted"
139,5100219744,"Subprime","Unadjusted"
140,4738698624,"Subprime","Unadjusted"
141,4756437264,"Subprime","Unadjusted"
142,4604694432,"Subprime","Unadjusted"
143,4847452896,"Subprime","Unadjusted"
144,4551098496,"Subprime","Unadjusted"
145,5621904912,"Subprime","Unadjusted"
146,6711202416,"Subprime","Unadjusted"
147,5677030368,"Subprime","Unadjusted"
148,6247420800,"Subprime","Unadjusted"
149,6058362768,"Subprime","Unadjusted"
150,6021326928,"Subprime","Unadjusted"
151,6067227408,"Subprime","Unadjusted"
152,5509569456,"Subprime","Unadjusted"
153,5561410272,"Subprime","Unadjusted"
154,5249922288,"Subprime","Unadjusted"
155,5139430176,"Subprime","Unadjusted"
156,5304016224,"Subprime","Unadjusted"
157,6006830928,"Subprime","Unadjusted"
158,7309517376,"Subprime","Unadjusted"
159,6431679600,"Subprime","Unadjusted"
160,7037616288,"Subprime","Unadjusted"
161,6689259456,"Subprime","Unadjusted"
162,6826293936,"Subprime","Unadjusted"
163,6963260496,"Subprime","Unadjusted"
164,6402831840,"Subprime","Unadjusted"
165,6034652544,"Subprime","Unadjusted"
166,6160669776,"Subprime","Unadjusted"
167,5578484208,"Subprime","Unadjusted"
168,5993489568,"Subprime","Unadjusted"
169,6498278544,"Subprime","Unadjusted"
170,8037956880,"Subprime","Unadjusted"
171,7152713952,"Subprime","Unadjusted"
172,7564278384,"Subprime","Unadjusted"
173,7274173248,"Subprime","Unadjusted"
174,7490943888,"Subprime","Unadjusted"
175,7491382176,"Subprime","Unadjusted"
176,7044103392,"Subprime","Unadjusted"
177,6534806544,"Subprime","Unadjusted"
178,6218998224,"Subprime","Unadjusted"
179,6299504448,"Subprime","Unadjusted"
180,6469931760,"Subprime","Unadjusted"
181,7298408400,"Subprime","Unadjusted"
182,9112265952,"Subprime","Unadjusted"
183,7870523712,"Subprime","Unadjusted"
184,8334460560,"Subprime","Unadjusted"
185,8139528864,"Subprime","Unadjusted"
186,8140554432,"Subprime","Unadjusted"
187,8198536560,"Subprime","Unadjusted"
188,7684330176,"Subprime","Unadjusted"
189,7346482464,"Subprime","Unadjusted"
190,6721870663.60033,"Subprime","Unadjusted"
191,6767515782.81435,"Subprime","Unadjusted"
192,6350571883.00921,"Subprime","Unadjusted"
193,7813170962.86401,"Subprime","Unadjusted"
194,8608375119.08324,"Subprime","Unadjusted"
195,7555287921.48684,"Subprime","Unadjusted"
196,7727193224.50213,"Subprime","Unadjusted"
197,7730316992.99116,"Subprime","Unadjusted"
198,7503985465.93719,"Subprime","Unadjusted"
199,7490534946.79236,"Subprime","Unadjusted"
200,7379970993.27905,"Subprime","Unadjusted"
201,7177930413.63562,"Subprime","Unadjusted"
60,7517932224,"Near Prime","Unadjusted"
61,7912186032,"Near Prime","Unadjusted"
62,9507433920,"Near Prime","Unadjusted"
63,9029294352,"Near Prime","Unadjusted"
64,9097322976,"Near Prime","Unadjusted"
65,10316750976,"Near Prime","Unadjusted"
66,10562012064,"Near Prime","Unadjusted"
67,9444027504,"Near Prime","Unadjusted"
68,7994683872,"Near Prime","Unadjusted"
69,7630458192,"Near Prime","Unadjusted"
70,7356870288,"Near Prime","Unadjusted"
71,7631650272,"Near Prime","Unadjusted"
72,7817174304,"Near Prime","Unadjusted"
73,7782033312,"Near Prime","Unadjusted"
74,9404295888,"Near Prime","Unadjusted"
75,8933312880,"Near Prime","Unadjusted"
76,9815068176,"Near Prime","Unadjusted"
77,9741440496,"Near Prime","Unadjusted"
78,10069800432,"Near Prime","Unadjusted"
79,9785501376,"Near Prime","Unadjusted"
80,8917120752,"Near Prime","Unadjusted"
81,8534733984,"Near Prime","Unadjusted"
82,7824840048,"Near Prime","Unadjusted"
83,7729947024,"Near Prime","Unadjusted"
84,7559341152,"Near Prime","Unadjusted"
85,8131681200,"Near Prime","Unadjusted"
86,9857539200,"Near Prime","Unadjusted"
87,9407024928,"Near Prime","Unadjusted"
88,10079756112,"Near Prime","Unadjusted"
89,9372670608,"Near Prime","Unadjusted"
90,9620957616,"Near Prime","Unadjusted"
91,9848611248,"Near Prime","Unadjusted"
92,8658447696,"Near Prime","Unadjusted"
93,8617931904,"Near Prime","Unadjusted"
94,7761458832,"Near Prime","Unadjusted"
95,7238020992,"Near Prime","Unadjusted"
96,7088051136,"Near Prime","Unadjusted"
97,7774933488,"Near Prime","Unadjusted"
98,8804213856,"Near Prime","Unadjusted"
99,8395953600,"Near Prime","Unadjusted"
100,8355086400,"Near Prime","Unadjusted"
101,7449619680,"Near Prime","Unadjusted"
102,7475303088,"Near Prime","Unadjusted"
103,6907040400,"Near Prime","Unadjusted"
104,6034109280,"Near Prime","Unadjusted"
105,4974869952,"Near Prime","Unadjusted"
106,4044952320,"Near Prime","Unadjusted"
107,4205788752,"Near Prime","Unadjusted"
108,4469995872,"Near Prime","Unadjusted"
109,4026909600,"Near Prime","Unadjusted"
110,4845045312,"Near Prime","Unadjusted"
111,4645621104,"Near Prime","Unadjusted"
112,4853156064,"Near Prime","Unadjusted"
113,4846240368,"Near Prime","Unadjusted"
114,5129027712,"Near Prime","Unadjusted"
115,6145582752,"Near Prime","Unadjusted"
116,4107362928,"Near Prime","Unadjusted"
117,4564667376,"Near Prime","Unadjusted"
118,4079454672,"Near Prime","Unadjusted"
119,4228242432,"Near Prime","Unadjusted"
120,4278569616,"Near Prime","Unadjusted"
121,4528143456,"Near Prime","Unadjusted"
122,6320270976,"Near Prime","Unadjusted"
123,5719892112,"Near Prime","Unadjusted"
124,5962845648,"Near Prime","Unadjusted"
125,5909201904,"Near Prime","Unadjusted"
126,6265944384,"Near Prime","Unadjusted"
127,6103820496,"Near Prime","Unadjusted"
128,5709793296,"Near Prime","Unadjusted"
129,5726910768,"Near Prime","Unadjusted"
130,5477276640,"Near Prime","Unadjusted"
131,5523561936,"Near Prime","Unadjusted"
132,5556615600,"Near Prime","Unadjusted"
133,5918331216,"Near Prime","Unadjusted"
134,7607916000,"Near Prime","Unadjusted"
135,7015428240,"Near Prime","Unadjusted"
136,7158608208,"Near Prime","Unadjusted"
137,6928947840,"Near Prime","Unadjusted"
138,7446582960,"Near Prime","Unadjusted"
139,7287337104,"Near Prime","Unadjusted"
140,7151514192,"Near Prime","Unadjusted"
141,7012837680,"Near Prime","Unadjusted"
142,6896735952,"Near Prime","Unadjusted"
143,7149110928,"Near Prime","Unadjusted"
