"month","volume","group","seasonal"
60,353678976,"Deep Subprime","Unadjusted"
61,364277280,"Deep Subprime","Unadjusted"
62,465426432,"Deep Subprime","Unadjusted"
63,372342144,"Deep Subprime","Unadjusted"
64,476987568,"Deep Subprime","Unadjusted"
65,436026768,"Deep Subprime","Unadjusted"
66,832750320,"Deep Subprime","Unadjusted"
67,488388048,"Deep Subprime","Unadjusted"
68,505361856,"Deep Subprime","Unadjusted"
69,421093344,"Deep Subprime","Unadjusted"
70,452500944,"Deep Subprime","Unadjusted"
71,477364656,"Deep Subprime","Unadjusted"
72,383824464,"Deep Subprime","Unadjusted"
73,405236112,"Deep Subprime","Unadjusted"
74,532319328,"Deep Subprime","Unadjusted"
75,434842992,"Deep Subprime","Unadjusted"
76,511868544,"Deep Subprime","Unadjusted"
77,540767952,"Deep Subprime","Unadjusted"
78,476828928,"Deep Subprime","Unadjusted"
79,530496000,"Deep Subprime","Unadjusted"
80,533745648,"Deep Subprime","Unadjusted"
81,495659040,"Deep Subprime","Unadjusted"
82,588698640,"Deep Subprime","Unadjusted"
83,562990944,"Deep Subprime","Unadjusted"
84,489950832,"Deep Subprime","Unadjusted"
85,518613456,"Deep Subprime","Unadjusted"
86,652796496,"Deep Subprime","Unadjusted"
87,612149760,"Deep Subprime","Unadjusted"
88,638445168,"Deep Subprime","Unadjusted"
89,706070016,"Deep Subprime","Unadjusted"
90,599267520,"Deep Subprime","Unadjusted"
91,617954976,"Deep Subprime","Unadjusted"
92,517870800,"Deep Subprime","Unadjusted"
93,501375696,"Deep Subprime","Unadjusted"
94,494616768,"Deep Subprime","Unadjusted"
95,518857248,"Deep Subprime","Unadjusted"
96,399675360,"Deep Subprime","Unadjusted"
97,384404160,"Deep Subprime","Unadjusted"
98,409272096,"Deep Subprime","Unadjusted"
99,389372208,"Deep Subprime","Unadjusted"
100,364079808,"Deep Subprime","Unadjusted"
101,324429840,"Deep Subprime","Unadjusted"
102,351149712,"Deep Subprime","Unadjusted"
103,284076336,"Deep Subprime","Unadjusted"
104,328225488,"Deep Subprime","Unadjusted"
105,276646224,"Deep Subprime","Unadjusted"
106,245212848,"Deep Subprime","Unadjusted"
107,237404496,"Deep Subprime","Unadjusted"
108,162441072,"Deep Subprime","Unadjusted"
109,173772768,"Deep Subprime","Unadjusted"
110,160616448,"Deep Subprime","Unadjusted"
111,127734576,"Deep Subprime","Unadjusted"
112,169204032,"Deep Subprime","Unadjusted"
113,126429168,"Deep Subprime","Unadjusted"
114,112432944,"Deep Subprime","Unadjusted"
115,138525120,"Deep Subprime","Unadjusted"
116,118821936,"Deep Subprime","Unadjusted"
117,179303376,"Deep Subprime","Unadjusted"
118,201717840,"Deep Subprime","Unadjusted"
119,137864832,"Deep Subprime","Unadjusted"
120,144515040,"Deep Subprime","Unadjusted"
121,117073200,"Deep Subprime","Unadjusted"
122,158843904,"Deep Subprime","Unadjusted"
123,134553984,"Deep Subprime","Unadjusted"
124,129806400,"Deep Subprime","Unadjusted"
125,178278672,"Deep Subprime","Unadjusted"
126,150217248,"Deep Subprime","Unadjusted"
127,174918336,"Deep Subprime","Unadjusted"
128,169150512,"Deep Subprime","Unadjusted"
129,192402192,"Deep Subprime","Unadjusted"
130,204432864,"Deep Subprime","Unadjusted"
131,219789264,"Deep Subprime","Unadjusted"
132,168172176,"Deep Subprime","Unadjusted"
133,168192768,"Deep Subprime","Unadjusted"
134,214497072,"Deep Subprime","Unadjusted"
135,173373312,"Deep Subprime","Unadjusted"
136,176834976,"Deep Subprime","Unadjusted"
137,203634960,"Deep Subprime","Unadjusted"
138,180071088,"Deep Subprime","Unadjusted"
139,205592976,"Deep Subprime","Unadjusted"
140,206801328,"Deep Subprime","Unadjusted"
141,194587920,"Deep Subprime","Unadjusted"
142,212178720,"Deep Subprime","Unadjusted"
143,216376032,"Deep Subprime","Unadjusted"
144,173428560,"Deep Subprime","Unadjusted"
145,196937040,"Deep Subprime","Unadjusted"
146,224528256,"Deep Subprime","Unadjusted"
147,186130656,"Deep Subprime","Unadjusted"
148,215070000,"Deep Subprime","Unadjusted"
149,227524272,"Deep Subprime","Unadjusted"
150,199853568,"Deep Subprime","Unadjusted"
151,208078752,"Deep Subprime","Unadjusted"
152,191119824,"Deep Subprime","Unadjusted"
153,216871872,"Deep Subprime","Unadjusted"
154,218287008,"Deep Subprime","Unadjusted"
155,214088256,"Deep Subprime","Unadjusted"
156,239019696,"Deep Subprime","Unadjusted"
157,198143904,"Deep Subprime","Unadjusted"
158,262798320,"Deep Subprime","Unadjusted"
159,213959952,"Deep Subprime","Unadjusted"
160,222186816,"Deep Subprime","Unadjusted"
161,209869488,"Deep Subprime","Unadjusted"
162,187721568,"Deep Subprime","Unadjusted"
163,224953008,"Deep Subprime","Unadjusted"
164,275632800,"Deep Subprime","Unadjusted"
165,248980512,"Deep Subprime","Unadjusted"
166,270459360,"Deep Subprime","Unadjusted"
167,242087568,"Deep Subprime","Unadjusted"
168,230692464,"Deep Subprime","Unadjusted"
169,236777424,"Deep Subprime","Unadjusted"
170,327721824,"Deep Subprime","Unadjusted"
171,269851296,"Deep Subprime","Unadjusted"
172,335126400,"Deep Subprime","Unadjusted"
173,340417296,"Deep Subprime","Unadjusted"
174,314618544,"Deep Subprime","Unadjusted"
175,353015808,"Deep Subprime","Unadjusted"
176,353750448,"Deep Subprime","Unadjusted"
177,350752752,"Deep Subprime","Unadjusted"
178,350692080,"Deep Subprime","Unadjusted"
179,368683104,"Deep Subprime","Unadjusted"
180,322580688,"Deep Subprime","Unadjusted"
181,348731568,"Deep Subprime","Unadjusted"
182,414994272,"Deep Subprime","Unadjusted"
183,420439344,"Deep Subprime","Unadjusted"
184,385356144,"Deep Subprime","Unadjusted"
185,449296992,"Deep Subprime","Unadjusted"
186,375633264,"Deep Subprime","Unadjusted"
187,370831488,"Deep Subprime","Unadjusted"
188,426535584,"Deep Subprime","Unadjusted"
189,345010032,"Deep Subprime","Unadjusted"
190,379866903.359606,"Deep Subprime","Unadjusted"
191,385869224.966988,"Deep Subprime","Unadjusted"
192,296792153.250398,"Deep Subprime","Unadjusted"
193,338963272.513523,"Deep Subprime","Unadjusted"
194,423664295.034201,"Deep Subprime","Unadjusted"
195,309159947.070316,"Deep Subprime","Unadjusted"
196,378804528.697005,"Deep Subprime","Unadjusted"
197,403202220.584502,"Deep Subprime","Unadjusted"
198,319982253.779525,"Deep Subprime","Unadjusted"
199,329957659.746349,"Deep Subprime","Unadjusted"
200,338017923.915079,"Deep Subprime","Unadjusted"
201,309099413.739603,"Deep Subprime","Unadjusted"
60,660692784,"Subprime","Unadjusted"
61,932625504,"Subprime","Unadjusted"
62,929782752,"Subprime","Unadjusted"
63,714456672,"Subprime","Unadjusted"
64,1328933664,"Subprime","Unadjusted"
65,898181232,"Subprime","Unadjusted"
66,1262989296,"Subprime","Unadjusted"
67,984322752,"Subprime","Unadjusted"
68,929965344,"Subprime","Unadjusted"
69,859743840,"Subprime","Unadjusted"
70,916799664,"Subprime","Unadjusted"
71,890200416,"Subprime","Unadjusted"
72,732079536,"Subprime","Unadjusted"
73,781433232,"Subprime","Unadjusted"
74,998195232,"Subprime","Unadjusted"
75,792226032,"Subprime","Unadjusted"
76,982637328,"Subprime","Unadjusted"
77,1039843632,"Subprime","Unadjusted"
78,1020519168,"Subprime","Unadjusted"
79,1001328672,"Subprime","Unadjusted"
80,995951472,"Subprime","Unadjusted"
81,1000542768,"Subprime","Unadjusted"
82,1077863904,"Subprime","Unadjusted"
83,1045442112,"Subprime","Unadjusted"
84,898094544,"Subprime","Unadjusted"
85,821616048,"Subprime","Unadjusted"
86,1029547968,"Subprime","Unadjusted"
87,996976704,"Subprime","Unadjusted"
88,1025118864,"Subprime","Unadjusted"
89,1089042048,"Subprime","Unadjusted"
90,1008103680,"Subprime","Unadjusted"
91,1106744784,"Subprime","Unadjusted"
92,956130480,"Subprime","Unadjusted"
93,1006923984,"Subprime","Unadjusted"
94,907087728,"Subprime","Unadjusted"
95,824143392,"Subprime","Unadjusted"
96,761237616,"Subprime","Unadjusted"
97,630897120,"Subprime","Unadjusted"
98,751307568,"Subprime","Unadjusted"
99,683988816,"Subprime","Unadjusted"
100,793672944,"Subprime","Unadjusted"
101,643251936,"Subprime","Unadjusted"
102,538058208,"Subprime","Unadjusted"
103,669237408,"Subprime","Unadjusted"
104,535715712,"Subprime","Unadjusted"
105,446060784,"Subprime","Unadjusted"
106,371368704,"Subprime","Unadjusted"
107,291395808,"Subprime","Unadjusted"
108,249616848,"Subprime","Unadjusted"
109,215633184,"Subprime","Unadjusted"
110,224779056,"Subprime","Unadjusted"
