"month","volume","group","seasonal"
60,684515712,"Deep Subprime","Unadjusted"
61,714747264,"Deep Subprime","Unadjusted"
62,1274011632,"Deep Subprime","Unadjusted"
63,940571136,"Deep Subprime","Unadjusted"
64,1075062384,"Deep Subprime","Unadjusted"
65,1177500288,"Deep Subprime","Unadjusted"
66,1041428544,"Deep Subprime","Unadjusted"
67,1263758016,"Deep Subprime","Unadjusted"
68,1239499488,"Deep Subprime","Unadjusted"
69,1076755680,"Deep Subprime","Unadjusted"
70,1208836992,"Deep Subprime","Unadjusted"
71,1172615568,"Deep Subprime","Unadjusted"
72,839720016,"Deep Subprime","Unadjusted"
73,831524880,"Deep Subprime","Unadjusted"
74,1340948592,"Deep Subprime","Unadjusted"
75,1091871408,"Deep Subprime","Unadjusted"
76,1222239168,"Deep Subprime","Unadjusted"
77,1200940128,"Deep Subprime","Unadjusted"
78,1020760704,"Deep Subprime","Unadjusted"
79,1305504096,"Deep Subprime","Unadjusted"
80,1074369360,"Deep Subprime","Unadjusted"
81,1104532752,"Deep Subprime","Unadjusted"
82,1145083920,"Deep Subprime","Unadjusted"
83,786931488,"Deep Subprime","Unadjusted"
84,711362832,"Deep Subprime","Unadjusted"
85,602611392,"Deep Subprime","Unadjusted"
86,574735440,"Deep Subprime","Unadjusted"
87,450481584,"Deep Subprime","Unadjusted"
88,361976448,"Deep Subprime","Unadjusted"
89,481101984,"Deep Subprime","Unadjusted"
90,306677040,"Deep Subprime","Unadjusted"
91,383753952,"Deep Subprime","Unadjusted"
92,344759520,"Deep Subprime","Unadjusted"
93,338742000,"Deep Subprime","Unadjusted"
94,283171488,"Deep Subprime","Unadjusted"
95,262880832,"Deep Subprime","Unadjusted"
96,181846944,"Deep Subprime","Unadjusted"
97,229946832,"Deep Subprime","Unadjusted"
98,151636176,"Deep Subprime","Unadjusted"
99,199322304,"Deep Subprime","Unadjusted"
100,117871248,"Deep Subprime","Unadjusted"
101,95031888,"Deep Subprime","Unadjusted"
102,151131792,"Deep Subprime","Unadjusted"
103,117055776,"Deep Subprime","Unadjusted"
104,104447088,"Deep Subprime","Unadjusted"
105,103227648,"Deep Subprime","Unadjusted"
106,96035424,"Deep Subprime","Unadjusted"
107,66958176,"Deep Subprime","Unadjusted"
108,75449664,"Deep Subprime","Unadjusted"
109,44751552,"Deep Subprime","Unadjusted"
110,93814416,"Deep Subprime","Unadjusted"
111,112159344,"Deep Subprime","Unadjusted"
112,75823872,"Deep Subprime","Unadjusted"
113,76258608,"Deep Subprime","Unadjusted"
114,108057936,"Deep Subprime","Unadjusted"
115,45524928,"Deep Subprime","Unadjusted"
116,83630160,"Deep Subprime","Unadjusted"
117,69815040,"Deep Subprime","Unadjusted"
118,75457824,"Deep Subprime","Unadjusted"
119,92441808,"Deep Subprime","Unadjusted"
120,91215936,"Deep Subprime","Unadjusted"
121,51624288,"Deep Subprime","Unadjusted"
122,109379856,"Deep Subprime","Unadjusted"
123,68334912,"Deep Subprime","Unadjusted"
124,100145808,"Deep Subprime","Unadjusted"
125,85701312,"Deep Subprime","Unadjusted"
126,41199312,"Deep Subprime","Unadjusted"
127,103878960,"Deep Subprime","Unadjusted"
128,82059936,"Deep Subprime","Unadjusted"
129,53406192,"Deep Subprime","Unadjusted"
130,49882176,"Deep Subprime","Unadjusted"
131,67588704,"Deep Subprime","Unadjusted"
132,37419168,"Deep Subprime","Unadjusted"
133,30412704,"Deep Subprime","Unadjusted"
134,43662912,"Deep Subprime","Unadjusted"
135,32288688,"Deep Subprime","Unadjusted"
136,50161056,"Deep Subprime","Unadjusted"
137,34893312,"Deep Subprime","Unadjusted"
138,65720928,"Deep Subprime","Unadjusted"
139,64738464,"Deep Subprime","Unadjusted"
140,65684160,"Deep Subprime","Unadjusted"
141,32014464,"Deep Subprime","Unadjusted"
142,30023280,"Deep Subprime","Unadjusted"
143,54168336,"Deep Subprime","Unadjusted"
144,32173824,"Deep Subprime","Unadjusted"
145,86788416,"Deep Subprime","Unadjusted"
146,84611328,"Deep Subprime","Unadjusted"
147,60670560,"Deep Subprime","Unadjusted"
148,51472560,"Deep Subprime","Unadjusted"
149,71674080,"Deep Subprime","Unadjusted"
150,32472288,"Deep Subprime","Unadjusted"
151,14445216,"Deep Subprime","Unadjusted"
152,55132176,"Deep Subprime","Unadjusted"
153,46995456,"Deep Subprime","Unadjusted"
154,44164416,"Deep Subprime","Unadjusted"
155,32892240,"Deep Subprime","Unadjusted"
156,35445600,"Deep Subprime","Unadjusted"
157,20180928,"Deep Subprime","Unadjusted"
158,41058240,"Deep Subprime","Unadjusted"
159,43140576,"Deep Subprime","Unadjusted"
160,119991936,"Deep Subprime","Unadjusted"
161,47550720,"Deep Subprime","Unadjusted"
162,155419008,"Deep Subprime","Unadjusted"
163,43000992,"Deep Subprime","Unadjusted"
164,37076544,"Deep Subprime","Unadjusted"
165,47151936,"Deep Subprime","Unadjusted"
166,51073680,"Deep Subprime","Unadjusted"
167,36345312,"Deep Subprime","Unadjusted"
168,31402608,"Deep Subprime","Unadjusted"
169,17049072,"Deep Subprime","Unadjusted"
170,27076608,"Deep Subprime","Unadjusted"
171,43927056,"Deep Subprime","Unadjusted"
172,56866608,"Deep Subprime","Unadjusted"
173,33893520,"Deep Subprime","Unadjusted"
174,34286064,"Deep Subprime","Unadjusted"
175,28415088,"Deep Subprime","Unadjusted"
176,35668080,"Deep Subprime","Unadjusted"
177,41294784,"Deep Subprime","Unadjusted"
178,31238736,"Deep Subprime","Unadjusted"
179,94757088,"Deep Subprime","Unadjusted"
180,21349056,"Deep Subprime","Unadjusted"
181,53372640,"Deep Subprime","Unadjusted"
182,45334608,"Deep Subprime","Unadjusted"
183,53419872,"Deep Subprime","Unadjusted"
184,27515328,"Deep Subprime","Unadjusted"
185,54651264,"Deep Subprime","Unadjusted"
186,46878528,"Deep Subprime","Unadjusted"
187,39660720,"Deep Subprime","Unadjusted"
188,70827120,"Deep Subprime","Unadjusted"
189,36154464,"Deep Subprime","Unadjusted"
190,61679114.5705447,"Deep Subprime","Unadjusted"
191,42513053.3128224,"Deep Subprime","Unadjusted"
