"month","volume","group","seasonal"
60,91080888,"Deep Subprime","Unadjusted"
61,57980448,"Deep Subprime","Unadjusted"
62,80460480,"Deep Subprime","Unadjusted"
63,88521960,"Deep Subprime","Unadjusted"
64,89247576,"Deep Subprime","Unadjusted"
65,89740968,"Deep Subprime","Unadjusted"
66,95943168,"Deep Subprime","Unadjusted"
67,141357312,"Deep Subprime","Unadjusted"
68,77707152,"Deep Subprime","Unadjusted"
69,116259384,"Deep Subprime","Unadjusted"
70,121916520,"Deep Subprime","Unadjusted"
71,88116288,"Deep Subprime","Unadjusted"
72,115839144,"Deep Subprime","Unadjusted"
73,122581920,"Deep Subprime","Unadjusted"
74,104133912,"Deep Subprime","Unadjusted"
75,105245616,"Deep Subprime","Unadjusted"
76,92726568,"Deep Subprime","Unadjusted"
77,147269808,"Deep Subprime","Unadjusted"
78,121741152,"Deep Subprime","Unadjusted"
79,123072456,"Deep Subprime","Unadjusted"
80,106076472,"Deep Subprime","Unadjusted"
81,127594128,"Deep Subprime","Unadjusted"
82,95747616,"Deep Subprime","Unadjusted"
83,111817392,"Deep Subprime","Unadjusted"
84,125339952,"Deep Subprime","Unadjusted"
85,130613064,"Deep Subprime","Unadjusted"
86,112785312,"Deep Subprime","Unadjusted"
87,129003816,"Deep Subprime","Unadjusted"
88,86811360,"Deep Subprime","Unadjusted"
89,120084600,"Deep Subprime","Unadjusted"
90,99652968,"Deep Subprime","Unadjusted"
91,82569240,"Deep Subprime","Unadjusted"
92,131432304,"Deep Subprime","Unadjusted"
93,88411968,"Deep Subprime","Unadjusted"
94,39353256,"Deep Subprime","Unadjusted"
95,51902616,"Deep Subprime","Unadjusted"
96,52743816,"Deep Subprime","Unadjusted"
97,35369280,"Deep Subprime","Unadjusted"
98,71381592,"Deep Subprime","Unadjusted"
99,29663256,"Deep Subprime","Unadjusted"
100,39950592,"Deep Subprime","Unadjusted"
101,25664784,"Deep Subprime","Unadjusted"
102,31317504,"Deep Subprime","Unadjusted"
103,17363760,"Deep Subprime","Unadjusted"
104,28786104,"Deep Subprime","Unadjusted"
105,20019600,"Deep Subprime","Unadjusted"
106,22500576,"Deep Subprime","Unadjusted"
107,31001088,"Deep Subprime","Unadjusted"
108,21201312,"Deep Subprime","Unadjusted"
109,30017256,"Deep Subprime","Unadjusted"
110,18135120,"Deep Subprime","Unadjusted"
111,19794312,"Deep Subprime","Unadjusted"
112,9451200,"Deep Subprime","Unadjusted"
113,11933400,"Deep Subprime","Unadjusted"
114,9515400,"Deep Subprime","Unadjusted"
115,15948048,"Deep Subprime","Unadjusted"
116,2413704,"Deep Subprime","Unadjusted"
117,27816384,"Deep Subprime","Unadjusted"
118,3127776,"Deep Subprime","Unadjusted"
119,6133728,"Deep Subprime","Unadjusted"
120,2241600,"Deep Subprime","Unadjusted"
121,15901392,"Deep Subprime","Unadjusted"
122,25403040,"Deep Subprime","Unadjusted"
123,13261800,"Deep Subprime","Unadjusted"
124,15707352,"Deep Subprime","Unadjusted"
125,11482800,"Deep Subprime","Unadjusted"
126,18274032,"Deep Subprime","Unadjusted"
127,18235296,"Deep Subprime","Unadjusted"
128,3770400,"Deep Subprime","Unadjusted"
