"month","volume","group","seasonal"
60,725391840,"Deep Subprime","Unadjusted"
61,7200667440,"Deep Subprime","Unadjusted"
62,964311600,"Deep Subprime","Unadjusted"
63,908034624,"Deep Subprime","Unadjusted"
64,1038975168,"Deep Subprime","Unadjusted"
65,1193743296,"Deep Subprime","Unadjusted"
66,935276400,"Deep Subprime","Unadjusted"
67,996689424,"Deep Subprime","Unadjusted"
68,884251392,"Deep Subprime","Unadjusted"
69,786855552,"Deep Subprime","Unadjusted"
70,1303804272,"Deep Subprime","Unadjusted"
71,955124976,"Deep Subprime","Unadjusted"
72,850487280,"Deep Subprime","Unadjusted"
73,772636992,"Deep Subprime","Unadjusted"
74,919181712,"Deep Subprime","Unadjusted"
75,874978848,"Deep Subprime","Unadjusted"
76,1076994576,"Deep Subprime","Unadjusted"
77,1048854624,"Deep Subprime","Unadjusted"
78,917257344,"Deep Subprime","Unadjusted"
79,1014582912,"Deep Subprime","Unadjusted"
80,848771424,"Deep Subprime","Unadjusted"
81,987357600,"Deep Subprime","Unadjusted"
82,1646880288,"Deep Subprime","Unadjusted"
83,1299060336,"Deep Subprime","Unadjusted"
84,1540782624,"Deep Subprime","Unadjusted"
85,930528240,"Deep Subprime","Unadjusted"
86,1068181968,"Deep Subprime","Unadjusted"
87,1028466720,"Deep Subprime","Unadjusted"
88,1377571104,"Deep Subprime","Unadjusted"
89,1119507984,"Deep Subprime","Unadjusted"
90,1076610960,"Deep Subprime","Unadjusted"
91,1106682000,"Deep Subprime","Unadjusted"
92,777579888,"Deep Subprime","Unadjusted"
93,990644256,"Deep Subprime","Unadjusted"
94,1430019408,"Deep Subprime","Unadjusted"
95,1015366848,"Deep Subprime","Unadjusted"
96,844945584,"Deep Subprime","Unadjusted"
97,799804896,"Deep Subprime","Unadjusted"
98,925280208,"Deep Subprime","Unadjusted"
99,947207808,"Deep Subprime","Unadjusted"
100,1165184304,"Deep Subprime","Unadjusted"
101,963815232,"Deep Subprime","Unadjusted"
102,1013158080,"Deep Subprime","Unadjusted"
103,911739216,"Deep Subprime","Unadjusted"
104,851984352,"Deep Subprime","Unadjusted"
105,929747712,"Deep Subprime","Unadjusted"
