"month","volume","group","seasonal"
60,1733073552,"Deep Subprime","Unadjusted"
61,1639338624,"Deep Subprime","Unadjusted"
62,1686345504,"Deep Subprime","Unadjusted"
63,1524338304,"Deep Subprime","Unadjusted"
64,1623015936,"Deep Subprime","Unadjusted"
65,1858048176,"Deep Subprime","Unadjusted"
66,1767792720,"Deep Subprime","Unadjusted"
67,3110583168,"Deep Subprime","Unadjusted"
68,3271084128,"Deep Subprime","Unadjusted"
69,2866360272,"Deep Subprime","Unadjusted"
70,2248097808,"Deep Subprime","Unadjusted"
71,1993951728,"Deep Subprime","Unadjusted"
72,2304456912,"Deep Subprime","Unadjusted"
73,2198297328,"Deep Subprime","Unadjusted"
74,2155808880,"Deep Subprime","Unadjusted"
75,1952877360,"Deep Subprime","Unadjusted"
76,2378076480,"Deep Subprime","Unadjusted"
77,2890732032,"Deep Subprime","Unadjusted"
78,2664639792,"Deep Subprime","Unadjusted"
79,3630852144,"Deep Subprime","Unadjusted"
80,3395769840,"Deep Subprime","Unadjusted"
81,2897559792,"Deep Subprime","Unadjusted"
82,2292566352,"Deep Subprime","Unadjusted"
83,1846265904,"Deep Subprime","Unadjusted"
84,2408084016,"Deep Subprime","Unadjusted"
85,1900315824,"Deep Subprime","Unadjusted"
86,2309249712,"Deep Subprime","Unadjusted"
87,2100953040,"Deep Subprime","Unadjusted"
88,1978486896,"Deep Subprime","Unadjusted"
89,2015639952,"Deep Subprime","Unadjusted"
90,2210228832,"Deep Subprime","Unadjusted"
91,4056630336,"Deep Subprime","Unadjusted"
92,3609286848,"Deep Subprime","Unadjusted"
93,2893187184,"Deep Subprime","Unadjusted"
94,2165785824,"Deep Subprime","Unadjusted"
95,1600665408,"Deep Subprime","Unadjusted"
96,2286137424,"Deep Subprime","Unadjusted"
97,2169341040,"Deep Subprime","Unadjusted"
98,1896862560,"Deep Subprime","Unadjusted"
99,1767520800,"Deep Subprime","Unadjusted"
100,1802533680,"Deep Subprime","Unadjusted"
101,1608417408,"Deep Subprime","Unadjusted"
102,2387645328,"Deep Subprime","Unadjusted"
103,4005286080,"Deep Subprime","Unadjusted"
