"month","yoy","group"
60,NA,"Younger than 30"
61,NA,"Younger than 30"
62,NA,"Younger than 30"
63,NA,"Younger than 30"
64,NA,"Younger than 30"
65,NA,"Younger than 30"
66,NA,"Younger than 30"
67,NA,"Younger than 30"
68,NA,"Younger than 30"
69,NA,"Younger than 30"
70,NA,"Younger than 30"
71,NA,"Younger than 30"
72,0.0285284902113274,"Younger than 30"
73,0.0383782275166957,"Younger than 30"
74,0.0320223883614101,"Younger than 30"
75,0.0416559288432894,"Younger than 30"
76,0.0932524286109342,"Younger than 30"
77,-0.0106830848220966,"Younger than 30"
78,0.0501867086545289,"Younger than 30"
79,0.0908937181902008,"Younger than 30"
80,0.138410663926037,"Younger than 30"
81,0.161474924414241,"Younger than 30"
82,0.0971650723489399,"Younger than 30"
83,0.0715277668967844,"Younger than 30"
84,0.0673068672919341,"Younger than 30"
85,0.107329792587173,"Younger than 30"
86,0.0904592139976683,"Younger than 30"
87,0.029321958151427,"Younger than 30"
88,0.060966223089435,"Younger than 30"
89,-0.00406392901745589,"Younger than 30"
90,-0.0766322311646505,"Younger than 30"
91,-0.00332680820483189,"Younger than 30"
92,-0.0323140834821433,"Younger than 30"
93,0.0260328777645007,"Younger than 30"
94,-0.00526396461639023,"Younger than 30"
95,-0.071252759328704,"Younger than 30"
96,-0.0571801700573357,"Younger than 30"
97,-0.0508839897313379,"Younger than 30"
98,-0.13439544157071,"Younger than 30"
99,-0.0884496987706633,"Younger than 30"
100,-0.159586486538888,"Younger than 30"
101,-0.193954192967263,"Younger than 30"
102,-0.23106628881369,"Younger than 30"
103,-0.28336485794433,"Younger than 30"
104,-0.287389595105116,"Younger than 30"
105,-0.377212942689481,"Younger than 30"
106,-0.422165401271435,"Younger than 30"
107,-0.359209827398265,"Younger than 30"
108,-0.389836327352469,"Younger than 30"
109,-0.446576516990337,"Younger than 30"
110,-0.413906502977932,"Younger than 30"
111,-0.409194444409252,"Younger than 30"
112,-0.370572378984768,"Younger than 30"
113,-0.31649952591933,"Younger than 30"
114,-0.275443863435549,"Younger than 30"
115,-0.208149704011808,"Younger than 30"
116,-0.255530318923376,"Younger than 30"
117,-0.12206256182538,"Younger than 30"
118,-0.0500728463624983,"Younger than 30"
119,-0.0112576383802993,"Younger than 30"
120,-0.0656841045172911,"Younger than 30"
121,0.0516182787088757,"Younger than 30"
122,0.218522884117128,"Younger than 30"
123,0.199738449581347,"Younger than 30"
124,0.142056989694549,"Younger than 30"
125,0.162424963642347,"Younger than 30"
126,0.220249508716537,"Younger than 30"
127,0.142572139064067,"Younger than 30"
128,0.332197379623969,"Younger than 30"
129,0.209285325921785,"Younger than 30"
130,0.305269720511772,"Younger than 30"
131,0.193595916743774,"Younger than 30"
132,0.260911916966412,"Younger than 30"
133,0.297633678774844,"Younger than 30"
134,0.198563252564774,"Younger than 30"
135,0.161431437882053,"Younger than 30"
136,0.133521806739483,"Younger than 30"
137,0.121009098867769,"Younger than 30"
138,0.133305546086745,"Younger than 30"
139,0.140993758702924,"Younger than 30"
140,0.147310489415393,"Younger than 30"
141,0.16357325869342,"Younger than 30"
142,0.175255681535085,"Younger than 30"
143,0.195737285979587,"Younger than 30"
144,0.131948998935749,"Younger than 30"
145,0.223998177136499,"Younger than 30"
146,0.138337485737728,"Younger than 30"
147,0.146852624378302,"Younger than 30"
148,0.218911009306273,"Younger than 30"
149,0.148968336320503,"Younger than 30"
150,0.116553798723229,"Younger than 30"
151,0.144219815701765,"Younger than 30"
