"month","yoy","group"
60,NA,"Younger than 30"
61,NA,"Younger than 30"
62,NA,"Younger than 30"
63,NA,"Younger than 30"
64,NA,"Younger than 30"
65,NA,"Younger than 30"
66,NA,"Younger than 30"
67,NA,"Younger than 30"
68,NA,"Younger than 30"
69,NA,"Younger than 30"
70,NA,"Younger than 30"
71,NA,"Younger than 30"
72,0.0703813855592805,"Younger than 30"
73,-0.0268278528708035,"Younger than 30"
74,-0.0379635866164977,"Younger than 30"
75,0.0342503169863446,"Younger than 30"
76,0.0649739179202122,"Younger than 30"
77,-0.0412061829168128,"Younger than 30"
78,-0.140699742319122,"Younger than 30"
79,-0.121425141465631,"Younger than 30"
80,-0.173472152840942,"Younger than 30"
81,-0.104606818704554,"Younger than 30"
82,-0.0800736355082902,"Younger than 30"
83,-0.0203539113351004,"Younger than 30"
84,0.0128365960834622,"Younger than 30"
85,-0.032144325662683,"Younger than 30"
86,-0.114633496816885,"Younger than 30"
87,-0.187276494760544,"Younger than 30"
88,-0.207452715267367,"Younger than 30"
89,-0.283875360343492,"Younger than 30"
90,-0.248819064886617,"Younger than 30"
91,-0.366685243801841,"Younger than 30"
92,-0.403808869454622,"Younger than 30"
93,-0.361613002765984,"Younger than 30"
94,-0.41111533134234,"Younger than 30"
95,-0.455308687285303,"Younger than 30"
96,-0.398991709932959,"Younger than 30"
97,-0.179573794796442,"Younger than 30"
98,-0.227386004166997,"Younger than 30"
99,-0.264667674289359,"Younger than 30"
100,-0.317568364467953,"Younger than 30"
101,-0.27110666622772,"Younger than 30"
102,-0.299347467383587,"Younger than 30"
103,-0.290741468042709,"Younger than 30"
104,-0.106217324881264,"Younger than 30"
105,-0.177561555533233,"Younger than 30"
106,-0.408894322137064,"Younger than 30"
107,-0.105126085808236,"Younger than 30"
108,-0.00471302987675992,"Younger than 30"
109,-0.200478938045281,"Younger than 30"
110,-0.176729809359672,"Younger than 30"
111,-0.023843058144524,"Younger than 30"
112,0.048655524300224,"Younger than 30"
113,0.109347287724835,"Younger than 30"
114,0.207017829696879,"Younger than 30"
115,0.0354742348738715,"Younger than 30"
116,0.071692470082227,"Younger than 30"
117,0.271418809499778,"Younger than 30"
118,0.874233295743175,"Younger than 30"
119,-0.00617003075688527,"Younger than 30"
120,-0.396110391048702,"Younger than 30"
121,-0.333931952364953,"Younger than 30"
122,-0.218311487973184,"Younger than 30"
123,-0.199508829526977,"Younger than 30"
124,-0.2577846237957,"Younger than 30"
125,-0.217174883659741,"Younger than 30"
126,-0.470026338834153,"Younger than 30"
127,-0.280555250028354,"Younger than 30"
128,-0.233010722264259,"Younger than 30"
129,-0.319317453007308,"Younger than 30"
130,-0.364464998707822,"Younger than 30"
131,-0.170811784523164,"Younger than 30"
132,-0.037831782266345,"Younger than 30"
133,-0.268093522508459,"Younger than 30"
134,-0.287589203359318,"Younger than 30"
135,-0.351174180898597,"Younger than 30"
136,-0.303165595766267,"Younger than 30"
137,-0.324627893568035,"Younger than 30"
138,-0.00257034057644268,"Younger than 30"
139,-0.109415559700412,"Younger than 30"
140,-0.130240607346872,"Younger than 30"
141,-0.150615744905044,"Younger than 30"
142,-0.112619804503095,"Younger than 30"
143,-0.0249722203014555,"Younger than 30"
144,0.0571272863190651,"Younger than 30"
145,0.334122263165336,"Younger than 30"
146,0.209610756082876,"Younger than 30"
147,0.242076996598037,"Younger than 30"
148,0.259527139039421,"Younger than 30"
149,0.227374513052084,"Younger than 30"
150,0.294136532602064,"Younger than 30"
