"month","yoy","group"
96,NA,"Younger than 30"
97,NA,"Younger than 30"
98,NA,"Younger than 30"
99,NA,"Younger than 30"
100,NA,"Younger than 30"
101,NA,"Younger than 30"
102,NA,"Younger than 30"
103,NA,"Younger than 30"
104,NA,"Younger than 30"
105,NA,"Younger than 30"
106,NA,"Younger than 30"
107,NA,"Younger than 30"
108,0.118470829494727,"Younger than 30"
109,0.0700404258475762,"Younger than 30"
110,0.194418907590498,"Younger than 30"
111,0.135426792352358,"Younger than 30"
112,0.250654780662447,"Younger than 30"
113,0.173452252045232,"Younger than 30"
114,-0.0402302671994513,"Younger than 30"
115,0.034844541017194,"Younger than 30"
116,-0.0132877732270749,"Younger than 30"
117,-0.0743691777478477,"Younger than 30"
118,0.0587990698377623,"Younger than 30"
119,-0.0869434013250703,"Younger than 30"
120,-0.0962184252005799,"Younger than 30"
121,-0.0325495334067623,"Younger than 30"
122,0.0309429321688517,"Younger than 30"
123,-0.0236672000809925,"Younger than 30"
124,-0.16064904193431,"Younger than 30"
125,-0.024493354696375,"Younger than 30"
126,-0.205604594297705,"Younger than 30"
127,-0.119930423364291,"Younger than 30"
128,-0.0938373478971677,"Younger than 30"
129,-0.229530613013166,"Younger than 30"
130,-0.258917750575934,"Younger than 30"
131,-0.238691426932334,"Younger than 30"
132,-0.200664864242261,"Younger than 30"
133,-0.208530579489797,"Younger than 30"
134,-0.255078720106516,"Younger than 30"
135,-0.0225991455171485,"Younger than 30"
136,0.143812316313908,"Younger than 30"
137,0.0122605024707303,"Younger than 30"
138,0.179901030403964,"Younger than 30"
139,0.0955637710212143,"Younger than 30"
140,-0.105595960949715,"Younger than 30"
141,-0.211547096438767,"Younger than 30"
142,0.0297496512616284,"Younger than 30"
143,0.0106658794556038,"Younger than 30"
144,-0.0283234877560599,"Younger than 30"
145,-0.142254728513062,"Younger than 30"
146,-0.0900422517307871,"Younger than 30"
147,-0.290245067508481,"Younger than 30"
148,-0.0925528056775514,"Younger than 30"
149,0.0537901170477291,"Younger than 30"
150,0.0643629243628621,"Younger than 30"
151,-0.068293095773579,"Younger than 30"
152,-0.14236545695847,"Younger than 30"
153,0.0525123910465115,"Younger than 30"
154,-0.202969269173277,"Younger than 30"
155,-0.122145015980944,"Younger than 30"
156,-0.105308649435977,"Younger than 30"
157,-0.0351470549402577,"Younger than 30"
158,-0.233174638325754,"Younger than 30"
159,-0.151814196357994,"Younger than 30"
160,-0.227798039139292,"Younger than 30"
161,-0.350847806521409,"Younger than 30"
162,-0.232503321111052,"Younger than 30"
163,-0.202829279968125,"Younger than 30"
164,-0.146013663081709,"Younger than 30"
165,-0.269644508095008,"Younger than 30"
166,-0.127900707017543,"Younger than 30"
167,-0.228564860783669,"Younger than 30"
