"month","yoy","group"
60,NA,"Low"
61,NA,"Low"
62,NA,"Low"
63,NA,"Low"
64,NA,"Low"
65,NA,"Low"
66,NA,"Low"
67,NA,"Low"
68,NA,"Low"
69,NA,"Low"
70,NA,"Low"
71,NA,"Low"
72,0.131398529333445,"Low"
73,0.0491607351464485,"Low"
74,0.0319459711838759,"Low"
75,0.0595084753534838,"Low"
76,0.0652895565667777,"Low"
77,0.109949541260826,"Low"
78,0.00969268617010766,"Low"
79,0.146343718965383,"Low"
80,0.0169550253586008,"Low"
81,0.113371087943509,"Low"
82,0.0876146058729725,"Low"
83,-0.0107219751822847,"Low"
84,0.0483757863967067,"Low"
85,0.0285704292034596,"Low"
86,0.16833207410185,"Low"
87,0.00716643753504287,"Low"
88,0.0130718189416668,"Low"
89,-0.0267246334437178,"Low"
90,-0.0512504730716258,"Low"
91,-0.0443616294708432,"Low"
92,0.0151231274529906,"Low"
93,0.0516165910155564,"Low"
94,0.0182114140364116,"Low"
95,-0.00538258756620802,"Low"
96,-0.126583160249439,"Low"
97,-0.0239452545994646,"Low"
98,-0.195433029290783,"Low"
99,-0.119786300373959,"Low"
100,-0.1214289541511,"Low"
101,-0.211935274305086,"Low"
102,-0.194993704985114,"Low"
103,-0.259330443056592,"Low"
104,-0.287500615349905,"Low"
105,-0.446446013887091,"Low"
106,-0.469554412827277,"Low"
107,-0.467820720405335,"Low"
108,-0.374703496505441,"Low"
109,-0.451414376830607,"Low"
110,-0.480842561544164,"Low"
111,-0.467957125988488,"Low"
112,-0.461674785631849,"Low"
113,-0.389055341870112,"Low"
114,-0.285873985404687,"Low"
115,-0.166824268297834,"Low"
116,-0.35055019491254,"Low"
117,-0.125815551442803,"Low"
118,-0.133293015006565,"Low"
119,-0.0897851979093448,"Low"
120,-0.158816376080568,"Low"
121,0.0313367794868156,"Low"
122,0.355933229741558,"Low"
123,0.303815770402497,"Low"
124,0.242767229895968,"Low"
125,0.149882259683944,"Low"
126,0.229590715297368,"Low"
127,0.122530306172853,"Low"
128,0.573770724505302,"Low"
129,0.405296544456852,"Low"
130,0.518562106869838,"Low"
131,0.568834401336969,"Low"
132,0.390607924856517,"Low"
133,0.372680807749064,"Low"
134,0.328535662850866,"Low"
135,0.319691499222112,"Low"
136,0.344906049329553,"Low"
137,0.41088178365832,"Low"
138,0.171915330799403,"Low"
139,0.177972075819653,"Low"
140,0.20662939303534,"Low"
141,0.226863711350036,"Low"
142,0.213795045891518,"Low"
143,0.186660146737414,"Low"
144,0.295788290649261,"Low"
145,0.32624110855246,"Low"
146,0.153604844303991,"Low"
147,0.157759458692136,"Low"
148,0.215940475914626,"Low"
149,0.156509696363929,"Low"
150,0.267719379521941,"Low"
151,0.170957681967375,"Low"
152,0.151456801234401,"Low"
153,0.0532958183547854,"Low"
154,0.11649500121122,"Low"
155,0.0723144158034339,"Low"
156,0.100544774358895,"Low"
157,0.0355393677905944,"Low"
158,0.121362236738702,"Low"
159,0.24716391606343,"Low"
160,0.153429968162014,"Low"
161,0.102422735050609,"Low"
162,0.0665764666559805,"Low"
163,0.168835894490653,"Low"
164,0.0934838661102362,"Low"
165,0.152116759602175,"Low"
166,0.160295698387023,"Low"
167,0.215735133831901,"Low"
168,0.162916712342155,"Low"
169,0.173867823036584,"Low"
170,0.170462371528279,"Low"
171,0.0449315830436636,"Low"
172,0.11863402619625,"Low"
173,0.117384059587065,"Low"
174,0.152575235029181,"Low"
175,0.111804044105201,"Low"
176,0.184231196802783,"Low"
177,0.226402742374219,"Low"
178,0.143147331996523,"Low"
179,0.14057935965058,"Low"
180,0.132601494961752,"Low"
181,0.116191012264355,"Low"
182,0.13934381022461,"Low"
183,0.188311623678617,"Low"
