"month","yoy","group"
60,NA,"Low"
61,NA,"Low"
62,NA,"Low"
63,NA,"Low"
64,NA,"Low"
65,NA,"Low"
66,NA,"Low"
67,NA,"Low"
68,NA,"Low"
69,NA,"Low"
70,NA,"Low"
71,NA,"Low"
72,0.0593365876925156,"Low"
73,0.30099598587661,"Low"
74,-0.104991706803845,"Low"
75,-0.0799034182452393,"Low"
76,-0.0188540676087391,"Low"
77,0.0985856796524505,"Low"
78,0.1102707111473,"Low"
79,0.0282804384435511,"Low"
80,-0.036393286396232,"Low"
81,0.00360662065185036,"Low"
82,0.0271007858935912,"Low"
83,0.13847345614816,"Low"
84,0.118671201014195,"Low"
85,-0.0446966479675656,"Low"
86,0.162986175769681,"Low"
87,0.207305880872534,"Low"
88,0.151451658623189,"Low"
89,0.0406517337131742,"Low"
90,0.0311176715575372,"Low"
91,-0.0227451573649664,"Low"
92,-0.143492197379464,"Low"
93,0.0365227550183935,"Low"
94,-0.0207381552955974,"Low"
95,0.0161630848649827,"Low"
96,-0.0374494441030468,"Low"
97,-0.230308922215405,"Low"
98,-0.207084541918323,"Low"
99,-0.168912506331031,"Low"
100,-0.134970336042588,"Low"
101,-0.174175139108672,"Low"
102,-0.186807781981901,"Low"
103,-0.335961320127576,"Low"
104,-0.298066886367862,"Low"
105,-0.348298639434122,"Low"
106,-0.437593618901356,"Low"
107,-0.47559220238171,"Low"
108,-0.544659278113067,"Low"
109,-0.451221843150646,"Low"
110,-0.552030331782751,"Low"
111,-0.492908822333126,"Low"
112,-0.578573659845922,"Low"
113,-0.583902354698215,"Low"
114,-0.542505990069241,"Low"
115,-0.494399180109933,"Low"
116,-0.477715556317307,"Low"
117,-0.442570801833009,"Low"
118,-0.377527726802427,"Low"
119,-0.268933560173715,"Low"
120,-0.213656411758184,"Low"
121,-0.283277231146652,"Low"
122,-0.0633946809278968,"Low"
123,-0.208071618894242,"Low"
124,-0.15726758611747,"Low"
125,-0.0391716799140525,"Low"
126,-0.0257206487706662,"Low"
127,0.40097910952147,"Low"
128,0.259528244614489,"Low"
129,0.206278156741942,"Low"
130,0.593581410503434,"Low"
131,0.526663114418499,"Low"
132,0.202460781862079,"Low"
133,0.282017229583188,"Low"
134,0.541058324428314,"Low"
135,0.252165127060154,"Low"
136,0.511872356695272,"Low"
137,0.363268631278193,"Low"
138,0.331936296966829,"Low"
139,0.171261934378424,"Low"
140,0.216236905454923,"Low"
141,0.183957773324862,"Low"
142,0.0387906368871009,"Low"
143,0.00971132941728259,"Low"
144,0.244804397362151,"Low"
145,0.306628108032891,"Low"
146,0.0086711405745441,"Low"
147,0.244843746545517,"Low"
148,0.418753698614746,"Low"
149,0.14209760663376,"Low"
150,0.114946301195761,"Low"
151,-0.0128561622053507,"Low"
152,0.0728660268207735,"Low"
153,0.153807110976081,"Low"
154,0.108268382165036,"Low"
155,0.0200823117892586,"Low"
156,0.187410995823477,"Low"
157,0.083731339089071,"Low"
158,0.0562143493572662,"Low"
159,0.0654358925365279,"Low"
160,-0.139448033864131,"Low"
161,0.127835903620361,"Low"
162,0.694978698678564,"Low"
163,0.167876721612509,"Low"
164,0.17971506985818,"Low"
165,0.165948834620417,"Low"
166,0.107992643849753,"Low"
167,0.392274348398573,"Low"
168,0.257599038635734,"Low"
169,0.221090468703368,"Low"
170,0.231475393096622,"Low"
171,0.377788034909246,"Low"
172,0.28575824927338,"Low"
173,0.274246883412203,"Low"
174,-0.123197949672554,"Low"
175,0.165420790045179,"Low"
176,0.231477112806728,"Low"
177,0.0669336477281948,"Low"
178,0.287402538201717,"Low"
179,0.0325398305185063,"Low"
180,0.0419063157023776,"Low"
181,0.0189000516014135,"Low"
182,0.231651331709943,"Low"
