"month","yoy","group"
126,NA,"Low"
127,NA,"Low"
128,NA,"Low"
129,NA,"Low"
130,NA,"Low"
131,NA,"Low"
132,NA,"Low"
133,NA,"Low"
134,NA,"Low"
135,NA,"Low"
136,NA,"Low"
137,NA,"Low"
138,1.41112085425359,"Low"
139,0.70762796940008,"Low"
140,-0.618929129607668,"Low"
141,-0.414768261614868,"Low"
142,-0.0276700231937511,"Low"
143,0.172374616515037,"Low"
144,-0.51191795281431,"Low"
145,-0.0665669351745302,"Low"
146,-0.516767949583615,"Low"
147,2.55274111594721,"Low"
148,0.314469558404109,"Low"
149,0.465263243650583,"Low"
150,-0.32413685495456,"Low"
151,-0.201952350352921,"Low"
152,1.0280887158451,"Low"
153,-0.0982070175159316,"Low"
154,-0.0980522193211488,"Low"
155,0.00895794146414874,"Low"
156,0.936979578858525,"Low"
157,-0.0566911525868159,"Low"
158,1.79459059152306,"Low"
159,-0.817699725882625,"Low"
160,0.427469325188447,"Low"
161,-0.156575153427104,"Low"
162,1.09684169415032,"Low"
163,-0.376063867713848,"Low"
164,0.141715232544852,"Low"
165,2.12306172704784,"Low"
166,1.13962529599416,"Low"
167,0.133546755197218,"Low"
168,0.905026904627982,"Low"
169,-0.170206793619286,"Low"
170,-0.588176372411536,"Low"
171,-0.0116578832472504,"Low"
172,0.105592332383016,"Low"
173,0.110438494833753,"Low"
174,0.278613118232304,"Low"
175,1.26304976449939,"Low"
176,1.07550995130691,"Low"
177,0.0762758851035403,"Low"
178,-0.0371523084728564,"Low"
179,0.981826111954992,"Low"
180,-0.502139195155741,"Low"
181,-0.24263494441713,"Low"
182,0.938862843877786,"Low"
183,0.910083731706602,"Low"
184,0.54690923545383,"Low"
185,0.962164283259117,"Low"
186,-0.108973311039929,"Low"
187,0.461225928019386,"Low"
188,-0.225697486675968,"Low"
189,0.899277669732335,"Low"
190,0.111810277186588,"Low"
191,-0.00714965032936854,"Low"
192,0.96336509545705,"Low"
193,0.966580122803368,"Low"
194,-0.137235055985515,"Low"
195,0.318772933781875,"Low"
196,-0.0614443299021917,"Low"
197,-0.0292403369456589,"Low"
198,-0.3786590715546,"Low"
199,0.118087667568963,"Low"
200,1.71134709545232,"Low"
126,NA,"Moderate"
127,NA,"Moderate"
128,NA,"Moderate"
129,NA,"Moderate"
130,NA,"Moderate"
131,NA,"Moderate"
132,NA,"Moderate"
133,NA,"Moderate"
134,NA,"Moderate"
135,NA,"Moderate"
136,NA,"Moderate"
137,NA,"Moderate"
138,-0.0721854216744882,"Moderate"
139,-0.287573584139225,"Moderate"
140,-0.0431511852785161,"Moderate"
141,-0.134366589169768,"Moderate"
142,0.00293640386085814,"Moderate"
143,0.150392140313608,"Moderate"
144,0.635741165251212,"Moderate"
145,-0.229720218138594,"Moderate"
146,-0.159221042436671,"Moderate"
147,0.114827043765657,"Moderate"
148,0.106445559856754,"Moderate"
149,-0.144402243546465,"Moderate"
150,0.0118899856785937,"Moderate"
151,0.256895806731543,"Moderate"
152,-0.0580258388432713,"Moderate"
153,0.285660836973759,"Moderate"
154,0.0966189805613036,"Moderate"
155,-0.10586095926378,"Moderate"
156,-0.225384696379417,"Moderate"
157,0.681644932897418,"Moderate"
158,0.205556089846256,"Moderate"
159,0.227274389787242,"Moderate"
160,-0.0378096058068398,"Moderate"
161,0.0491479250384574,"Moderate"
162,0.328883744482747,"Moderate"
163,0.506983389601749,"Moderate"
164,0.454329287744234,"Moderate"
165,0.23934570496856,"Moderate"
166,0.44687055744496,"Moderate"
167,0.254063178555643,"Moderate"
168,0.100173121919593,"Moderate"
169,0.0307511963140741,"Moderate"
170,0.0345759838263322,"Moderate"
171,0.175253802484168,"Moderate"
172,0.40812377070833,"Moderate"
173,0.397533738134494,"Moderate"
174,0.324336673747852,"Moderate"
175,0.161305242219625,"Moderate"
176,0.373576830349135,"Moderate"
177,0.158418818597497,"Moderate"
178,-0.125568493138478,"Moderate"
179,0.144088516172157,"Moderate"
180,0.630841774047053,"Moderate"
181,0.558905693947632,"Moderate"
182,0.427845891569672,"Moderate"
183,0.254260586398103,"Moderate"
184,0.0972257651380197,"Moderate"
185,0.295361372547306,"Moderate"
186,0.384587643630162,"Moderate"
187,0.0569617258680668,"Moderate"
188,0.323294516351049,"Moderate"
189,0.247041284980379,"Moderate"
190,0.235248465940463,"Moderate"
191,0.550848654077818,"Moderate"
192,0.0381428755867661,"Moderate"
193,0.111874783582439,"Moderate"
194,0.134970474917007,"Moderate"
