"month","yoy","group"
60,NA,"Low"
61,NA,"Low"
62,NA,"Low"
63,NA,"Low"
64,NA,"Low"
65,NA,"Low"
66,NA,"Low"
67,NA,"Low"
68,NA,"Low"
69,NA,"Low"
70,NA,"Low"
71,NA,"Low"
72,0.262109927498786,"Low"
73,-0.485502787494518,"Low"
74,-0.0664837894268362,"Low"
75,-0.000598895584084991,"Low"
76,0.0487257217489823,"Low"
77,-0.253792606087869,"Low"
78,0.0257054359357745,"Low"
79,-0.0157726142937518,"Low"
80,0.0310386604621173,"Low"
81,0.15269668743882,"Low"
82,0.0832842862173888,"Low"
83,0.143928019428016,"Low"
84,0.200940076265791,"Low"
85,0.0465862261326353,"Low"
86,0.099316277476899,"Low"
87,0.724393571967838,"Low"
88,0.0409321577711439,"Low"
89,0.163870527837208,"Low"
90,-0.00834608190506114,"Low"
91,0.0499696912657233,"Low"
92,-0.0638599926335613,"Low"
93,0.0530245829616196,"Low"
94,-0.112476894822903,"Low"
95,-0.302621311002064,"Low"
96,-0.37309852998454,"Low"
97,0.0138764857171225,"Low"
98,-0.197604786613885,"Low"
99,-0.429368849306442,"Low"
100,-0.117103160452514,"Low"
101,-0.22177772484025,"Low"
102,-0.182214020899155,"Low"
103,-0.24751193599845,"Low"
104,-0.11801291773873,"Low"
105,-0.334230955214459,"Low"
106,-0.338688081561677,"Low"
107,-0.126908811264989,"Low"
108,-0.311761269881923,"Low"
109,-0.428999010937903,"Low"
110,-0.252126137118718,"Low"
111,-0.422078439731413,"Low"
112,-0.467969991337843,"Low"
113,-0.297794956575228,"Low"
114,-0.275842409226441,"Low"
115,-0.391589092585238,"Low"
116,-0.408095311414877,"Low"
117,-0.286679028714579,"Low"
118,-0.337860485212737,"Low"
119,-0.266145109742047,"Low"
120,-0.381009981395629,"Low"
121,-0.223713206100342,"Low"
122,0.144757575736182,"Low"
123,-0.0444701508413682,"Low"
124,-0.188936546226301,"Low"
125,-0.23064285453988,"Low"
126,-0.0898292292330076,"Low"
127,0.247133025539056,"Low"
128,0.0949788257189443,"Low"
129,-0.0118440475669424,"Low"
130,0.271421531291495,"Low"
131,0.13673280086199,"Low"
132,0.220125013134977,"Low"
133,-0.0130644838153413,"Low"
134,-0.145639850096214,"Low"
135,0.116183394017729,"Low"
136,1.02560484828909,"Low"
137,0.360694169788968,"Low"
138,0.0220494109979392,"Low"
139,0.0407581467335711,"Low"
140,0.0696346721575827,"Low"
141,0.337339247595339,"Low"
142,0.0888492491801238,"Low"
143,0.109509972752635,"Low"
144,0.169585425275621,"Low"
145,0.320578461534687,"Low"
146,0.19281200085971,"Low"
147,0.117672364133526,"Low"
148,-0.28744962054211,"Low"
149,0.147807236562088,"Low"
150,0.221257557922669,"Low"
151,0.0498570988855014,"Low"
152,0.0544190839649332,"Low"
153,-0.000432541060916947,"Low"
154,-0.00572835535130711,"Low"
155,0.0154478163755238,"Low"
156,0.6087473064731,"Low"
157,0.198220537772182,"Low"
158,0.00170155095757063,"Low"
159,0.162455503183639,"Low"
160,0.201227749550837,"Low"
161,0.184322347116686,"Low"
162,0.351958691803471,"Low"
163,0.370956246406142,"Low"
164,0.217120708019791,"Low"
165,0.310497426462164,"Low"
166,0.270395997010924,"Low"
167,0.174057787511875,"Low"
168,0.0582406321682682,"Low"
169,0.103779188350918,"Low"
170,0.193070062840021,"Low"
171,0.237960246774021,"Low"
172,0.182960616767498,"Low"
173,0.207462902698146,"Low"
174,0.172135979364394,"Low"
175,0.0287443231516926,"Low"
176,0.109887072139777,"Low"
177,0.254155161502504,"Low"
178,0.136728290434772,"Low"
179,0.246757726439214,"Low"
180,-0.00240942379212605,"Low"
181,0.28277753978398,"Low"
