"month","yoy","group"
60,NA,"Low"
61,NA,"Low"
62,NA,"Low"
63,NA,"Low"
64,NA,"Low"
65,NA,"Low"
66,NA,"Low"
67,NA,"Low"
68,NA,"Low"
69,NA,"Low"
70,NA,"Low"
71,NA,"Low"
72,0.328495807613191,"Low"
73,0.327291268423014,"Low"
74,0.30978020492642,"Low"
75,0.679540873413833,"Low"
76,0.897034255933145,"Low"
77,0.235565824306935,"Low"
78,0.477182538808667,"Low"
79,0.0483727888467174,"Low"
80,-0.00654807301091087,"Low"
81,0.111391857237231,"Low"
82,0.0187680551550473,"Low"
83,-0.13690729328298,"Low"
84,0.0874230693910116,"Low"
85,-0.148509834500059,"Low"
86,-0.0150053756604227,"Low"
87,-0.259960813987635,"Low"
88,-0.388056815374749,"Low"
89,-0.333658598241009,"Low"
90,-0.287681055713579,"Low"
91,-0.0876410409825191,"Low"
92,0.00167545188453744,"Low"
93,-0.173765410006697,"Low"
94,-0.290804581974872,"Low"
95,-0.225902448680101,"Low"
96,-0.173401311136588,"Low"
97,0.0306439355220061,"Low"
98,-0.31928671077062,"Low"
99,-0.0776814128011546,"Low"
100,-0.1614859541441,"Low"
101,-0.310072486396856,"Low"
102,-0.197567594152549,"Low"
103,-0.0795744731025252,"Low"
104,0.106391680068479,"Low"
105,0.343769498322535,"Low"
106,0.14948577503472,"Low"
107,0.347033711160158,"Low"
108,0.364290253631123,"Low"
109,0.0915033757779684,"Low"
110,0.638660688893332,"Low"
111,0.258984116288618,"Low"
112,0.408416525919152,"Low"
113,0.258173023442214,"Low"
114,0.198567690130653,"Low"
115,0.104162059897468,"Low"
116,-0.0102548170827887,"Low"
117,0.0626779722025279,"Low"
118,0.179528087039039,"Low"
119,0.138278032836445,"Low"
120,0.04177598203014,"Low"
121,0.0863684566242138,"Low"
122,0.0624457519703756,"Low"
123,-0.00552416142574375,"Low"
124,-0.0957150613156628,"Low"
125,0.17109504043919,"Low"
126,-0.0275185229866779,"Low"
127,0.200347850114112,"Low"
128,0.189355642733749,"Low"
129,-0.171134672986811,"Low"
130,-0.223829022406463,"Low"
131,-0.206787202431364,"Low"
132,-0.274982704224238,"Low"
133,-0.221713707186436,"Low"
134,-0.21400498592553,"Low"
135,0.187560962358204,"Low"
136,0.334811577890085,"Low"
137,0.175895923446323,"Low"
138,0.335549837968893,"Low"
139,0.200246908157877,"Low"
140,-0.0305867147253805,"Low"
141,-0.191241919452583,"Low"
142,-0.0617027262603497,"Low"
143,-0.0410805255810202,"Low"
144,0.0624290657955462,"Low"
145,0.183966013759951,"Low"
146,-0.0911859789000861,"Low"
147,-0.261577975623153,"Low"
148,-0.00929190398009583,"Low"
149,0.0405850143021278,"Low"
150,0.0213989995102366,"Low"
151,-0.0113795438251584,"Low"
152,0.00811980690969527,"Low"
153,0.163813270956923,"Low"
154,-0.0398897623949787,"Low"
155,-0.198853119424055,"Low"
156,0.168958860378129,"Low"
157,-0.0242235514983561,"Low"
158,-0.0222954347252248,"Low"
159,-0.0907882815006901,"Low"
160,-0.276672394456965,"Low"
161,-0.320964662356571,"Low"
162,-0.376655367826236,"Low"
163,-0.210842940191506,"Low"
164,-0.142568728508672,"Low"
165,-0.126033452439103,"Low"
166,-0.0916410545412585,"Low"
167,-0.0724951714147755,"Low"
168,-0.266765788578508,"Low"
169,-0.145035434818438,"Low"
170,-0.0347525224839752,"Low"
171,0.0750789486462899,"Low"
172,0.0354729991693035,"Low"
173,0.0284954572363547,"Low"
174,0.218043931177107,"Low"
175,-0.0379825210492039,"Low"
176,0.0382063438456857,"Low"
177,-0.111882103550359,"Low"
178,0.101869319721221,"Low"
179,0.861354086072218,"Low"
180,0.145045350307354,"Low"
