"month","yoy","group"
60,NA,"Deep Subprime"
61,NA,"Deep Subprime"
62,NA,"Deep Subprime"
63,NA,"Deep Subprime"
64,NA,"Deep Subprime"
65,NA,"Deep Subprime"
66,NA,"Deep Subprime"
67,NA,"Deep Subprime"
68,NA,"Deep Subprime"
69,NA,"Deep Subprime"
70,NA,"Deep Subprime"
71,NA,"Deep Subprime"
72,0.0959955710838005,"Deep Subprime"
73,0.137742262589153,"Deep Subprime"
74,0.175154298385872,"Deep Subprime"
75,0.100306951459349,"Deep Subprime"
76,0.115129178488495,"Deep Subprime"
77,0.0904398431315296,"Deep Subprime"
78,0.11478298374453,"Deep Subprime"
79,0.161470054081982,"Deep Subprime"
80,0.202276198977166,"Deep Subprime"
81,0.119359290113382,"Deep Subprime"
82,0.108528754978368,"Deep Subprime"
83,0.0805774502896821,"Deep Subprime"
84,0.0948537100101376,"Deep Subprime"
85,0.0881693987800916,"Deep Subprime"
86,0.045751014224797,"Deep Subprime"
87,0.032675202249062,"Deep Subprime"
88,0.0607297752032574,"Deep Subprime"
89,0.0205387622934219,"Deep Subprime"
90,0.00631176564371216,"Deep Subprime"
91,0.0190763299343839,"Deep Subprime"
92,-0.0392399598578754,"Deep Subprime"
93,0.0733340697821607,"Deep Subprime"
94,-0.00509160812180354,"Deep Subprime"
95,-0.0449429640717485,"Deep Subprime"
96,-0.0571467179324874,"Deep Subprime"
97,-0.105712207934213,"Deep Subprime"
98,-0.224980639065509,"Deep Subprime"
99,-0.20210413818506,"Deep Subprime"
100,-0.25686621816491,"Deep Subprime"
101,-0.325381151390785,"Deep Subprime"
102,-0.347215482731269,"Deep Subprime"
103,-0.442882466517159,"Deep Subprime"
104,-0.439687094661582,"Deep Subprime"
105,-0.5320757245886,"Deep Subprime"
106,-0.556486270769196,"Deep Subprime"
107,-0.553552771973001,"Deep Subprime"
108,-0.548254072495506,"Deep Subprime"
109,-0.527039880832566,"Deep Subprime"
110,-0.541742786886931,"Deep Subprime"
111,-0.53417654725066,"Deep Subprime"
112,-0.526114594587999,"Deep Subprime"
113,-0.478495748442192,"Deep Subprime"
114,-0.465830033021396,"Deep Subprime"
115,-0.33807821531799,"Deep Subprime"
116,-0.362918031991092,"Deep Subprime"
117,-0.235049080182471,"Deep Subprime"
118,-0.18779280832734,"Deep Subprime"
119,-0.0620884746235404,"Deep Subprime"
120,-0.0170452822773476,"Deep Subprime"
121,0.167553135787752,"Deep Subprime"
122,0.355407318573518,"Deep Subprime"
123,0.365104263022033,"Deep Subprime"
124,0.371263477430817,"Deep Subprime"
125,0.382903581340034,"Deep Subprime"
126,0.443602860555858,"Deep Subprime"
127,0.357148597292049,"Deep Subprime"
128,0.659043591629739,"Deep Subprime"
129,0.510556338882049,"Deep Subprime"
130,0.622365462557421,"Deep Subprime"
131,0.493855593282804,"Deep Subprime"
132,0.362847559363592,"Deep Subprime"
133,0.374449849547977,"Deep Subprime"
134,0.357392353494953,"Deep Subprime"
135,0.321516565573742,"Deep Subprime"
136,0.299879554350723,"Deep Subprime"
137,0.325895583395111,"Deep Subprime"
138,0.316312592339177,"Deep Subprime"
139,0.296175503838035,"Deep Subprime"
140,0.314037421927867,"Deep Subprime"
141,0.320601886536196,"Deep Subprime"
142,0.315172578110011,"Deep Subprime"
143,0.332408053193385,"Deep Subprime"
144,0.324264057330001,"Deep Subprime"
145,0.384518824384668,"Deep Subprime"
146,0.355074191910207,"Deep Subprime"
147,0.304663414516036,"Deep Subprime"
148,0.381234247201725,"Deep Subprime"
149,0.286268097161751,"Deep Subprime"
150,0.2857416394276,"Deep Subprime"
151,0.198099920433888,"Deep Subprime"
152,0.092338789891282,"Deep Subprime"
