"month","yoy","group"
96,NA,"Deep Subprime"
97,NA,"Deep Subprime"
98,NA,"Deep Subprime"
99,NA,"Deep Subprime"
100,NA,"Deep Subprime"
101,NA,"Deep Subprime"
102,NA,"Deep Subprime"
103,NA,"Deep Subprime"
104,NA,"Deep Subprime"
105,NA,"Deep Subprime"
106,NA,"Deep Subprime"
107,NA,"Deep Subprime"
108,-0.487838154705318,"Deep Subprime"
109,-0.458689862502836,"Deep Subprime"
110,-0.44155770036732,"Deep Subprime"
111,-0.518512963453502,"Deep Subprime"
112,-0.492081645818381,"Deep Subprime"
113,-0.335297912364756,"Deep Subprime"
114,-0.371386020773442,"Deep Subprime"
115,-0.562958876653133,"Deep Subprime"
116,-0.598249293093072,"Deep Subprime"
117,-0.468949838722174,"Deep Subprime"
118,-0.243963298221397,"Deep Subprime"
119,-0.402416943076317,"Deep Subprime"
120,-0.643942514917865,"Deep Subprime"
121,-0.618595122876753,"Deep Subprime"
122,-0.552031862830421,"Deep Subprime"
123,-0.455062409852776,"Deep Subprime"
124,-0.574514788381862,"Deep Subprime"
125,-0.37862167994446,"Deep Subprime"
126,-0.625933940805758,"Deep Subprime"
127,-0.233046273239747,"Deep Subprime"
128,-0.231268789570716,"Deep Subprime"
129,-0.495646157236634,"Deep Subprime"
130,-0.428699481409738,"Deep Subprime"
131,-0.346903694998145,"Deep Subprime"
132,-0.183593087474343,"Deep Subprime"
133,-0.316214502222756,"Deep Subprime"
134,-0.221496905904075,"Deep Subprime"
135,-0.375768775707716,"Deep Subprime"
136,-0.140267092319156,"Deep Subprime"
137,-0.0885933687181989,"Deep Subprime"
138,0.21137358865892,"Deep Subprime"
139,-0.261540821532664,"Deep Subprime"
140,-0.303052049962451,"Deep Subprime"
141,-0.160030206399466,"Deep Subprime"
142,-0.142847301879125,"Deep Subprime"
143,-0.261434090311674,"Deep Subprime"
144,0.393359348846338,"Deep Subprime"
145,0.411859090200039,"Deep Subprime"
146,0.0859288988171101,"Deep Subprime"
147,0.292422452410593,"Deep Subprime"
148,0.125960219226396,"Deep Subprime"
149,0.0308016890574878,"Deep Subprime"
150,0.121484277357295,"Deep Subprime"
151,0.582958429642342,"Deep Subprime"
152,0.21919655215673,"Deep Subprime"
153,0.86309374754258,"Deep Subprime"
154,0.74585547119006,"Deep Subprime"
155,0.51209408410203,"Deep Subprime"
156,0.199604508218153,"Deep Subprime"
157,0.210434728668317,"Deep Subprime"
158,0.198022195143994,"Deep Subprime"
159,0.160218757965099,"Deep Subprime"
160,0.629980377479362,"Deep Subprime"
161,0.217908258083757,"Deep Subprime"
162,0.113242866597317,"Deep Subprime"
163,-0.178055236280551,"Deep Subprime"
164,0.0335153610684633,"Deep Subprime"
165,-0.333101077134428,"Deep Subprime"
166,-0.0733523674452852,"Deep Subprime"
167,-0.241650260767451,"Deep Subprime"
168,-0.355904303302176,"Deep Subprime"
169,-0.365040841919943,"Deep Subprime"
170,-0.292883518594746,"Deep Subprime"
171,-0.163593776535238,"Deep Subprime"
172,-0.477903532343471,"Deep Subprime"
173,-0.451443337979794,"Deep Subprime"
174,-0.413487720086517,"Deep Subprime"
175,-0.157852777963936,"Deep Subprime"
176,-0.16379891968365,"Deep Subprime"
177,0.0260895084644397,"Deep Subprime"
178,-0.162762478250294,"Deep Subprime"
179,0.529133484609966,"Deep Subprime"
180,0.0950993168590439,"Deep Subprime"
181,0.12668536169675,"Deep Subprime"
182,0.373933725597864,"Deep Subprime"
183,-0.00159366769848901,"Deep Subprime"
184,0.301063250532598,"Deep Subprime"
185,0.594746584251716,"Deep Subprime"
186,0.441018570377642,"Deep Subprime"
187,0.662442006454119,"Deep Subprime"
