"month","yoy","group"
60,NA,"Deep Subprime"
61,NA,"Deep Subprime"
62,NA,"Deep Subprime"
63,NA,"Deep Subprime"
64,NA,"Deep Subprime"
65,NA,"Deep Subprime"
66,NA,"Deep Subprime"
67,NA,"Deep Subprime"
68,NA,"Deep Subprime"
69,NA,"Deep Subprime"
70,NA,"Deep Subprime"
71,NA,"Deep Subprime"
72,-0.102742534909093,"Deep Subprime"
73,0.237925563360939,"Deep Subprime"
74,0.219719099930674,"Deep Subprime"
75,0.26523473664439,"Deep Subprime"
76,0.112656195477032,"Deep Subprime"
77,0.167007642166657,"Deep Subprime"
78,0.277252252183288,"Deep Subprime"
79,0.299024159171323,"Deep Subprime"
80,0.163057629898431,"Deep Subprime"
81,0.264980144154821,"Deep Subprime"
82,0.143052832220332,"Deep Subprime"
83,0.227392639336715,"Deep Subprime"
84,0.249430933548099,"Deep Subprime"
85,0.187007036969101,"Deep Subprime"
86,0.0319970232657798,"Deep Subprime"
87,0.101906515621174,"Deep Subprime"
88,0.214885409469382,"Deep Subprime"
89,0.241275405850361,"Deep Subprime"
90,0.174303392955177,"Deep Subprime"
91,0.168662979597859,"Deep Subprime"
92,0.147568775114051,"Deep Subprime"
93,0.0628139608525071,"Deep Subprime"
94,0.224249780542118,"Deep Subprime"
95,0.123860538588207,"Deep Subprime"
96,0.10651527855055,"Deep Subprime"
97,0.173638756260462,"Deep Subprime"
98,-0.0484369149089993,"Deep Subprime"
99,0.00441283504821799,"Deep Subprime"
100,0.36372641369389,"Deep Subprime"
101,0.138808992498115,"Deep Subprime"
102,0.104826921663577,"Deep Subprime"
103,-0.0349941957582591,"Deep Subprime"
104,0.0978330844196937,"Deep Subprime"
105,0.941132958457274,"Deep Subprime"
106,-0.270180851645766,"Deep Subprime"
107,-0.229635277804538,"Deep Subprime"
108,-0.267939803496384,"Deep Subprime"
109,-0.321360968406815,"Deep Subprime"
110,-0.102868812618482,"Deep Subprime"
111,-0.213568931012437,"Deep Subprime"
112,-0.401007935345566,"Deep Subprime"
113,-0.34661370740497,"Deep Subprime"
114,-0.245009460737938,"Deep Subprime"
115,-0.34022856489877,"Deep Subprime"
116,-0.239281735884264,"Deep Subprime"
117,-0.601658931507419,"Deep Subprime"
118,-0.0714653953328646,"Deep Subprime"
119,-0.105076104692615,"Deep Subprime"
120,0.0438197327983094,"Deep Subprime"
121,0.0625226444782014,"Deep Subprime"
122,-0.087373939388412,"Deep Subprime"
123,-0.00662127173428728,"Deep Subprime"
124,-0.0132298939526857,"Deep Subprime"
125,-0.0802568169694609,"Deep Subprime"
126,-0.172568606873218,"Deep Subprime"
127,-0.0528371761557288,"Deep Subprime"
128,-0.279522428767561,"Deep Subprime"
129,-0.195665701318033,"Deep Subprime"
130,-0.0657846014316138,"Deep Subprime"
131,-0.0570598236612357,"Deep Subprime"
132,-0.170712213922605,"Deep Subprime"
133,-0.155342460573816,"Deep Subprime"
134,-0.106245232297458,"Deep Subprime"
135,-0.074121043026825,"Deep Subprime"
136,-0.155218768648283,"Deep Subprime"
137,-0.0198841017722738,"Deep Subprime"
138,0.045801693804292,"Deep Subprime"
139,0.0901592516929155,"Deep Subprime"
140,0.108010907105841,"Deep Subprime"
141,0.173394773713581,"Deep Subprime"
142,0.102884495939044,"Deep Subprime"
143,0.153019737622378,"Deep Subprime"
144,0.0171258767205027,"Deep Subprime"
145,0.176577667915357,"Deep Subprime"
146,0.161068197277327,"Deep Subprime"
147,0.0742583872236697,"Deep Subprime"
148,0.107010305367177,"Deep Subprime"
149,0.0364053088556131,"Deep Subprime"
150,0.250799431389752,"Deep Subprime"
151,0.0153541169252662,"Deep Subprime"
