"month","yoy","group"
108,-0.242273680371957,"Number of Loans"
109,-0.306635609749253,"Number of Loans"
110,-0.288555361066627,"Number of Loans"
111,-0.29978567253361,"Number of Loans"
112,-0.281540719367196,"Number of Loans"
113,-0.204623794904939,"Number of Loans"
114,-0.118892508143323,"Number of Loans"
115,0.0860738589447909,"Number of Loans"
116,-0.186889562985433,"Number of Loans"
117,-0.0182731394621638,"Number of Loans"
118,0.02941431670282,"Number of Loans"
119,0.0412175404213622,"Number of Loans"
120,-0.0508331829393009,"Number of Loans"
121,0.0303152952604524,"Number of Loans"
122,0.197857230103474,"Number of Loans"
123,0.207490817348718,"Number of Loans"
124,0.1328093894438,"Number of Loans"
125,0.10935992280476,"Number of Loans"
126,0.0875130089004179,"Number of Loans"
127,-0.0822409815436241,"Number of Loans"
128,0.292138977144614,"Number of Loans"
129,0.233631278243386,"Number of Loans"
130,0.264518712070128,"Number of Loans"
131,0.245848283434308,"Number of Loans"
132,0.244961338572696,"Number of Loans"
133,0.280189346323067,"Number of Loans"
134,0.125524414403916,"Number of Loans"
135,0.10700404049715,"Number of Loans"
136,0.0878986537080335,"Number of Loans"
137,0.0713555416520426,"Number of Loans"
138,0.049490808849785,"Number of Loans"
139,0.0827834433113377,"Number of Loans"
140,0.126338499611339,"Number of Loans"
141,0.124481595636528,"Number of Loans"
142,0.116749154293523,"Number of Loans"
143,0.120550187277706,"Number of Loans"
144,0.0903120704576694,"Number of Loans"
145,0.143302085091367,"Number of Loans"
146,0.110567527340969,"Number of Loans"
147,0.0829493727101143,"Number of Loans"
148,0.168883707210181,"Number of Loans"
149,0.127522896577264,"Number of Loans"
150,0.121995699393016,"Number of Loans"
151,0.139651760981401,"Number of Loans"
152,0.0622244757116097,"Number of Loans"
153,0.0678070691560353,"Number of Loans"
154,0.0771618294411698,"Number of Loans"
155,0.0235667537428723,"Number of Loans"
156,0.0861309551602309,"Number of Loans"
157,0.0104137310949179,"Number of Loans"
158,0.0236341599850829,"Number of Loans"
159,0.0885779093460459,"Number of Loans"
160,0.0879419328478381,"Number of Loans"
161,0.078865588681152,"Number of Loans"
162,0.106462725309915,"Number of Loans"
163,0.0789610750373277,"Number of Loans"
164,0.064002439703523,"Number of Loans"
165,0.0516207934630686,"Number of Loans"
166,0.0519906907156513,"Number of Loans"
167,0.0361004390779363,"Number of Loans"
168,0.0365837930787418,"Number of Loans"
