"month","yoy","group"
72,0.658056777289084,"Number of Loans"
73,0.496727019498607,"Number of Loans"
74,0.480180632212745,"Number of Loans"
75,0.338262384864327,"Number of Loans"
76,0.385225241739609,"Number of Loans"
77,0.312910643889619,"Number of Loans"
78,0.232888002082068,"Number of Loans"
79,0.190829908374496,"Number of Loans"
80,0.0507146873814848,"Number of Loans"
81,0.03406026962728,"Number of Loans"
82,-0.0640761300555115,"Number of Loans"
83,-0.0965009940357853,"Number of Loans"
84,-0.0550786148355359,"Number of Loans"
85,-0.131903410412692,"Number of Loans"
86,-0.293220338983051,"Number of Loans"
87,-0.301164477845158,"Number of Loans"
88,-0.368511595593344,"Number of Loans"
89,-0.421493807081196,"Number of Loans"
90,-0.391689828659888,"Number of Loans"
91,-0.465170033563422,"Number of Loans"
92,-0.579314207480242,"Number of Loans"
93,-0.579508416733771,"Number of Loans"
94,-0.603287578376546,"Number of Loans"
95,-0.678915636139594,"Number of Loans"
96,-0.710800326663944,"Number of Loans"
97,-0.69074927644978,"Number of Loans"
98,-0.704268585131894,"Number of Loans"
99,-0.643739352640545,"Number of Loans"
100,-0.697925398155909,"Number of Loans"
101,-0.705233564013841,"Number of Loans"
102,-0.701098901098901,"Number of Loans"
103,-0.718548339352318,"Number of Loans"
104,-0.619585798816568,"Number of Loans"
105,-0.653474375341966,"Number of Loans"
106,-0.737505339598462,"Number of Loans"
107,-0.679002192982456,"Number of Loans"
108,-0.654782915637134,"Number of Loans"
109,-0.620103986135182,"Number of Loans"
110,-0.564060979565358,"Number of Loans"
111,-0.582934847579199,"Number of Loans"
112,-0.524453694068678,"Number of Loans"
113,-0.403888481291269,"Number of Loans"
114,-0.323529411764706,"Number of Loans"
115,-0.367900715187211,"Number of Loans"
116,-0.306112925804946,"Number of Loans"
117,-0.263684210526316,"Number of Loans"
118,0.00244100895036614,"Number of Loans"
119,-0.0281810418445773,"Number of Loans"
120,-0.129856850715746,"Number of Loans"
121,-0.12043795620438,"Number of Loans"
122,-0.151785714285714,"Number of Loans"
123,-0.00179147259046941,"Number of Loans"
124,0.00218818380743979,"Number of Loans"
125,-0.226461538461538,"Number of Loans"
126,-0.292906178489702,"Number of Loans"
127,-0.2,"Number of Loans"
128,-0.0914593140551446,"Number of Loans"
129,-0.0822015725518227,"Number of Loans"
130,-0.00324675324675328,"Number of Loans"
131,0.0702987697715289,"Number of Loans"
132,0.00705052878965917,"Number of Loans"
133,-0.214730290456432,"Number of Loans"
134,-0.0473684210526316,"Number of Loans"
135,-0.177315147164393,"Number of Loans"
136,-0.0822416302765647,"Number of Loans"
137,-0.0318217979315831,"Number of Loans"
138,-0.0432847896440129,"Number of Loans"
139,0.130615640599002,"Number of Loans"
140,-0.0532938564026647,"Number of Loans"
141,0.029595015576324,"Number of Loans"
142,-0.0399022801302932,"Number of Loans"
143,-0.0862068965517241,"Number of Loans"
144,-0.0105017502917153,"Number of Loans"
145,0.372523117569353,"Number of Loans"
146,0.19060773480663,"Number of Loans"
147,0.241710296684119,"Number of Loans"
148,0.22283901665345,"Number of Loans"
149,0.175020542317173,"Number of Loans"
150,0.197463002114165,"Number of Loans"
151,0.111846946284032,"Number of Loans"
152,-0.0258014073494918,"Number of Loans"
153,0.173978819969743,"Number of Loans"
154,0.0678541136556403,"Number of Loans"
155,0.0853548966756514,"Number of Loans"
156,0.38561320754717,"Number of Loans"
157,0.103946102021174,"Number of Loans"
158,0.204176334106729,"Number of Loans"
159,0.246661981728742,"Number of Loans"
160,0.194552529182879,"Number of Loans"
161,0.0972027972027971,"Number of Loans"
162,0.298728813559322,"Number of Loans"
163,0.107213765718067,"Number of Loans"
164,0.172552166934189,"Number of Loans"
165,-0.0199742268041238,"Number of Loans"
166,-0.0841938046068308,"Number of Loans"
167,-0.109271523178808,"Number of Loans"
168,-0.14468085106383,"Number of Loans"
169,-0.1743679163034,"Number of Loans"
170,-0.238921001926782,"Number of Loans"
171,-0.22435174746336,"Number of Loans"
172,-0.129207383279044,"Number of Loans"
173,0.0796685787125557,"Number of Loans"
174,-0.0706905927134313,"Number of Loans"
175,-0.0251046025104602,"Number of Loans"
176,0.105407255304586,"Number of Loans"
177,0.128205128205128,"Number of Loans"
178,0.279271465741544,"Number of Loans"
179,0.421933085501859,"Number of Loans"
180,0.193034825870647,"Number of Loans"
181,0.15311510031679,"Number of Loans"
182,0.338396624472574,"Number of Loans"
183,0.28125,"Number of Loans"
184,0.248129675810474,"Number of Loans"
185,0.243801652892562,"Number of Loans"
186,0.183733177296665,"Number of Loans"
187,0.264255058246475,"Number of Loans"
188,0.226006191950464,"Number of Loans"
189,0.0646853146853146,"Number of Loans"
190,0.295593220338983,"Number of Loans"
191,0.18562091503268,"Number of Loans"
192,0.16930775646372,"Number of Loans"
193,0.39724299588451,"Number of Loans"
194,0.141778288781171,"Number of Loans"
195,0.0864398234313821,"Number of Loans"
196,0.119452709987999,"Number of Loans"
197,0.160353452613624,"Number of Loans"
198,0.147189980479137,"Number of Loans"
199,0.184092380928224,"Number of Loans"
200,0.0784918049722627,"Number of Loans"
201,0.224891815037421,"Number of Loans"
202,0.412181483240152,"Number of Loans"
203,0.444930511534299,"Number of Loans"
72,0.761351069663165,"Dollar Volume"
73,0.622004122097621,"Dollar Volume"
74,0.578512006586357,"Dollar Volume"
