"month","yoy","group"
72,-0.118694696500028,"Number of Loans"
73,-0.127839573868087,"Number of Loans"
74,-0.135949919690293,"Number of Loans"
75,-0.231563961765304,"Number of Loans"
76,-0.187512195121951,"Number of Loans"
77,-0.212545197296023,"Number of Loans"
78,-0.241484130531962,"Number of Loans"
79,-0.24035016286645,"Number of Loans"
80,-0.208086124401914,"Number of Loans"
81,-0.226524504302282,"Number of Loans"
82,-0.248812586582228,"Number of Loans"
83,-0.279970176279491,"Number of Loans"
84,-0.16211549529961,"Number of Loans"
85,-0.196575055385905,"Number of Loans"
86,-0.212726406101049,"Number of Loans"
87,-0.159485496506458,"Number of Loans"
88,-0.191258405379443,"Number of Loans"
89,-0.209423038530645,"Number of Loans"
90,-0.125176803394625,"Number of Loans"
91,-0.156831216165514,"Number of Loans"
92,-0.267536704730832,"Number of Loans"
93,-0.172551390568319,"Number of Loans"
94,-0.247381940327998,"Number of Loans"
95,-0.277662721893491,"Number of Loans"
96,-0.352694245153412,"Number of Loans"
97,-0.220301088090625,"Number of Loans"
98,-0.319065205545801,"Number of Loans"
99,-0.244284904590969,"Number of Loans"
100,-0.362929088965435,"Number of Loans"
101,-0.429103535353535,"Number of Loans"
102,-0.451967124764215,"Number of Loans"
103,-0.52005594049965,"Number of Loans"
104,-0.429349170997278,"Number of Loans"
105,-0.519801256758732,"Number of Loans"
106,-0.575654152445961,"Number of Loans"
107,-0.518943272578333,"Number of Loans"
108,-0.487796250442165,"Number of Loans"
109,-0.55065952972663,"Number of Loans"
110,-0.526362585578376,"Number of Loans"
111,-0.554333333333333,"Number of Loans"
112,-0.519343712128274,"Number of Loans"
113,-0.412916067676656,"Number of Loans"
114,-0.379225568531039,"Number of Loans"
115,-0.347682119205298,"Number of Loans"
116,-0.344463717837525,"Number of Loans"
117,-0.383597078514912,"Number of Loans"
118,-0.289338007836667,"Number of Loans"
119,-0.244785014899957,"Number of Loans"
120,-0.317909760589319,"Number of Loans"
121,-0.334609657519677,"Number of Loans"
122,-0.228458794818847,"Number of Loans"
123,-0.205497382198953,"Number of Loans"
124,-0.167377812257564,"Number of Loans"
125,-0.195517046524769,"Number of Loans"
126,-0.151287128712871,"Number of Loans"
127,-0.12,"Number of Loans"
128,-0.0626240352811467,"Number of Loans"
129,0.0933102937546284,"Number of Loans"
130,0.214161346488682,"Number of Loans"
131,0.12739571589628,"Number of Loans"
132,0.0610867364157948,"Number of Loans"
133,-0.0322890025575447,"Number of Loans"
134,-0.0452554744525547,"Number of Loans"
135,-0.0546010826076724,"Number of Loans"
136,-0.0733752620545073,"Number of Loans"
137,-0.0367595410910794,"Number of Loans"
138,-0.104526364909006,"Number of Loans"
139,-0.070835256114444,"Number of Loans"
140,-0.112914608327452,"Number of Loans"
141,-0.10069993226462,"Number of Loans"
142,-0.0838910133843213,"Number of Loans"
143,-0.06775,"Number of Loans"
144,-0.00604325699745545,"Number of Loans"
145,0.120911793855302,"Number of Loans"
146,0.0626911314984711,"Number of Loans"
147,0.0149365197908886,"Number of Loans"
148,0.0902463549522372,"Number of Loans"
149,0.0901798736023336,"Number of Loans"
150,0.0594059405940595,"Number of Loans"
151,0.17308169853489,"Number of Loans"
152,0.0670909573057545,"Number of Loans"
153,0.0913884007029877,"Number of Loans"
154,-0.0605270023480302,"Number of Loans"
155,-0.00455886296594266,"Number of Loans"
156,0.11296,"Number of Loans"
157,0.0347774830533452,"Number of Loans"
158,0.0741007194244605,"Number of Loans"
159,0.214618592102036,"Number of Loans"
160,0.220428867881024,"Number of Loans"
161,0.124860646599777,"Number of Loans"
162,0.309149040826365,"Number of Loans"
163,0.225232853513971,"Number of Loans"
164,0.25,"Number of Loans"
165,0.251897860593513,"Number of Loans"
166,0.310469314079422,"Number of Loans"
167,0.184806034482759,"Number of Loans"
168,0.0598044853364001,"Number of Loans"
169,0.0524067217317004,"Number of Loans"
170,0.0620674257646796,"Number of Loans"
171,0.0967285945072698,"Number of Loans"
172,0.136973361042887,"Number of Loans"
173,0.21585728444004,"Number of Loans"
174,0.120608679316175,"Number of Loans"
175,0.0798203178991015,"Number of Loans"
176,0.157455268389662,"Number of Loans"
177,0.13763322307975,"Number of Loans"
178,0.0949353676626403,"Number of Loans"
179,0.170304683947249,"Number of Loans"
180,0.231144872490505,"Number of Loans"
181,0.213261163734777,"Number of Loans"
182,0.220306916123607,"Number of Loans"
183,0.132388142146934,"Number of Loans"
184,0.0616483881688268,"Number of Loans"
185,0.15242908379524,"Number of Loans"
186,0.142665549036044,"Number of Loans"
187,0.06016,"Number of Loans"
188,0.148746135348677,"Number of Loans"
189,0.0825391697625586,"Number of Loans"
190,0.0990903812657249,"Number of Loans"
191,0.167400435555243,"Number of Loans"
192,0.0999350429102588,"Number of Loans"
193,0.187251761407509,"Number of Loans"
194,0.0736718436473109,"Number of Loans"
195,0.0906284936981228,"Number of Loans"
196,0.119679835540238,"Number of Loans"
197,0.0625767281681759,"Number of Loans"
198,-0.0480806498906491,"Number of Loans"
199,0.0805286336412805,"Number of Loans"
200,0.0368230830667473,"Number of Loans"
201,-0.0219637685161465,"Number of Loans"
72,-0.017732328389315,"Dollar Volume"
73,-0.00776868684627052,"Dollar Volume"
74,-0.0106491828452259,"Dollar Volume"
75,-0.166503894620945,"Dollar Volume"
76,-0.10454950347311,"Dollar Volume"
77,-0.113862497427893,"Dollar Volume"
78,-0.131673582817049,"Dollar Volume"
79,-0.117009139230138,"Dollar Volume"
80,-0.111331690382055,"Dollar Volume"
81,-0.164174415717228,"Dollar Volume"
82,-0.244101509880469,"Dollar Volume"
83,-0.256910928369725,"Dollar Volume"
84,-0.124166896613993,"Dollar Volume"
85,-0.153549030825143,"Dollar Volume"
86,-0.195481406694408,"Dollar Volume"
87,-0.134170545468963,"Dollar Volume"
88,-0.185182629221822,"Dollar Volume"
89,-0.237157484521302,"Dollar Volume"
90,-0.145929728261208,"Dollar Volume"
91,-0.194070694161777,"Dollar Volume"
92,-0.27941427480377,"Dollar Volume"
93,-0.184026203933544,"Dollar Volume"
94,-0.242497844263323,"Dollar Volume"
95,-0.283962067595594,"Dollar Volume"
96,-0.335791996661339,"Dollar Volume"
97,-0.230587446626808,"Dollar Volume"
98,-0.324876387539216,"Dollar Volume"
99,-0.234230210159555,"Dollar Volume"
100,-0.339859868811533,"Dollar Volume"
101,-0.423951735912977,"Dollar Volume"
102,-0.446488783394364,"Dollar Volume"
103,-0.522496553500965,"Dollar Volume"
104,-0.433799436692867,"Dollar Volume"
105,-0.526934059007685,"Dollar Volume"
106,-0.593970279565995,"Dollar Volume"
107,-0.492747827979389,"Dollar Volume"
108,-0.510351705105298,"Dollar Volume"
109,-0.60724438030059,"Dollar Volume"
110,-0.57678213426614,"Dollar Volume"
111,-0.628566953636733,"Dollar Volume"
112,-0.577834369705661,"Dollar Volume"
113,-0.478879413749349,"Dollar Volume"
114,-0.503912978316672,"Dollar Volume"
115,-0.47767724656399,"Dollar Volume"
116,-0.517896720867827,"Dollar Volume"
117,-0.479889968851713,"Dollar Volume"
118,-0.416445690447713,"Dollar Volume"
119,-0.41213035159566,"Dollar Volume"
120,-0.445441252819183,"Dollar Volume"
121,-0.386512413004038,"Dollar Volume"
