"month","yoy","group"
72,-0.0701772999481304,"Number of Loans"
73,-0.114993758076173,"Number of Loans"
74,-0.118723202331927,"Number of Loans"
75,-0.119029070872126,"Number of Loans"
76,-0.061143299602168,"Number of Loans"
77,-0.140925015833821,"Number of Loans"
78,-0.241554881033976,"Number of Loans"
79,-0.222707552678063,"Number of Loans"
80,-0.215891388465468,"Number of Loans"
81,-0.11515287972261,"Number of Loans"
82,-0.0985549840803331,"Number of Loans"
83,-0.0484361602221224,"Number of Loans"
84,0.0461743264659271,"Number of Loans"
85,-0.0571909375502679,"Number of Loans"
86,-0.14276511254483,"Number of Loans"
87,-0.0860877160820006,"Number of Loans"
88,-0.153779067011726,"Number of Loans"
89,-0.224310578134478,"Number of Loans"
90,-0.199565367071177,"Number of Loans"
91,-0.312703242369497,"Number of Loans"
92,-0.413112442721184,"Number of Loans"
93,-0.37229895469674,"Number of Loans"
94,-0.390392870727599,"Number of Loans"
95,-0.395981505916176,"Number of Loans"
96,-0.378006956142371,"Number of Loans"
97,-0.0704901896449899,"Number of Loans"
98,-0.231854635185912,"Number of Loans"
99,-0.198954547599943,"Number of Loans"
100,-0.324386391387635,"Number of Loans"
101,-0.336938606094876,"Number of Loans"
102,-0.331778715625924,"Number of Loans"
103,-0.372438886045128,"Number of Loans"
104,-0.202839202839203,"Number of Loans"
105,-0.249955408538859,"Number of Loans"
106,-0.432763446419339,"Number of Loans"
107,-0.217525663339609,"Number of Loans"
108,0.171592791037506,"Number of Loans"
109,-0.00358635490794079,"Number of Loans"
110,0.122422755680159,"Number of Loans"
111,0.184232621856909,"Number of Loans"
112,0.408456309069806,"Number of Loans"
113,0.52174623047194,"Number of Loans"
114,0.423577448357705,"Number of Loans"
115,0.211807239539703,"Number of Loans"
116,0.19041095890411,"Number of Loans"
117,0.258928571428571,"Number of Loans"
118,0.812936073920422,"Number of Loans"
119,0.278224159063053,"Number of Loans"
120,-0.302966806359343,"Number of Loans"
121,-0.461584242596004,"Number of Loans"
122,-0.350861216631108,"Number of Loans"
123,-0.373037788889718,"Number of Loans"
124,-0.450320210962517,"Number of Loans"
125,-0.316831210950541,"Number of Loans"
126,-0.272917373120832,"Number of Loans"
127,0.179843551027833,"Number of Loans"
128,0.344572305331799,"Number of Loans"
129,0.24111757937939,"Number of Loans"
130,0.246342139934817,"Number of Loans"
131,0.252752326159528,"Number of Loans"
132,0.206184091234432,"Number of Loans"
133,0.0652700284240446,"Number of Loans"
134,-0.125896829532246,"Number of Loans"
135,-0.21720498373145,"Number of Loans"
136,-0.140323824209715,"Number of Loans"
137,-0.202841385087964,"Number of Loans"
138,-0.12977069568597,"Number of Loans"
139,-0.21284075490317,"Number of Loans"
140,-0.180669272244886,"Number of Loans"
141,-0.128787669147965,"Number of Loans"
142,-0.147467104348068,"Number of Loans"
143,-0.138171509567683,"Number of Loans"
144,0.0521402009652663,"Number of Loans"
145,0.469018677734954,"Number of Loans"
146,0.549798239178283,"Number of Loans"
147,0.601328061638281,"Number of Loans"
148,0.676183358246139,"Number of Loans"
149,0.510137058282611,"Number of Loans"
150,0.596355678620874,"Number of Loans"
151,0.620582935046619,"Number of Loans"
152,0.258983286908078,"Number of Loans"
153,0.337991932153861,"Number of Loans"
154,0.294426678848789,"Number of Loans"
155,0.317752705503108,"Number of Loans"
156,0.430365468491503,"Number of Loans"
157,0.172822065253952,"Number of Loans"
158,0.114030416000947,"Number of Loans"
159,0.210977810135798,"Number of Loans"
160,0.181504711512738,"Number of Loans"
161,0.073389973033317,"Number of Loans"
162,-0.00416853178155774,"Number of Loans"
163,-0.24309231996519,"Number of Loans"
164,-0.32735494219813,"Number of Loans"
165,-0.450527015478112,"Number of Loans"
166,-0.487030174695606,"Number of Loans"
167,-0.487856019570156,"Number of Loans"
168,-0.578781346932338,"Number of Loans"
169,-0.570752552483653,"Number of Loans"
170,-0.503585466907468,"Number of Loans"
171,-0.472161229611041,"Number of Loans"
172,-0.456235690743956,"Number of Loans"
173,-0.364903560430061,"Number of Loans"
174,-0.321590110970642,"Number of Loans"
175,-0.259269905145157,"Number of Loans"
176,-0.0722611681022963,"Number of Loans"
177,0.0139548950142574,"Number of Loans"
178,0.023686667649516,"Number of Loans"
179,0.17034654189209,"Number of Loans"
180,0.183911632551173,"Number of Loans"
181,0.572860292643816,"Number of Loans"
182,0.673051201112835,"Number of Loans"
183,0.477195067597682,"Number of Loans"
184,0.370240133253135,"Number of Loans"
185,0.364398128455976,"Number of Loans"
186,0.232110319695213,"Number of Loans"
187,0.186176863708878,"Number of Loans"
188,0.191765644389293,"Number of Loans"
189,0.100259917337765,"Number of Loans"
190,0.0151216936296865,"Number of Loans"
191,0.0479760119940029,"Number of Loans"
192,0.0105424068314797,"Number of Loans"
193,-0.106769133694501,"Number of Loans"
194,-0.0767649049884145,"Number of Loans"
195,-0.0242509139371353,"Number of Loans"
196,0.0649854934844545,"Number of Loans"
197,0.0597235188887293,"Number of Loans"
198,0.037678450467822,"Number of Loans"
199,0.336071474806517,"Number of Loans"
200,0.325971996358195,"Number of Loans"
201,0.51782194710006,"Number of Loans"
202,0.719990176955639,"Number of Loans"
203,0.46181247148146,"Number of Loans"
72,-0.0107766435688219,"Dollar Volume"
73,-0.079223211817578,"Dollar Volume"
74,-0.0702439471413744,"Dollar Volume"
75,-0.0491158146053484,"Dollar Volume"
76,-0.0280621645734271,"Dollar Volume"
77,-0.115339167962128,"Dollar Volume"
78,-0.234968532666284,"Dollar Volume"
79,-0.201621331003843,"Dollar Volume"
80,-0.194489362477745,"Dollar Volume"
81,-0.0792317865664268,"Dollar Volume"
82,-0.0570443302961241,"Dollar Volume"
83,0.052592689021663,"Dollar Volume"
84,0.149106507643985,"Dollar Volume"
85,0.0215170316334805,"Dollar Volume"
86,-0.0859622518751436,"Dollar Volume"
87,-0.0502840624019085,"Dollar Volume"
88,-0.108638678897173,"Dollar Volume"
89,-0.197648324570772,"Dollar Volume"
90,-0.1919549427561,"Dollar Volume"
91,-0.324925458354723,"Dollar Volume"
92,-0.444613614178799,"Dollar Volume"
93,-0.405962782739956,"Dollar Volume"
94,-0.436550368419962,"Dollar Volume"
95,-0.44661578124169,"Dollar Volume"
96,-0.437224197592599,"Dollar Volume"
97,-0.102206686714781,"Dollar Volume"
98,-0.271057070793275,"Dollar Volume"
99,-0.259189425330819,"Dollar Volume"
100,-0.352897139442473,"Dollar Volume"
101,-0.382484817253742,"Dollar Volume"
102,-0.389400821069878,"Dollar Volume"
103,-0.409515077087499,"Dollar Volume"
104,-0.243579185558011,"Dollar Volume"
105,-0.274491494210967,"Dollar Volume"
106,-0.460424526901989,"Dollar Volume"
107,-0.242124708861191,"Dollar Volume"
108,0.203145688216156,"Dollar Volume"
109,-0.0387877395897913,"Dollar Volume"
110,0.0957346746110406,"Dollar Volume"
111,0.218952746474653,"Dollar Volume"
112,0.399965756688323,"Dollar Volume"
113,0.539292125797829,"Dollar Volume"
114,0.501065348843637,"Dollar Volume"
115,0.24179721492834,"Dollar Volume"
116,0.232687662026634,"Dollar Volume"
117,0.291267947317264,"Dollar Volume"
118,0.902240729191133,"Dollar Volume"
119,0.321521869234835,"Dollar Volume"
120,-0.302735050428621,"Dollar Volume"
121,-0.464703360270645,"Dollar Volume"
122,-0.368199170168278,"Dollar Volume"
123,-0.40709424689627,"Dollar Volume"
124,-0.479151960572973,"Dollar Volume"
125,-0.313959162865297,"Dollar Volume"
126,-0.237927733230327,"Dollar Volume"
127,0.277161538533982,"Dollar Volume"
128,0.465899858242105,"Dollar Volume"
129,0.310447509684426,"Dollar Volume"
130,0.327447892100488,"Dollar Volume"
131,0.288161691235186,"Dollar Volume"
132,0.221480636415614,"Dollar Volume"
133,0.0598058661751986,"Dollar Volume"
134,-0.12764610388693,"Dollar Volume"
135,-0.219886064606521,"Dollar Volume"
136,-0.129894330774817,"Dollar Volume"
137,-0.216064941179634,"Dollar Volume"
138,-0.164888466337019,"Dollar Volume"
139,-0.251082669762219,"Dollar Volume"
140,-0.164701478256287,"Dollar Volume"
141,-0.134117479269205,"Dollar Volume"
142,-0.134237635115653,"Dollar Volume"
143,-0.150011533945066,"Dollar Volume"
144,0.046406221372123,"Dollar Volume"
145,0.54418336822064,"Dollar Volume"
146,0.619579849950314,"Dollar Volume"
147,0.711677557084722,"Dollar Volume"
148,0.758695941813065,"Dollar Volume"
149,0.588780583192546,"Dollar Volume"
150,0.679736271223304,"Dollar Volume"
151,0.706119959062334,"Dollar Volume"
152,0.223440375443716,"Dollar Volume"
153,0.339887827995946,"Dollar Volume"
154,0.282489711955142,"Dollar Volume"
155,0.362926407729557,"Dollar Volume"
156,0.457539140998706,"Dollar Volume"
157,0.160733048755489,"Dollar Volume"
158,0.120750645650091,"Dollar Volume"
159,0.211802537858194,"Dollar Volume"
160,0.221580285939317,"Dollar Volume"
161,0.0925981497816886,"Dollar Volume"
162,-0.0113089260269958,"Dollar Volume"
163,-0.258498929380684,"Dollar Volume"
