"month","yoy","group"
72,-0.454046953417091,"Number of Loans"
73,-0.181290675877756,"Number of Loans"
74,-0.13815325656646,"Number of Loans"
75,-0.0121818128189246,"Number of Loans"
76,-0.0629109453240992,"Number of Loans"
77,0.0215742828674812,"Number of Loans"
78,0.0136671322660362,"Number of Loans"
79,-0.00514800514800517,"Number of Loans"
80,0.0858630041116262,"Number of Loans"
81,-0.0798200315127007,"Number of Loans"
82,0.0236982396766854,"Number of Loans"
83,-0.0182598182030066,"Number of Loans"
84,-0.126795321060165,"Number of Loans"
85,-0.0435151717839548,"Number of Loans"
86,0.00441517309366257,"Number of Loans"
87,-0.102259380909724,"Number of Loans"
88,-0.0250351811212691,"Number of Loans"
89,0.0757479312539784,"Number of Loans"
90,0.0196413050391131,"Number of Loans"
91,0.0310789133247089,"Number of Loans"
92,-0.0993655589123867,"Number of Loans"
93,-0.0871596409094059,"Number of Loans"
94,-0.0763657080498138,"Number of Loans"
95,-0.109986719984568,"Number of Loans"
96,-0.0745393398146055,"Number of Loans"
97,-0.0408552985476063,"Number of Loans"
98,-0.15147117171675,"Number of Loans"
99,-0.130160982748681,"Number of Loans"
100,-0.0995225742634219,"Number of Loans"
101,-0.217207482343959,"Number of Loans"
102,-0.168480690264567,"Number of Loans"
103,-0.110641586702533,"Number of Loans"
104,-0.161931278163541,"Number of Loans"
105,-0.0506034024743296,"Number of Loans"
106,-0.140286863526979,"Number of Loans"
107,-0.104748091093995,"Number of Loans"
108,-0.0835203762234132,"Number of Loans"
109,-0.15271585205126,"Number of Loans"
110,-0.100594337184835,"Number of Loans"
111,-0.0848246150708677,"Number of Loans"
112,-0.0802797798527121,"Number of Loans"
113,-0.107338364565172,"Number of Loans"
114,-0.0906761014152123,"Number of Loans"
115,-0.152305174651543,"Number of Loans"
116,-0.0136489172926312,"Number of Loans"
117,-0.144243947007766,"Number of Loans"
118,-0.0299113774391415,"Number of Loans"
119,-0.0272351440436507,"Number of Loans"
120,-0.0697565933058995,"Number of Loans"
121,-0.11552209167632,"Number of Loans"
122,-0.113870190992174,"Number of Loans"
123,-0.128131920168243,"Number of Loans"
124,-0.123398861683587,"Number of Loans"
125,-0.132237048772826,"Number of Loans"
126,-0.104227675809445,"Number of Loans"
127,-0.107988283850353,"Number of Loans"
128,-0.0996645384698626,"Number of Loans"
129,-0.0288135593220339,"Number of Loans"
130,-0.0438858738111856,"Number of Loans"
131,-0.0668115206799843,"Number of Loans"
132,-0.0345476036965399,"Number of Loans"
133,0.119347415293083,"Number of Loans"
134,0.0535750127375751,"Number of Loans"
135,0.13720228111372,"Number of Loans"
136,0.032102438617468,"Number of Loans"
137,0.110631935153852,"Number of Loans"
138,0.104675077508672,"Number of Loans"
139,0.0816131584053494,"Number of Loans"
140,0.0762319711538462,"Number of Loans"
141,-0.00588146376990839,"Number of Loans"
142,0.033196783823241,"Number of Loans"
143,0.0419825013077861,"Number of Loans"
144,0.0352644369005881,"Number of Loans"
145,0.0467673998796549,"Number of Loans"
146,0.0674540951655211,"Number of Loans"
147,0.239935384183172,"Number of Loans"
148,0.0099818145079813,"Number of Loans"
149,-0.00398220055552412,"Number of Loans"
150,1.01990996748826,"Number of Loans"
151,0.0400872121103399,"Number of Loans"
152,0.0339084792137812,"Number of Loans"
153,0.0476480101737555,"Number of Loans"
154,0.134467959465587,"Number of Loans"
155,0.175339121532495,"Number of Loans"
156,0.175763331422018,"Number of Loans"
157,0.41639255261393,"Number of Loans"
158,0.153098487136542,"Number of Loans"
159,-0.0830397299226246,"Number of Loans"
160,0.186819782330346,"Number of Loans"
161,0.165103936940654,"Number of Loans"
162,-0.419876049827694,"Number of Loans"
163,0.168670063153426,"Number of Loans"
164,0.0762594007804167,"Number of Loans"
165,0.0728064388441747,"Number of Loans"
166,0.0229028210252358,"Number of Loans"
167,-0.00625638620412405,"Number of Loans"
168,-0.0754530076047366,"Number of Loans"
169,-0.275402184819003,"Number of Loans"
170,-0.0559563778365121,"Number of Loans"
171,-0.0144673280537676,"Number of Loans"
172,-0.0430756436622726,"Number of Loans"
173,0.0138239280960348,"Number of Loans"
174,-0.00723271558828065,"Number of Loans"
175,0.0350343418289152,"Number of Loans"
176,0.000589630038514199,"Number of Loans"
177,0.0694396615339203,"Number of Loans"
178,0.0733764050559296,"Number of Loans"
179,-0.0128612485356213,"Number of Loans"
180,0.097319750766492,"Number of Loans"
181,0.0236176369916297,"Number of Loans"
182,0.041655106313214,"Number of Loans"
183,0.0417575529647738,"Number of Loans"
184,0.0918614210217263,"Number of Loans"
185,-0.0096845300473386,"Number of Loans"
186,-0.00512367280153825,"Number of Loans"
187,-0.0633644470281121,"Number of Loans"
188,0.00407482634970791,"Number of Loans"
189,-0.0575131678818686,"Number of Loans"
190,-0.0278944160373844,"Number of Loans"
191,-0.0151751898053896,"Number of Loans"
192,0.024763243443118,"Number of Loans"
193,0.0955836290496273,"Number of Loans"
194,-0.0153827610874669,"Number of Loans"
195,0.0170300484388548,"Number of Loans"
196,-0.0302522333236627,"Number of Loans"
197,-0.0133555930561259,"Number of Loans"
198,0.0250424754126695,"Number of Loans"
199,0.0324748758086744,"Number of Loans"
200,0.0159465818038889,"Number of Loans"
201,0.0656256204914565,"Number of Loans"
72,-0.813251264805746,"Dollar Volume"
73,-0.463445914772067,"Dollar Volume"
74,-0.391091458591321,"Dollar Volume"
75,-0.0414372386941319,"Dollar Volume"
76,-0.228995267361674,"Dollar Volume"
77,0.0162017365091387,"Dollar Volume"
78,0.0546818840258652,"Dollar Volume"
79,0.0871238068330418,"Dollar Volume"
80,0.162643161780402,"Dollar Volume"
81,-0.12064918874991,"Dollar Volume"
82,0.218049372685698,"Dollar Volume"
83,0.00286746435596918,"Dollar Volume"
84,-0.0343532933053724,"Dollar Volume"
85,0.036008369844676,"Dollar Volume"
86,0.258394795392958,"Dollar Volume"
87,-0.0425546862135593,"Dollar Volume"
88,0.06615556362192,"Dollar Volume"
89,0.259970728685682,"Dollar Volume"
90,0.0851688414307745,"Dollar Volume"
91,0.0604315145442871,"Dollar Volume"
92,-0.0754956734238965,"Dollar Volume"
93,-0.0635221986103568,"Dollar Volume"
94,-0.117869219581627,"Dollar Volume"
95,-0.150381188417126,"Dollar Volume"
96,-0.138798412821783,"Dollar Volume"
97,-0.0931708630611637,"Dollar Volume"
98,-0.266105223898832,"Dollar Volume"
99,-0.173711224990497,"Dollar Volume"
100,-0.131502709678225,"Dollar Volume"
101,-0.321944794972584,"Dollar Volume"
102,-0.186022775259169,"Dollar Volume"
103,-0.110524008605868,"Dollar Volume"
104,-0.211053704357797,"Dollar Volume"
105,-0.0899946059224387,"Dollar Volume"
106,-0.11852128682149,"Dollar Volume"
107,-0.112532719754844,"Dollar Volume"
108,-0.0193121061737028,"Dollar Volume"
109,-0.116575943480864,"Dollar Volume"
110,-0.0561991791511658,"Dollar Volume"
111,-0.108306269450092,"Dollar Volume"
112,-0.0690229129856474,"Dollar Volume"
113,-0.0963821918832032,"Dollar Volume"
114,-0.124190386353279,"Dollar Volume"
115,-0.182875053405129,"Dollar Volume"
116,-0.0500767280407352,"Dollar Volume"
117,-0.151591024030482,"Dollar Volume"
118,-0.121010626673153,"Dollar Volume"
119,-0.152461857439237,"Dollar Volume"
120,-0.191995847904117,"Dollar Volume"
121,-0.239935590681433,"Dollar Volume"
122,-0.290811193375314,"Dollar Volume"
123,-0.173857288464028,"Dollar Volume"
124,-0.229555411831014,"Dollar Volume"
125,-0.237745388198001,"Dollar Volume"
126,-0.18443226656935,"Dollar Volume"
127,-0.170625276263048,"Dollar Volume"
128,-0.164297633983628,"Dollar Volume"
129,-0.101395060189954,"Dollar Volume"
130,-0.119403912572104,"Dollar Volume"
131,-0.20457909570465,"Dollar Volume"
132,-0.032210981744532,"Dollar Volume"
133,0.0781443302803004,"Dollar Volume"
134,0.0474282617232662,"Dollar Volume"
135,0.119926718303171,"Dollar Volume"
136,0.0970327912443374,"Dollar Volume"
137,0.124581484458667,"Dollar Volume"
138,0.236828255437555,"Dollar Volume"
139,0.157886348820026,"Dollar Volume"
140,0.164189833493515,"Dollar Volume"
141,0.0925385227799598,"Dollar Volume"
142,0.123852755167912,"Dollar Volume"
143,0.177993942016828,"Dollar Volume"
144,0.148228771723252,"Dollar Volume"
145,0.218467380925064,"Dollar Volume"
146,0.236046666924542,"Dollar Volume"
147,0.312103482486094,"Dollar Volume"
148,0.0854751194829726,"Dollar Volume"
149,0.069786487363688,"Dollar Volume"
150,1.00382006270965,"Dollar Volume"
151,0.0738424577225827,"Dollar Volume"
152,0.065075569987701,"Dollar Volume"
153,0.0640855044308504,"Dollar Volume"
154,0.136026857774922,"Dollar Volume"
155,0.224967337069907,"Dollar Volume"
156,0.208618611385327,"Dollar Volume"
157,0.680108029584708,"Dollar Volume"
158,0.210883560865262,"Dollar Volume"
159,0.00288171512826474,"Dollar Volume"
160,0.174403024827995,"Dollar Volume"
161,0.197398742073604,"Dollar Volume"
162,-0.38984731122221,"Dollar Volume"
163,0.167865617044639,"Dollar Volume"
164,0.0740085619150446,"Dollar Volume"
165,0.058820950947714,"Dollar Volume"
166,0.0406093110903651,"Dollar Volume"
167,-0.0184666759639068,"Dollar Volume"
168,-0.0851685431161877,"Dollar Volume"
169,-0.36975777073611,"Dollar Volume"
170,-0.0402374591810644,"Dollar Volume"
171,-0.0301871328054638,"Dollar Volume"
172,0.0097891713785847,"Dollar Volume"
173,0.120798177738367,"Dollar Volume"
174,0.0892713787226527,"Dollar Volume"
175,0.138810576919802,"Dollar Volume"
176,0.0994285874656706,"Dollar Volume"
177,0.13576973168167,"Dollar Volume"
178,0.140477738899432,"Dollar Volume"
179,0.0480966923893387,"Dollar Volume"
180,0.173799649791659,"Dollar Volume"
181,0.0705531564738195,"Dollar Volume"
182,0.0969309925345243,"Dollar Volume"
183,0.148502146146022,"Dollar Volume"
184,0.183280109700393,"Dollar Volume"
185,0.018733289044228,"Dollar Volume"
186,-0.00727201328904747,"Dollar Volume"
187,-0.0591282551725192,"Dollar Volume"
188,0.0671843918884729,"Dollar Volume"
189,0.0108296229156704,"Dollar Volume"
190,0.0256577287908293,"Dollar Volume"
191,0.0275586172982611,"Dollar Volume"
192,0.0882170756553646,"Dollar Volume"
193,0.196458210553971,"Dollar Volume"
194,0.0610708721222446,"Dollar Volume"
195,0.105052789721376,"Dollar Volume"
196,0.0591126248898319,"Dollar Volume"
197,0.0640311023850431,"Dollar Volume"
198,0.104284122742665,"Dollar Volume"
199,0.0727286477553248,"Dollar Volume"
200,0.0704390622999322,"Dollar Volume"
201,0.131594988436826,"Dollar Volume"
