"month","yoy","group"
72,0.182280402200721,"Number of Loans"
73,0.134833516282473,"Number of Loans"
74,0.169507378923301,"Number of Loans"
75,0.110995430620626,"Number of Loans"
76,0.285266317251265,"Number of Loans"
77,0.265192964418169,"Number of Loans"
78,0.278242901421497,"Number of Loans"
79,0.129415246616353,"Number of Loans"
80,-0.0196985110515121,"Number of Loans"
81,-0.0236462135832035,"Number of Loans"
82,-0.0359941070113172,"Number of Loans"
83,-0.0368062664115003,"Number of Loans"
84,0.124554703295998,"Number of Loans"
85,-0.0388924713848138,"Number of Loans"
86,-0.0342130987292277,"Number of Loans"
87,0.0514889629321116,"Number of Loans"
88,-0.0950820814889687,"Number of Loans"
89,-0.272964736612973,"Number of Loans"
90,-0.140137684996795,"Number of Loans"
91,0.00141103428813327,"Number of Loans"
92,-0.02,"Number of Loans"
93,-0.000809678033911188,"Number of Loans"
94,-0.0547045951859956,"Number of Loans"
95,-0.0963866555771186,"Number of Loans"
96,0.0388127853881279,"Number of Loans"
97,0.165974755734474,"Number of Loans"
98,-0.00855723224144278,"Number of Loans"
99,0.0421349705401792,"Number of Loans"
100,-0.0829257019604822,"Number of Loans"
101,-0.0952894211576847,"Number of Loans"
102,0.0289131632686137,"Number of Loans"
103,-0.00118762454960852,"Number of Loans"
104,0.267162660212333,"Number of Loans"
105,0.446327279660613,"Number of Loans"
106,0.227623456790123,"Number of Loans"
107,0.4994375127838,"Number of Loans"
108,0.308846153846154,"Number of Loans"
109,0.355691422406042,"Number of Loans"
110,0.469651972157773,"Number of Loans"
111,0.413530976814899,"Number of Loans"
112,0.469676606467871,"Number of Loans"
113,0.46110400211799,"Number of Loans"
114,0.031881044639763,"Number of Loans"
115,0.0825272067714631,"Number of Loans"
116,0.0922587716918268,"Number of Loans"
117,0.0404383290763781,"Number of Loans"
118,0.165334769985933,"Number of Loans"
119,0.0167104320840297,"Number of Loans"
120,0.00218294781915107,"Number of Loans"
121,0.0154662422071892,"Number of Loans"
122,0.0700956711186891,"Number of Loans"
123,-0.0472909384243076,"Number of Loans"
124,-0.192895722001543,"Number of Loans"
125,-0.0772506266421044,"Number of Loans"
126,-0.242314150511372,"Number of Loans"
127,-0.161435353253281,"Number of Loans"
128,-0.105371408131632,"Number of Loans"
129,-0.327768890859849,"Number of Loans"
130,-0.33866700911776,"Number of Loans"
131,-0.422265454667427,"Number of Loans"
132,-0.343463326770829,"Number of Loans"
133,-0.379957155546267,"Number of Loans"
134,-0.379245227346493,"Number of Loans"
135,-0.215664138295996,"Number of Loans"
136,0.0230853662854513,"Number of Loans"
137,-0.0659139257077401,"Number of Loans"
138,0.215206704811024,"Number of Loans"
139,0.289031713787783,"Number of Loans"
140,0.0524661535556814,"Number of Loans"
141,-0.0818725850532467,"Number of Loans"
142,-0.0460600411666473,"Number of Loans"
143,0.0571876451463076,"Number of Loans"
144,0.122627364660095,"Number of Loans"
145,0.0747450914300161,"Number of Loans"
146,-0.00318471337579618,"Number of Loans"
147,-0.0988664987405542,"Number of Loans"
148,0.0445405779546635,"Number of Loans"
149,0.103044742650923,"Number of Loans"
150,0.0773898338804337,"Number of Loans"
151,-0.103293864370291,"Number of Loans"
152,-0.155187151103279,"Number of Loans"
153,0.00492699325104562,"Number of Loans"
154,-0.1579204494565,"Number of Loans"
155,-0.197484760283376,"Number of Loans"
156,-0.107129663834503,"Number of Loans"
157,-0.169829073231927,"Number of Loans"
158,-0.261551666587192,"Number of Loans"
159,-0.228960766696616,"Number of Loans"
160,-0.297064475515208,"Number of Loans"
161,-0.384696016771488,"Number of Loans"
162,-0.358631089773182,"Number of Loans"
163,-0.25229040622299,"Number of Loans"
164,-0.164919994503916,"Number of Loans"
165,-0.229846020275274,"Number of Loans"
166,-0.183910268806807,"Number of Loans"
167,-0.120166974611647,"Number of Loans"
168,-0.149040450654021,"Number of Loans"
169,-0.148092179826218,"Number of Loans"
170,-0.0985406173317835,"Number of Loans"
171,-0.0961999093675148,"Number of Loans"
172,-0.126178355957768,"Number of Loans"
173,-0.0585411181663311,"Number of Loans"
174,0.0474088291746642,"Number of Loans"
175,-0.0710129850113667,"Number of Loans"
176,-0.0374248362102492,"Number of Loans"
177,-0.122115384615385,"Number of Loans"
178,-0.0977488151658767,"Number of Loans"
179,0.0333670374115267,"Number of Loans"
180,-0.0813449023861171,"Number of Loans"
181,-0.0730044345898004,"Number of Loans"
182,-0.042621776504298,"Number of Loans"
183,-0.110522168899076,"Number of Loans"
184,-0.0799935271589622,"Number of Loans"
185,-0.0479245489938038,"Number of Loans"
186,-0.0813175737584754,"Number of Loans"
187,-0.0816811834646758,"Number of Loans"
188,-0.0615520885131775,"Number of Loans"
189,-0.062242701212373,"Number of Loans"
190,-0.0948128693368352,"Number of Loans"
191,-0.0655970423705402,"Number of Loans"
192,-0.0653789258203917,"Number of Loans"
193,-0.0238108372718193,"Number of Loans"
194,-0.0443850817746493,"Number of Loans"
195,-0.0914417739718991,"Number of Loans"
